start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,ihg elite status,0,5,0,55.6
2024-05-01,2024-05-07,ihg first responder discount code,0,1,0,55
2024-05-01,2024-05-07,ihg silver elite benefits,0,1,0,28
2024-05-01,2024-05-07,silver elite ihg,0,1,0,20
2024-05-08,2024-05-14,ihg elite status,0,17,0,56.76470588235294
2024-05-08,2024-05-14,ihg healthcare discount,0,3,0,80.66666666666667
2024-05-08,2024-05-14,ihg silver benefits,0,2,0,36.5
2024-05-08,2024-05-14,ihg silver elite,0,2,0,30.5
2024-05-08,2024-05-14,ihg silver elite benefits,0,1,0,32
2024-05-08,2024-05-14,silver elite status,0,1,0,49
2024-05-15,2024-05-21,ihg elite status,0,18,0,49.666666666666664
2024-05-15,2024-05-21,ihg healthcare discount,0,4,0,64.5
2024-05-15,2024-05-21,ihg silver benefits,0,1,0,34
2024-05-15,2024-05-21,silver elite status,0,1,0,38
2024-05-22,2024-05-28,ihg elite status,0,16,0,57
2024-05-22,2024-05-28,ihg healthcare discount,0,1,0,64
2024-05-22,2024-05-28,ihg silver elite benefits,0,2,0,31.5
2024-05-22,2024-05-28,ihg upgrade,0,1,0,26
2024-05-29,2024-06-04,ihg elite status,0,1,0,75
2024-05-29,2024-06-04,ihg healthcare discount,0,1,0,67
2024-05-29,2024-06-04,ihg silver,0,2,0,32
2024-05-29,2024-06-04,ihg silver benefits,0,1,0,39
2024-05-29,2024-06-04,ihg silver elite benefits,0,2,0,28.5
2024-05-29,2024-06-04,silver elite ihg,0,1,0,22
2024-05-29,2024-06-04,silver elite status,0,2,0,50.5
2024-06-05,2024-06-11,ihg silver elite,0,1,0,38
2024-06-05,2024-06-11,ihg silver elite benefits,0,1,0,32
2024-06-12,2024-06-18,ihg first responder discount code,0,1,0,30
2024-06-12,2024-06-18,ihg silver elite,0,1,0,44
2024-06-12,2024-06-18,ihg silver elite benefits,0,2,0,25
2024-06-19,2024-06-25,gold elite ihg,0,1,0,100
2024-06-19,2024-06-25,gold elite status ihg,0,3,0,69
2024-06-19,2024-06-25,ihg benefits,0,2,0,65.5
2024-06-19,2024-06-25,ihg elite member,0,1,0,46
2024-06-19,2024-06-25,ihg elite status,0,30,0,33.333333333333336
2024-06-19,2024-06-25,ihg elite status levels,0,1,0,44
