start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,global care clinic,0,1,0,10
2024-05-01,2024-05-07,globalcare,0,2,0,5
2024-05-08,2024-05-14,global care network,0,1,0,11
2024-05-08,2024-05-14,globalcare,0,2,0,4
2024-05-15,2024-05-21,globalcare services,0,1,0,79
2024-05-22,2024-05-28,dental care abroad,0,1,0,90
2024-05-29,2024-06-04,global care network,0,1,0,8
2024-05-29,2024-06-04,globalcare,0,4,0,5.25
2024-05-29,2024-06-04,globalcare inc,0,1,0,8
2024-06-05,2024-06-11,global care,0,1,0,9
2024-06-05,2024-06-11,global care clinic,0,1,0,5
2024-06-05,2024-06-11,global care network,0,3,0,8
2024-06-05,2024-06-11,globalcare,0,7,0,4.428571428571429
2024-06-05,2024-06-11,globalcare inc,0,1,0,81
2024-06-12,2024-06-18,global care,0,3,0,9
2024-06-12,2024-06-18,global care center,0,1,0,9
2024-06-12,2024-06-18,global care inc,0,1,0,10
2024-06-12,2024-06-18,global care network,0,1,0,9
2024-06-12,2024-06-18,global care phone number,0,1,0,9
2024-06-12,2024-06-18,globalcare,0,2,0,3
2024-06-19,2024-06-25,care mex,0,1,0,10
2024-06-19,2024-06-25,global care,0,12,0,9.666666666666666
2024-06-19,2024-06-25,global care agency,0,2,0,9
2024-06-19,2024-06-25,global care inc,0,1,0,10
2024-06-19,2024-06-25,global care network,0,2,0,8.5
2024-06-19,2024-06-25,global care number,0,1,0,11
2024-06-19,2024-06-25,global care services,0,1,0,14
2024-06-19,2024-06-25,global dental care,0,1,0,7
2024-06-19,2024-06-25,globalcare,0,5,0,2.6
2024-06-26,2024-07-02,dental care abroad,0,1,0,99
2024-06-26,2024-07-02,dental work abroad,0,1,0,77
2024-06-26,2024-07-02,global care,0,2,0,12
2024-06-26,2024-07-02,global care inc,0,1,0,10
2024-06-26,2024-07-02,globalcare,0,6,0,5.666666666666667
2024-06-26,2024-07-02,globalcare inc,0,2,0,10
2024-07-03,2024-07-09,dental care abroad,0,1,0,92
2024-07-03,2024-07-09,dental work abroad,0,1,0,76
2024-07-03,2024-07-09,global care inc,0,1,0,10
2024-07-03,2024-07-09,global care network,0,2,0,9.5
2024-07-03,2024-07-09,globalcare,0,2,0,3
2024-07-10,2024-07-16,global care network,0,1,0,9
2024-07-10,2024-07-16,global dental care,0,1,0,10
2024-07-10,2024-07-16,globalcare,0,3,0,6
2024-07-10,2024-07-16,globalcare inc,0,1,0,9
2024-07-17,2024-07-23,dental care abroad,0,4,0,90.75
2024-07-17,2024-07-23,dental clinic abroad,0,1,0,84
2024-07-17,2024-07-23,dental treatments abroad,0,1,0,88
2024-07-17,2024-07-23,global care,0,2,0,10
2024-07-17,2024-07-23,global care inc,0,1,0,11
2024-07-17,2024-07-23,global dental care,0,1,0,10
2024-07-17,2024-07-23,globalcare,0,3,0,3.6666666666666665
2024-07-17,2024-07-23,globalcare inc,0,1,0,8
2024-07-24,2024-07-30,cheap dental work abroad,0,3,0,62.333333333333336
2024-07-24,2024-07-30,dental care abroad,0,11,0,81.9090909090909
2024-07-24,2024-07-30,dental clinic abroad,0,1,0,99
2024-07-24,2024-07-30,do dentists wear stethoscopes,0,1,0,1
2024-07-24,2024-07-30,getting dental treatment abroad,0,1,0,91
2024-07-24,2024-07-30,global care,0,2,0,13
2024-07-24,2024-07-30,global care network,0,1,0,8
2024-07-24,2024-07-30,globalcare,0,1,0,7
2024-07-31,2024-08-06,cheap dental work abroad,0,1,0,57
2024-07-31,2024-08-06,dental care abroad,0,12,0,81
2024-07-31,2024-08-06,mexico dental procedures market,0,8,0,90.875
2024-08-07,2024-08-13,dental care abroad,0,22,0,74.45454545454545
2024-08-07,2024-08-13,dental work abroad,0,1,0,88
2024-08-07,2024-08-13,getting dental treatment abroad,0,8,0,71
2024-08-07,2024-08-13,mexico dental procedures market,0,9,0,86
2024-08-14,2024-08-20,biodental care,0,1,0,78
2024-08-14,2024-08-20,dental abroad,0,1,0,98
2024-08-14,2024-08-20,dental care abroad,0,14,0,87.85714285714286
2024-08-14,2024-08-20,getting dental treatment abroad,0,5,0,80.8
2024-08-14,2024-08-20,holistic dentists in mexico,0,2,0,87.5
2024-08-14,2024-08-20,mexico dental procedures market,0,1,0,89
2024-08-21,2024-08-27,biodental care tijuana,0,1,0,56
2024-08-21,2024-08-27,dental care abroad,0,22,0,71.04545454545455
2024-08-21,2024-08-27,dental clinic abroad,0,1,0,67
2024-08-21,2024-08-27,dental procedures abroad,0,1,0,101
2024-08-21,2024-08-27,dental treatments abroad,0,1,0,99
2024-08-21,2024-08-27,getting dental treatment abroad,0,8,0,70.25
2024-08-21,2024-08-27,holistic dentists in mexico,0,1,0,74
2024-08-21,2024-08-27,mexico dental procedures market,0,3,0,92.33333333333333
2024-08-21,2024-08-27,veneers cost abroad,0,1,0,72
2024-08-28,2024-09-03,biodental care tijuana,0,2,0,59
2024-08-28,2024-09-03,dental care abroad,0,22,0,62.36363636363637
2024-08-28,2024-09-03,getting dental treatment abroad,0,3,0,94
2024-08-28,2024-09-03,holistic dentists in mexico,0,1,0,66
2024-09-04,2024-09-10,dental care abroad,0,20,0,66.6
2024-09-04,2024-09-10,guide to getting dental work in cancun,0,2,0,71.5
2024-09-04,2024-09-10,holistic dentists in mexico,0,1,0,72
2024-09-04,2024-09-10,mexico dental procedures market,0,4,0,92
2024-09-11,2024-09-17,biodental care,0,1,0,76
2024-09-11,2024-09-17,dental care abroad,0,14,0,64.21428571428572
2024-09-11,2024-09-17,dental work abroad,0,1,0,80
2024-09-11,2024-09-17,guide to getting dental work in cancun,0,6,0,74.16666666666667
2024-09-11,2024-09-17,holistic dentists in mexico,0,1,0,60
2024-09-11,2024-09-17,mexico dental procedures market,0,2,0,100.5
2024-09-18,2024-09-24,dental abroad,0,1,0,97
2024-09-18,2024-09-24,dental care abroad,0,17,0,64.70588235294117
2024-09-18,2024-09-24,dentists abroad,0,1,0,76
2024-09-18,2024-09-24,holistic dentists in mexico,0,1,0,75
2024-09-25,2024-10-01,biodental care tijuana,0,2,0,64.5
2024-09-25,2024-10-01,dental abroad,0,1,0,100
2024-09-25,2024-10-01,dental care abroad,0,9,0,56.44444444444444
2024-09-25,2024-10-01,dental clinic abroad,0,1,0,85
2024-09-25,2024-10-01,dental work abroad,0,1,0,97
2024-09-25,2024-10-01,getting dental treatment abroad,0,1,0,59
2024-09-25,2024-10-01,veneers cost abroad,0,1,0,63
2024-10-02,2024-10-08,biodental care tijuana,0,3,0,62.333333333333336
2024-10-02,2024-10-08,dental care abroad,0,12,0,59.666666666666664
2024-10-02,2024-10-08,getting veneers abroad,0,1,0,98
2024-10-02,2024-10-08,holistic dentists in mexico,0,1,0,83
2024-10-09,2024-10-15,biodental care,0,1,0,79
2024-10-09,2024-10-15,biodental care tijuana,0,2,0,58.5
2024-10-09,2024-10-15,cheap dental work abroad,0,1,0,48
2024-10-09,2024-10-15,cheap dentists abroad,0,1,0,67
2024-10-09,2024-10-15,dental care abroad,0,13,0,63.53846153846154
2024-10-16,2024-10-22,cheap dentist abroad,0,1,0,70
2024-10-16,2024-10-22,dental care abroad,0,17,0,55.64705882352941
2024-10-16,2024-10-22,dental work abroad,0,1,0,52
2024-10-23,2024-10-29,dental abroad,0,1,0,79
2024-10-23,2024-10-29,dental care abroad,0,10,0,53.8
2024-10-23,2024-10-29,dental treatment abroad cost,0,1,0,85
2024-10-23,2024-10-29,dentists abroad,0,1,0,90
2024-10-23,2024-10-29,holistic dentist in mexico,0,1,0,102
2024-10-30,2024-11-05,dental care abroad,0,23,0,65.69565217391305
2024-11-06,2024-11-12,dental care abroad,0,21,0,60.57142857142857
2024-11-13,2024-11-19,dental care abroad,0,16,0,65.25
2024-11-20,2024-11-26,dental care abroad,0,18,0,65.94444444444444
2024-11-27,2024-12-03,dental care abroad,0,15,0,66.6
2024-11-27,2024-12-03,holistic dentist in mexico,0,1,0,100
2024-12-04,2024-12-10,dental care abroad,0,17,0,69.11764705882354
2024-12-11,2024-12-17,dental care abroad,0,6,0,62
2024-12-18,2024-12-24,dental care abroad,0,8,0,60
2024-12-18,2024-12-24,holistic dentist mexico,0,1,0,102
2024-12-25,2024-12-31,dental care abroad,0,14,0,59.285714285714285
2025-01-01,2025-01-07,dental care abroad,0,10,0,59
2025-01-01,2025-01-07,dental work abroad,0,1,0,71
2025-01-08,2025-01-14,dental care abroad,0,10,0,60
2025-01-15,2025-01-21,dental care abroad,0,7,0,68
2025-01-22,2025-01-28,dental care abroad,0,17,0,64.1764705882353
2025-01-22,2025-01-28,dental procedures abroad,0,1,0,91
2025-01-29,2025-02-04,dental care abroad,0,8,0,52
2025-02-05,2025-02-11,dental care abroad,0,1,0,54
2025-02-12,2025-02-18,dental care abroad,0,3,0,58
2025-02-19,2025-02-25,dental care abroad,0,10,0,57.6
2025-02-26,2025-03-04,best places for dental tourism,0,1,0,63
2025-02-26,2025-03-04,dental care abroad,0,8,0,54
2025-02-26,2025-03-04,dental clinic abroad,0,1,0,35
2025-02-26,2025-03-04,dental clinics abroad,0,1,0,63
2025-02-26,2025-03-04,dental treatment abroad cost,0,1,0,78
2025-02-26,2025-03-04,holistic dentists in mexico,0,1,0,96
2025-03-05,2025-03-11,dental care abroad,0,13,0,56.38461538461539
2025-03-05,2025-03-11,holistic dentists in mexico,0,1,0,92
2025-03-12,2025-03-18,dental care abroad,0,7,0,51.285714285714285
2025-03-12,2025-03-18,holistic dentists in mexico,0,1,0,94
2025-03-19,2025-03-25,dental care abroad,0,10,0,52.4
2025-03-26,2025-04-01,dental care abroad,0,7,0,34.857142857142854
2025-03-26,2025-04-01,dental care overseas,0,1,0,83
2025-03-26,2025-04-01,dental clinic abroad,0,1,0,30
2025-03-26,2025-04-01,dental travel facilitator,0,1,0,68
2025-04-02,2025-04-08,dental care abroad,0,8,0,35.5
2025-04-02,2025-04-08,dental clinic abroad,0,1,0,28
2025-04-02,2025-04-08,dental tourism,0,2,0,100
2025-04-02,2025-04-08,dental travel facilitator,0,4,0,65.75
2025-04-02,2025-04-08,dental treatment abroad,0,1,0,87
2025-04-09,2025-04-15,all inclusive dental vacation,0,1,0,87
2025-04-09,2025-04-15,dental care abroad,0,7,0,36.142857142857146
2025-04-09,2025-04-15,dental care mexico border,0,1,0,102
2025-04-09,2025-04-15,dental clinic abroad,0,1,0,97
2025-04-09,2025-04-15,dental tourism,0,1,0,101
2025-04-09,2025-04-15,dental vacations,0,1,0,90
2025-04-09,2025-04-15,globalcare inc,0,1,0,67
2025-04-16,2025-04-22,algodones dental resort,0,1,0,56
2025-04-16,2025-04-22,dental care abroad,0,5,0,49.2
2025-04-16,2025-04-22,dental care mexico border,0,7,0,92.85714285714286
2025-04-16,2025-04-22,dental mexico guide,0,1,0,87
2025-04-16,2025-04-22,dental travel packages,0,1,0,71
2025-04-16,2025-04-22,dental work abroad,0,1,0,46
2025-04-16,2025-04-22,english speaking dentist mexico city,0,1,0,12
2025-04-16,2025-04-22,global care,0,4,0,5.75
2025-04-23,2025-04-29,affordable dental care in mexico,0,2,0,101
2025-04-23,2025-04-29,amazing dental care mexico,0,3,0,64
2025-04-23,2025-04-29,care dentist,0,1,0,6
2025-04-23,2025-04-29,dental care abroad,0,9,0,40.111111111111114
2025-04-23,2025-04-29,dental care mexico border,0,16,0,89.125
2025-04-23,2025-04-29,dental mexico guide,0,4,0,44.5
2025-04-23,2025-04-29,dental travel,0,1,0,42
2025-04-23,2025-04-29,dental travel mexico,0,1,0,80
2025-04-23,2025-04-29,dental travel packages,0,3,0,69.66666666666667
2025-04-23,2025-04-29,dental treatment abroad,0,4,0,91
2025-04-23,2025-04-29,dental vacations,0,5,0,79.6
2025-04-23,2025-04-29,dental vacations los algodones,0,1,0,95
2025-04-23,2025-04-29,dental work abroad,0,1,0,62
2025-04-23,2025-04-29,get mexico,0,1,0,9
2025-04-23,2025-04-29,global care,0,6,0,3.3333333333333335
2025-04-23,2025-04-29,global dental care,0,5,0,10.2
2025-04-23,2025-04-29,global dental center,0,2,0,12
2025-04-23,2025-04-29,global dental clinic,0,2,0,4
2025-04-23,2025-04-29,globalcare,0,5,0,8.8
2025-04-23,2025-04-29,globalcare inc,0,1,0,11
2025-04-23,2025-04-29,holistic dentist mexico city,0,1,0,84
2025-04-23,2025-04-29,la global care,0,1,0,3
2025-04-23,2025-04-29,los algodones optical,0,1,0,52
2025-04-23,2025-04-29,overseas dental holidays,0,1,0,101
2025-04-23,2025-04-29,porcelain veneers los algodones,0,1,0,85
2025-04-23,2025-04-29,travel to mexico for dental work,0,1,0,43
2025-04-30,2025-05-06,affordable dental care in mexico,0,9,0,91.11111111111111
2025-04-30,2025-05-06,affordable dental treatments in mexico,0,2,0,97.5
2025-04-30,2025-05-06,all inclusive dental vacation,0,5,0,64.6
2025-04-30,2025-05-06,amazing dental care mexico,0,1,0,85
2025-04-30,2025-05-06,best dental tourism company,0,1,0,73
2025-04-30,2025-05-06,best optical in los algodones,0,1,0,56
2025-04-30,2025-05-06,best place for dental tourism,0,1,0,92
2025-04-30,2025-05-06,best places for dental tourism,0,3,0,48.666666666666664
2025-04-30,2025-05-06,cheap dental care in mexico,0,1,0,99
2025-04-30,2025-05-06,dental abroad,0,2,0,86
2025-04-30,2025-05-06,dental care abroad,0,8,0,38.125
2025-04-30,2025-05-06,dental care mexico border,0,5,0,85.2
2025-04-30,2025-05-06,dental clinic monterrey mexico,0,1,0,56
2025-04-30,2025-05-06,dental clinics in playa del carmen,0,2,0,87
2025-04-30,2025-05-06,dental mexico guide,0,8,0,44.75
2025-04-30,2025-05-06,dental overseas,0,1,0,85
2025-04-30,2025-05-06,dental tourism destinations,0,1,0,90
2025-04-30,2025-05-06,dental travel,0,3,0,68
2025-04-30,2025-05-06,dental travel mexico,0,2,0,50
