start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,all inclusive dental vacation,0,5,0,39
2024-05-01,2024-05-07,all-inclusive dental vacation mexico,0,4,0,85.25
2024-05-01,2024-05-07,dental holiday package,0,9,0,72
2024-05-01,2024-05-07,dental tourism all inclusive,0,9,0,32.66666666666667
2024-05-01,2024-05-07,dental tourism all-inclusive,0,17,0,31.352941176470587
2024-05-01,2024-05-07,dental tourism package,0,55,0,15.872727272727273
2024-05-01,2024-05-07,dental tourism packages,0,12,0,35.416666666666664
2024-05-01,2024-05-07,dental tourism pros and cons,0,4,0,69.25
2024-05-01,2024-05-07,dental travel packages,0,6,0,18.666666666666668
2024-05-01,2024-05-07,dental vacation packages,0,6,0,32.66666666666667
2024-05-01,2024-05-07,dental vacation packages in mexico,0,12,0,60.5
2024-05-01,2024-05-07,itfordental,0,5,0,20.2
2024-05-08,2024-05-14,all inclusive dental vacation,0,17,0,41.76470588235294
2024-05-08,2024-05-14,all-inclusive dental vacation mexico,0,13,0,82.53846153846153
2024-05-08,2024-05-14,dental holiday package,0,14,0,66.35714285714286
2024-05-08,2024-05-14,dental tourism agencies,0,1,0,75
2024-05-08,2024-05-14,dental tourism all inclusive,0,16,0,31.5
2024-05-08,2024-05-14,dental tourism all-inclusive,0,13,0,31
2024-05-08,2024-05-14,dental tourism package,0,15,0,16.46666666666667
2024-05-08,2024-05-14,dental tourism packages,0,33,0,33.21212121212121
2024-05-08,2024-05-14,dental tourism pros and cons,0,5,0,60
2024-05-08,2024-05-14,dental travel packages,0,17,0,19.352941176470587
2024-05-08,2024-05-14,dental vacation packages,0,36,0,35.666666666666664
2024-05-08,2024-05-14,dental vacation packages in mexico,0,22,0,85.9090909090909
2024-05-08,2024-05-14,hospital vacation packages,0,3,0,58
2024-05-08,2024-05-14,itfordental,0,7,0,20.142857142857142
2024-05-08,2024-05-14,mexico dental tourism packages,0,1,0,82
2024-05-15,2024-05-21,all inclusive dental vacation,0,14,0,38.785714285714285
2024-05-15,2024-05-21,all-inclusive dental vacation mexico,0,11,0,84.72727272727273
2024-05-15,2024-05-21,dental holiday package,0,16,0,74.9375
2024-05-15,2024-05-21,dental tourism agencies,0,2,0,75.5
2024-05-15,2024-05-21,dental tourism all inclusive,0,16,0,31.375
2024-05-15,2024-05-21,dental tourism all-inclusive,0,17,0,31.705882352941178
2024-05-15,2024-05-21,dental tourism package,0,14,0,16.357142857142858
2024-05-15,2024-05-21,dental tourism packages,0,34,0,31.647058823529413
2024-05-15,2024-05-21,dental tourism pros and cons,0,8,0,56.875
2024-05-15,2024-05-21,dental travel packages,0,22,0,19.681818181818183
2024-05-15,2024-05-21,dental vacation packages,0,27,0,38.333333333333336
2024-05-15,2024-05-21,dental vacation packages in mexico,0,18,0,75.11111111111111
2024-05-15,2024-05-21,hospital vacation packages,0,1,0,55
2024-05-15,2024-05-21,itfordental,0,6,0,22.5
2024-05-15,2024-05-21,ozempic price in mexico,0,3,0,1
2024-05-22,2024-05-28,all inclusive dental vacation,0,16,0,40.875
2024-05-22,2024-05-28,all-inclusive dental packages,0,1,0,41
2024-05-22,2024-05-28,all-inclusive dental vacation mexico,0,23,0,79.26086956521739
2024-05-22,2024-05-28,dental holiday package,0,2,0,76
2024-05-22,2024-05-28,dental tourism all inclusive,0,15,0,31.8
2024-05-22,2024-05-28,dental tourism all-inclusive,0,16,0,30.625
2024-05-22,2024-05-28,dental tourism package,0,14,0,16.642857142857142
2024-05-22,2024-05-28,dental tourism packages,0,39,0,37.205128205128204
2024-05-22,2024-05-28,dental tourism pros and cons,0,6,0,66.16666666666667
2024-05-22,2024-05-28,dental travel packages,0,17,0,18.294117647058822
2024-05-22,2024-05-28,dental vacation packages,0,36,0,39.638888888888886
2024-05-22,2024-05-28,dental vacation packages in mexico,0,20,0,74.8
