start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,about the practice los algodones,0,1,0,69
2024-05-01,2024-05-07,best dentist in algodones,0,3,0,63
2024-05-01,2024-05-07,best dentist in los algodones,0,1,0,45
2024-05-01,2024-05-07,dental crowns los algodones mexico,0,2,0,61.5
2024-05-01,2024-05-07,dental work in los algodones mexico,0,1,0,78
2024-05-01,2024-05-07,los algodones dentist veneers,0,4,0,68.75
2024-05-01,2024-05-07,periodontist los algodones mexico,0,1,0,99
2024-05-01,2024-05-07,same day crowns los algodones mexico,0,1,0,89
2024-05-01,2024-05-07,scaling and root planing los algodones mexico,0,1,0,66
2024-05-01,2024-05-07,top dentist los algodones,0,7,0,45.142857142857146
2024-05-08,2024-05-14,about the practice los algodones,0,5,0,79.8
2024-05-08,2024-05-14,algodones dentist,0,1,0,66
2024-05-08,2024-05-14,best dentist in algodones,0,11,0,65.45454545454545
2024-05-08,2024-05-14,best dentist in algodones mexico,0,3,0,68
2024-05-08,2024-05-14,best dentist in los algodones,0,8,0,57.5
2024-05-08,2024-05-14,best dentist in los algodones mexico,0,2,0,66.5
2024-05-08,2024-05-14,best dentist los algodones,0,1,0,62
2024-05-08,2024-05-14,best dentists in los algodones mexico,0,1,0,60
2024-05-08,2024-05-14,bone grafting los algodones mexico,0,1,0,75
2024-05-08,2024-05-14,cleanings & exams los algodones,0,1,0,85
2024-05-08,2024-05-14,dental clinics in algodones mexico,0,1,0,78
2024-05-08,2024-05-14,dental clinics in los algodones mexico,0,3,0,65
2024-05-08,2024-05-14,dental exams los algodones mexico,0,1,0,69
2024-05-08,2024-05-14,dental solutions los algodones,0,1,0,44
2024-05-08,2024-05-14,dental technology los algodones,0,1,0,66
2024-05-08,2024-05-14,dentist mexico los algodones,0,1,0,1
2024-05-08,2024-05-14,dentists in los algodones,0,1,0,55
2024-05-08,2024-05-14,full mouth reconstruction los algodones,0,4,0,69.25
2024-05-08,2024-05-14,full mouth reconstruction los algodones mexico,0,1,0,64
2024-05-08,2024-05-14,full mouth reconstruction los algodones mx,0,2,0,72.5
