start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,cancun dental tourism,0,9,0,58.666666666666664
2024-05-01,2024-05-07,cancun dental vacation,0,7,0,73.85714285714286
2024-05-01,2024-05-07,cancun mexico dental tourism,0,2,0,69.5
2024-05-01,2024-05-07,dental tourism cancun,0,7,0,48.714285714285715
2024-05-01,2024-05-07,dental tourism cancun mexico,0,1,0,64
2024-05-01,2024-05-07,dental tourism in cancun,0,6,0,67.5
2024-05-01,2024-05-07,dental vacation cancun,0,5,0,48.6
2024-05-01,2024-05-07,dental vacation in cancun mexico,0,1,0,58
2024-05-01,2024-05-07,dental vacations cancun,0,7,0,47.57142857142857
2024-05-08,2024-05-14,cancun dental tourism,0,26,0,59.88461538461539
2024-05-08,2024-05-14,cancun dental vacation,0,40,0,70.55
2024-05-08,2024-05-14,cancun for dental holiday,0,4,0,45.5
2024-05-08,2024-05-14,cancun mexico dental tourism,0,11,0,68.36363636363636
2024-05-08,2024-05-14,dental tourism cancun,0,45,0,47.08888888888889
2024-05-08,2024-05-14,dental tourism cancun mexico,0,25,0,63
2024-05-08,2024-05-14,dental tourism in cancun,0,43,0,66.67441860465117
2024-05-08,2024-05-14,dental vacation cancun,0,38,0,48.05263157894737
2024-05-08,2024-05-14,dental vacation in cancun mexico,0,4,0,55.5
2024-05-08,2024-05-14,dental vacations cancun,0,44,0,48.34090909090909
2024-05-08,2024-05-14,hotels near cancun dental specialists,0,6,0,6.5
2024-05-08,2024-05-14,mexico dental tourism hotels,0,3,0,69.33333333333333
2024-05-15,2024-05-21,best dentist cancun,0,1,0,81
2024-05-15,2024-05-21,best hotels in cancún,0,1,0,77
2024-05-15,2024-05-21,cancun dental tourism,0,52,0,56.61538461538461
2024-05-15,2024-05-21,cancun dental vacation,0,46,0,61.17391304347826
2024-05-15,2024-05-21,cancun for dental holiday,0,3,0,43.333333333333336
2024-05-15,2024-05-21,cancun mexico dental tourism,0,12,0,60.25
2024-05-15,2024-05-21,dental tourism cancun,0,49,0,45.46938775510204
2024-05-15,2024-05-21,dental tourism cancun mexico,0,37,0,57.7027027027027
2024-05-15,2024-05-21,dental tourism in cancun,0,47,0,60.787234042553195
2024-05-15,2024-05-21,dental vacation cancun,0,41,0,46.073170731707314
2024-05-15,2024-05-21,dental vacation in cancun mexico,0,6,0,51.166666666666664
2024-05-15,2024-05-21,dental vacations cancun,0,44,0,47.38636363636363
2024-05-15,2024-05-21,hotels near cancun dental specialists,0,11,0,8.727272727272727
2024-05-15,2024-05-21,veneers cost cancun,0,22,0,99
2024-05-22,2024-05-28,cancun dental tourism,0,45,0,55.4
2024-05-22,2024-05-28,cancun dental vacation,0,51,0,60.35294117647059
2024-05-22,2024-05-28,cancun for dental holiday,0,5,0,42.8
2024-05-22,2024-05-28,cancun mexico dental tourism,0,22,0,69.5
2024-05-22,2024-05-28,dental tourism cancun,0,52,0,44.76923076923077
2024-05-22,2024-05-28,dental tourism cancun mexico,0,38,0,55.55263157894737
2024-05-22,2024-05-28,dental tourism in cancun,0,44,0,60.70454545454545
2024-05-22,2024-05-28,dental vacation cancun,0,48,0,46.3125
2024-05-22,2024-05-28,dental vacation in cancun mexico,0,5,0,49.8
2024-05-22,2024-05-28,dental vacations cancun,0,47,0,45
2024-05-22,2024-05-28,hotels near cancun dental specialists,0,6,0,6.666666666666667
2024-05-29,2024-06-04,cancun dental tourism,0,45,0,55.22222222222222
2024-05-29,2024-06-04,cancun dental vacation,0,45,0,64.33333333333334
2024-05-29,2024-06-04,cancun for dental holiday,0,4,0,43.25
2024-05-29,2024-06-04,cancun mexico dental tourism,0,23,0,69.43478260869566
2024-05-29,2024-06-04,dental tourism cancun,0,47,0,47.191489361702125
2024-05-29,2024-06-04,dental tourism cancun mexico,0,29,0,55.03448275862069
2024-05-29,2024-06-04,dental tourism in cancun,0,47,0,58.42553191489362
2024-05-29,2024-06-04,dental vacation cancun,0,48,0,47.0625
2024-05-29,2024-06-04,dental vacation in cancun mexico,0,5,0,50.8
2024-05-29,2024-06-04,dental vacations cancun,0,39,0,45.51282051282051
2024-05-29,2024-06-04,hotels near cancun dental specialists,0,7,0,7.142857142857143
2024-05-29,2024-06-04,veneers cost cancun,0,15,0,97.6
2024-06-05,2024-06-11,best dentist cancun,0,1,0,81
2024-06-05,2024-06-11,cancun dental tourism,0,22,0,64.0909090909091
2024-06-05,2024-06-11,cancun dental vacation,0,20,0,75.3
2024-06-05,2024-06-11,cancun for dental holiday,0,3,0,46.666666666666664
2024-06-05,2024-06-11,cancun mexico dental tourism,0,13,0,78.61538461538461
2024-06-05,2024-06-11,dental tourism cancun,0,33,0,51.36363636363637
2024-06-05,2024-06-11,dental tourism cancun mexico,0,16,0,68.3125
2024-06-05,2024-06-11,dental tourism in cancun,0,22,0,60.31818181818182
2024-06-05,2024-06-11,dental vacation cancun,0,29,0,50.241379310344826
2024-06-05,2024-06-11,dental vacation in cancun mexico,0,3,0,58.666666666666664
2024-06-05,2024-06-11,dental vacations cancun,0,17,0,49.294117647058826
2024-06-12,2024-06-18,best dental implants in cancun,0,3,0,85.66666666666667
2024-06-12,2024-06-18,best veneers cancun mexico,0,3,0,88.66666666666667
2024-06-12,2024-06-18,cancun cares,0,1,0,81
2024-06-12,2024-06-18,cancun dental tourism,0,85,0,44.07058823529412
2024-06-12,2024-06-18,cancun dental vacation,0,52,0,47.11538461538461
2024-06-12,2024-06-18,cancun dental vacation packages,0,1,0,69
2024-06-12,2024-06-18,cancun dental veneers,0,2,0,100
2024-06-12,2024-06-18,cancun for dental holiday,0,6,0,32.16666666666667
2024-06-12,2024-06-18,cancun mexico dental tourism,0,39,0,48.1025641025641
2024-06-12,2024-06-18,cancun tourism,0,5,0,94.2
2024-06-12,2024-06-18,dental cancun,0,2,0,88
2024-06-12,2024-06-18,dental care in cancun,0,16,0,84.5
2024-06-12,2024-06-18,dental resort mexico,0,1,0,35
2024-06-12,2024-06-18,dental tourism cancun,0,96,0,36.71875
2024-06-12,2024-06-18,dental tourism cancun mexico,0,41,0,44.146341463414636
2024-06-12,2024-06-18,dental tourism cancun mx,0,3,0,48
2024-06-12,2024-06-18,dental tourism in cancun,0,55,0,39.8
2024-06-12,2024-06-18,dental tourism packages 2023,0,9,0,51.22222222222222
2024-06-12,2024-06-18,dental tourism packages mexico,0,1,0,53
2024-06-12,2024-06-18,dental treatment in cancun,0,2,0,85
2024-06-12,2024-06-18,dental vacation cancun,0,42,0,39.333333333333336
2024-06-12,2024-06-18,dental vacation in cancun mexico,0,2,0,41
2024-06-12,2024-06-18,dental vacations cancun,0,52,0,36.53846153846154
2024-06-12,2024-06-18,dental work in cancun,0,1,0,88
2024-06-12,2024-06-18,dental work in cancún,0,1,0,77
2024-06-12,2024-06-18,hotels near cancun dental specialists,0,3,0,3.3333333333333335
2024-06-12,2024-06-18,ocean dental cancun,0,1,0,87
2024-06-19,2024-06-25,best dental implants in cancun,0,10,0,84.3
2024-06-19,2024-06-25,best dental tourism,0,6,0,82.5
2024-06-19,2024-06-25,best dentist in cancun,0,4,0,85.5
2024-06-19,2024-06-25,best dentist in cancun mexico,0,3,0,88
2024-06-19,2024-06-25,best veneers cancun mexico,0,10,0,87.7
2024-06-19,2024-06-25,cancun cares,0,2,0,57.5
2024-06-19,2024-06-25,cancun dental tourism,0,101,0,29.376237623762375
2024-06-19,2024-06-25,cancun dental vacation,0,36,0,32.861111111111114
2024-06-19,2024-06-25,cancun dental veneers,0,61,0,96.32786885245902
2024-06-19,2024-06-25,cancun dentists,0,30,0,88.8
2024-06-19,2024-06-25,cancun for dental holiday,0,7,0,14.714285714285714
2024-06-19,2024-06-25,cancun mexico dental tourism,0,40,0,37.8
2024-06-19,2024-06-25,cancun teeth veneers,0,2,0,102
2024-06-19,2024-06-25,cancun tourism,0,15,0,93
2024-06-19,2024-06-25,cancuncares,0,1,0,88
2024-06-19,2024-06-25,dental cancun,0,9,0,91
2024-06-19,2024-06-25,dental care in cancun,0,49,0,84.6734693877551
2024-06-19,2024-06-25,dental tourism cancun,0,97,0,25.536082474226806
2024-06-19,2024-06-25,dental tourism cancun mexico,0,42,0,35.785714285714285
2024-06-19,2024-06-25,dental tourism cancun mx,0,6,0,37.666666666666664
2024-06-19,2024-06-25,dental tourism in cancun,0,69,0,28.202898550724637
2024-06-19,2024-06-25,dental tourism packages 2023,0,7,0,41
2024-06-19,2024-06-25,dental treatment in cancun,0,6,0,83.66666666666667
2024-06-19,2024-06-25,dental vacation cancun,0,55,0,28.21818181818182
2024-06-19,2024-06-25,dental vacation in cancun mexico,0,6,0,32.83333333333333
2024-06-19,2024-06-25,dental vacations cancun,0,53,0,24.07547169811321
2024-06-19,2024-06-25,dental work in cancun,0,9,0,84
2024-06-19,2024-06-25,dental work in cancún,0,6,0,77.33333333333333
2024-06-19,2024-06-25,dentists cancun,0,7,0,92.71428571428571
2024-06-19,2024-06-25,hotels near cancun dental specialists,0,5,0,3.6
2024-06-19,2024-06-25,medical tourism cancun,0,1,0,77
2024-06-26,2024-07-02,hotels near cancun dental specialists,1,3,0.3333333333333333,3
2024-06-26,2024-07-02,best dental implants in cancun,0,6,0,81.16666666666667
2024-06-26,2024-07-02,best dentist cancun,0,1,0,80
2024-06-26,2024-07-02,best dentist in cancun,0,18,0,87.11111111111111
2024-06-26,2024-07-02,best hotel in cancun hotel zone,0,1,0,93
2024-06-26,2024-07-02,best veneers cancun mexico,0,12,0,86.5
2024-06-26,2024-07-02,cancun dental tourism,0,92,0,29.445652173913043
2024-06-26,2024-07-02,cancun dental vacation,0,59,0,31.694915254237287
2024-06-26,2024-07-02,cancun dental vacation packages,0,3,0,47.666666666666664
2024-06-26,2024-07-02,cancun dental veneers,0,56,0,95.25
2024-06-26,2024-07-02,cancun dentists,0,27,0,89.51851851851852
2024-06-26,2024-07-02,cancun for dental holiday,0,6,0,16.666666666666664
2024-06-26,2024-07-02,cancun mexico dental tourism,0,43,0,37.93023255813954
2024-06-26,2024-07-02,cancun teeth veneers,0,2,0,102
2024-06-26,2024-07-02,cancun tourism,0,6,0,89.5
2024-06-26,2024-07-02,dental cancun,0,2,0,92
2024-06-26,2024-07-02,dental care in cancun,0,56,0,88.26785714285714
2024-06-26,2024-07-02,dental tourism cancun,0,97,0,26.628865979381445
2024-06-26,2024-07-02,dental tourism cancun mexico,0,44,0,35.72727272727273
2024-06-26,2024-07-02,dental tourism cancun mx,0,6,0,37.833333333333336
2024-06-26,2024-07-02,dental tourism in cancun,0,62,0,27.548387096774192
2024-06-26,2024-07-02,dental tourism packages 2023,0,8,0,36.625
2024-06-26,2024-07-02,dental treatment in cancun,0,6,0,85.5
2024-06-26,2024-07-02,dental vacation cancun,0,58,0,28.137931034482758
2024-06-26,2024-07-02,dental vacation in cancun mexico,0,4,0,31.75
2024-06-26,2024-07-02,dental vacations cancun,0,57,0,27.43859649122807
2024-06-26,2024-07-02,dental work in cancun,0,7,0,85.57142857142857
2024-06-26,2024-07-02,dental work in cancún,0,4,0,77.5
2024-06-26,2024-07-02,resort tourism torts,0,1,0,61
2024-07-03,2024-07-09,best dental implants in cancun,0,4,0,82.5
2024-07-03,2024-07-09,best dental tourism,0,3,0,71
2024-07-03,2024-07-09,best dentist in cancun,0,16,0,91.375
2024-07-03,2024-07-09,best veneers cancun mexico,0,2,0,87
2024-07-03,2024-07-09,cancun cares,0,15,0,80.13333333333334
2024-07-03,2024-07-09,cancun dental tourism,0,97,0,29.804123711340207
2024-07-03,2024-07-09,cancun dental vacation,0,40,0,31.65
