start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,about the practice los algodones,0,5,0,85.8
2024-05-01,2024-05-07,algodones border crossing times,0,1,0,40
2024-05-01,2024-05-07,algodones dental,0,47,0,52.765957446808514
2024-05-01,2024-05-07,algodones dental care,0,13,0,26.846153846153847
2024-05-01,2024-05-07,algodones dental prices,0,58,0,41.48275862068966
2024-05-01,2024-05-07,algodones dentist,0,1,0,36
2024-05-01,2024-05-07,algodones dentist prices,0,2,0,53
2024-05-01,2024-05-07,algodones mexico dental,0,4,0,55
2024-05-01,2024-05-07,algodones mexico dentists prices,0,2,0,35.5
2024-05-01,2024-05-07,all-on-4 dental implants los algodones mx,0,9,0,63.77777777777778
2024-05-01,2024-05-07,all-on-4 los algodones mexico,0,4,0,51.75
2024-05-01,2024-05-07,all-on-6 dental implants los algodones mx,0,5,0,52.6
2024-05-01,2024-05-07,bone grafting los algodones mexico,0,6,0,61.833333333333336
2024-05-01,2024-05-07,bone grafting los algodones mx,0,13,0,62.07692307692308
2024-05-01,2024-05-07,botox los algodones mx,0,6,0,41.833333333333336
2024-05-01,2024-05-07,certified dental clinics in mexico,0,1,0,101
2024-05-01,2024-05-07,cosmetic dentistry los algodones mexico,0,4,0,73.25
2024-05-01,2024-05-07,cosmetic dentistry los algodones mx,0,16,0,80.5
2024-05-01,2024-05-07,crown lengthening los algodones mexico,0,1,0,87
2024-05-01,2024-05-07,dental bonding los algodones mexico,0,3,0,33.666666666666664
2024-05-01,2024-05-07,dental bridges and crowns in los algodones mexico,0,3,0,62.333333333333336
2024-05-01,2024-05-07,dental bridges los algodones,0,17,0,82.76470588235294
2024-05-01,2024-05-07,dental bridges los algodones mexico,0,14,0,83.42857142857143
2024-05-01,2024-05-07,dental bridges los algodones mx,0,5,0,94.6
2024-05-01,2024-05-07,dental crown cost in los algodones,0,5,0,41
2024-05-01,2024-05-07,dental crowns in los algodones,0,1,0,76
2024-05-01,2024-05-07,dental crowns los algodones,0,5,0,67
2024-05-01,2024-05-07,dental crowns los algodones mexico,0,28,0,56.964285714285715
2024-05-01,2024-05-07,dental crowns los algodones mx,0,31,0,62.41935483870968
2024-05-01,2024-05-07,dental implants cost los algodones,0,6,0,65.33333333333333
2024-05-01,2024-05-07,dental implants cost los algodones mexico,0,10,0,55.5
2024-05-01,2024-05-07,dental implants cost los algodones mx,0,12,0,60.666666666666664
2024-05-01,2024-05-07,dental implants los algodones mexico,0,6,0,82.5
2024-05-01,2024-05-07,dental implants los algodones mx,0,9,0,85.33333333333333
2024-05-01,2024-05-07,dental office los algodones,0,4,0,93.25
2024-05-01,2024-05-07,dental tourism los algodones,0,8,0,13.125
2024-05-01,2024-05-07,dental tourism los algodones mexico,0,12,0,15.75
2024-05-01,2024-05-07,dental work in los algodones mexico,0,11,0,43.09090909090909
2024-05-01,2024-05-07,dentist border town,0,1,0,100
2024-05-01,2024-05-07,dentist in los algodones problems,0,4,0,21.5
2024-05-01,2024-05-07,dentist in mexico by yuma az,0,4,0,54.5
2024-05-01,2024-05-07,dentist los algodones mx,0,30,0,75.9
2024-05-01,2024-05-07,dentist town mexico,0,19,0,37.578947368421055
2024-05-01,2024-05-07,dentists in mexico by yuma az,0,28,0,44.035714285714285
2024-05-01,2024-05-07,dentists yuma mexico,0,2,0,76.5
2024-05-01,2024-05-07,dentures los algodones mx,0,12,0,90.75
2024-05-01,2024-05-07,full mouth dental implants los algodones mexico,0,2,0,70
2024-05-01,2024-05-07,full mouth dental implants los algodones mx,0,5,0,76.4
2024-05-01,2024-05-07,full mouth reconstruction los algodones mexico,0,6,0,63.833333333333336
2024-05-01,2024-05-07,full mouth reconstruction los algodones mx,0,10,0,62.8
2024-05-01,2024-05-07,general dentistry los algodones mx,0,1,0,89
2024-05-01,2024-05-07,how much is dental work in los algodones,0,36,0,39.333333333333336
2024-05-01,2024-05-07,implant bridge los algodones mexico,0,6,0,70.66666666666667
2024-05-01,2024-05-07,implant supported bridges los algodones mexico,0,16,0,67.5
2024-05-01,2024-05-07,is algodones mexico safe in 2025,0,1,0,1
2024-05-01,2024-05-07,is it dangerious in alagones,0,4,0,67
2024-05-01,2024-05-07,is los algodones safe 2025,0,6,0,10.333333333333334
2024-05-01,2024-05-07,laser dentistry los algodones mx,0,3,0,70
2024-05-01,2024-05-07,los algodones,0,1,0,10
2024-05-01,2024-05-07,los algodones dental,0,11,0,41.90909090909091
2024-05-01,2024-05-07,los algodones dental clinics,0,2,0,31
2024-05-01,2024-05-07,los algodones dental implants,0,2,0,28
2024-05-01,2024-05-07,los algodones dental implants cost,0,10,0,44
2024-05-01,2024-05-07,los algodones dental prices,0,12,0,38.833333333333336
2024-05-01,2024-05-07,los algodones dental tourism,0,2,0,30.5
2024-05-01,2024-05-07,los algodones dentist,0,21,0,37.142857142857146
2024-05-01,2024-05-07,los algodones dentist price list,0,26,0,51.88461538461539
2024-05-01,2024-05-07,los algodones dentist prices,0,46,0,31.934782608695652
2024-05-01,2024-05-07,los algodones dentist veneers,0,2,0,38
2024-05-01,2024-05-07,los algodones dentistry,0,1,0,46
2024-05-01,2024-05-07,los algodones mexico dentistas,0,8,0,45.25
2024-05-01,2024-05-07,los algodones pharmacies,0,1,0,88
2024-05-01,2024-05-07,los algodones veneers,0,1,0,42
2024-05-01,2024-05-07,medical tourism for dentistry los algodones,0,14,0,14.785714285714286
2024-05-01,2024-05-07,medical tourism for dentistry los algodones mexico,0,8,0,31
2024-05-01,2024-05-07,medical tourism for dentistry los algodones mx,0,5,0,9
2024-05-01,2024-05-07,medical tourism los algodones baja california,0,6,0,56.5
2024-05-01,2024-05-07,medical tourism los algodones mx,0,14,0,69.21428571428571
2024-05-01,2024-05-07,mexican border dentists,0,1,0,46
2024-05-01,2024-05-07,mexican dental,0,2,0,48.5
2024-05-01,2024-05-07,mexican dental town,0,10,0,44.3
2024-05-01,2024-05-07,mexican dentist,0,15,0,50.53333333333333
2024-05-01,2024-05-07,mexican dentist in mexico,0,9,0,61.55555555555556
2024-05-01,2024-05-07,mexican dentist near yuma,0,2,0,53.5
2024-05-01,2024-05-07,mexican dentist town,0,1,0,38
2024-05-01,2024-05-07,mexican dentists,0,16,0,63.5
2024-05-01,2024-05-07,mexican dentists near yuma az,0,10,0,39
2024-05-01,2024-05-07,mexico dentist,0,4,0,79
2024-05-01,2024-05-07,mexico dentists near yuma,0,1,0,40
2024-05-01,2024-05-07,mexico molar city,0,2,0,58
2024-05-01,2024-05-07,molar city mexico,0,30,0,41.833333333333336
2024-05-01,2024-05-07,molar city mexico dentist,0,16,0,50.25
2024-05-01,2024-05-07,molar city mexico prices,0,16,0,42.5625
2024-05-01,2024-05-07,molar city prices,0,2,0,46.5
2024-05-01,2024-05-07,"molar city, mexico prices",0,2,0,44.5
2024-05-01,2024-05-07,orthodontics los algodones mx,0,4,0,83
2024-05-01,2024-05-07,periodontics los algodones mx,0,5,0,92.4
2024-05-01,2024-05-07,periodontist los algodones mexico,0,4,0,82
2024-05-01,2024-05-07,porcelain ceramic crown los algodones,0,1,0,34
2024-05-01,2024-05-07,porcelain veneers los algodones,0,3,0,37.333333333333336
2024-05-01,2024-05-07,prosthodontics los algodones mx,0,4,0,95.25
2024-05-01,2024-05-07,purple pharmacy los algodones mexico,0,1,0,31
2024-05-01,2024-05-07,restorative dentistry los algodones mx,0,5,0,80
2024-05-01,2024-05-07,same-day dentistry los algodones,0,7,0,49.142857142857146
2024-05-01,2024-05-07,save70 hotels,0,1,0,84
2024-05-01,2024-05-07,senior dental care los algodones,0,1,0,5
2024-05-01,2024-05-07,sinus lift los algodones mx,0,6,0,52.833333333333336
2024-05-01,2024-05-07,teeth in a day los algodones,0,14,0,17.928571428571427
2024-05-01,2024-05-07,teeth in a day los algodones mexico,0,4,0,38
2024-05-01,2024-05-07,tooth extraction los algodones mexico,0,2,0,66.5
2024-05-01,2024-05-07,tooth extraction los algodones mx,0,6,0,77.5
2024-05-01,2024-05-07,veneers los algodones mexico,0,21,0,57.42857142857143
2024-05-01,2024-05-07,veneers los algodones mx,0,16,0,54.625
2024-05-01,2024-05-07,zirconia crowns in los algodones,0,11,0,53.72727272727273
2024-05-08,2024-05-14,about the practice los algodones,0,2,0,71
2024-05-08,2024-05-14,affordable dental care in mexico,0,1,0,35
2024-05-08,2024-05-14,algodones dental,0,10,0,55.5
2024-05-08,2024-05-14,algodones dental care,0,2,0,19.5
2024-05-08,2024-05-14,algodones dental prices,0,7,0,38
2024-05-08,2024-05-14,algodones mexico dentist prices,0,1,0,36
2024-05-08,2024-05-14,all-on-4 dental implants los algodones mx,0,8,0,69.25
2024-05-08,2024-05-14,all-on-4 los algodones mexico,0,2,0,52.5
2024-05-08,2024-05-14,all-on-6 dental implants los algodones mx,0,3,0,52.666666666666664
2024-05-08,2024-05-14,bone grafting los algodones mexico,0,6,0,67
2024-05-08,2024-05-14,bone grafting los algodones mx,0,11,0,61.45454545454545
2024-05-08,2024-05-14,botox los algodones mx,0,3,0,40
2024-05-08,2024-05-14,coffee shop in los algodones,0,1,0,36
