start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,algodones hotels,0,9,0,22.555555555555557
2024-05-01,2024-05-07,algodones mexico hotels,0,1,0,23
2024-05-01,2024-05-07,best hotels in los algodones mexico,0,2,0,20.5
2024-05-01,2024-05-07,best ride to algodones from yuma,0,2,0,38
2024-05-01,2024-05-07,best room rates in los algodones,0,7,0,22.571428571428573
2024-05-01,2024-05-07,hacienda los algodones,0,7,0,30.285714285714285
2024-05-01,2024-05-07,hacienda los algodones reviews,0,2,0,12
2024-05-01,2024-05-07,historic coronado hotel yuma,0,1,0,98
2024-05-01,2024-05-07,hotel algodones,0,7,0,63.142857142857146
2024-05-01,2024-05-07,hotel california los algodones mexico,0,2,0,33.5
2024-05-01,2024-05-07,hotel del valle los algodones,0,4,0,27.75
2024-05-01,2024-05-07,hotel hacienda los algodones,0,9,0,28.333333333333332
2024-05-01,2024-05-07,hotel in los algodones,0,13,0,27.846153846153847
2024-05-01,2024-05-07,hotel in los algodones mexico,0,1,0,28
2024-05-01,2024-05-07,hotel in yuma az near los algodones,0,7,0,16.57142857142857
2024-05-01,2024-05-07,hotel los algodones,0,8,0,16.25
2024-05-01,2024-05-07,hotel los algodones mexico,0,1,0,24
2024-05-01,2024-05-07,hoteles en algodones baja california,0,1,0,50
2024-05-01,2024-05-07,hoteles en algodones mexico,0,1,0,70
2024-05-01,2024-05-07,hotels algodones,0,16,0,37.625
2024-05-01,2024-05-07,hotels algodones mexico,0,2,0,24.5
2024-05-01,2024-05-07,hotels in algodones,0,3,0,23.333333333333332
2024-05-01,2024-05-07,hotels in algodones mexico,0,6,0,20.5
2024-05-01,2024-05-07,hotels in los algodones,0,19,0,22.736842105263158
2024-05-01,2024-05-07,hotels in los algodones mexico,0,12,0,22.666666666666668
2024-05-01,2024-05-07,hotels in yuma az near los algodones,0,8,0,17.75
2024-05-01,2024-05-07,hotels los algodones,0,11,0,21.636363636363637
2024-05-01,2024-05-07,hotels los algodones mexico,0,16,0,25.625
2024-05-01,2024-05-07,hotels near algodones mexico,0,3,0,25
2024-05-01,2024-05-07,hotels near los algodones,0,7,0,19.571428571428573
2024-05-01,2024-05-07,hotels near los algodones mexico,0,9,0,23.22222222222222
2024-05-01,2024-05-07,la hacienda los algodones,0,6,0,32.5
2024-05-01,2024-05-07,los algodones dentist price list,0,1,0,61
2024-05-01,2024-05-07,los algodones dentist review,0,1,0,82
2024-05-01,2024-05-07,los algodones dentist- castle dental 1,0,4,0,41.5
2024-05-01,2024-05-07,los algodones hotel,0,6,0,17.166666666666668
2024-05-01,2024-05-07,los algodones hotels,0,13,0,17.76923076923077
2024-05-01,2024-05-07,los algodones mexico hotels,0,10,0,18.1
2024-05-01,2024-05-07,los algodones porcelain veneers,0,2,0,68.5
2024-05-01,2024-05-07,mexican dentists near yuma az,0,1,0,81
2024-05-01,2024-05-07,porcelain veneers los algodones,0,2,0,81
2024-05-01,2024-05-07,room rates in los algodones,0,6,0,27.333333333333332
2024-05-01,2024-05-07,rooms in los algodones,0,7,0,23.142857142857142
2024-05-01,2024-05-07,special offers in los algodones,0,4,0,40.5
2024-05-08,2024-05-14,algodones casino hotel,0,2,0,40
2024-05-08,2024-05-14,algodones hotels,0,1,0,22
2024-05-08,2024-05-14,algodones mexico hotels,0,1,0,22
2024-05-08,2024-05-14,best hotels in los algodones mexico,0,1,0,22
2024-05-08,2024-05-14,best room rates in los algodones,0,1,0,24
2024-05-08,2024-05-14,castle dental algodones,0,1,0,59
2024-05-08,2024-05-14,coronado hotel yuma az,0,1,0,97
2024-05-08,2024-05-14,hacienda los algodones,0,4,0,35.75
2024-05-08,2024-05-14,hacienda los algodones reviews,0,3,0,13
2024-05-08,2024-05-14,hotel algodones,0,2,0,58.5
2024-05-08,2024-05-14,hotel hacienda los algodones,0,3,0,34
2024-05-08,2024-05-14,hotel in los algodones,0,4,0,24
2024-05-08,2024-05-14,hotel in yuma az near los algodones,0,8,0,17.625
2024-05-08,2024-05-14,hotel los algodones,0,3,0,40.333333333333336
2024-05-08,2024-05-14,hotel los algodones mexico,0,1,0,25
2024-05-08,2024-05-14,hotels algodones,0,5,0,37
2024-05-08,2024-05-14,hotels in algodones,0,1,0,20
2024-05-08,2024-05-14,hotels in algodones mexico,0,3,0,20.333333333333332
2024-05-08,2024-05-14,hotels in los algodones,0,8,0,13.625
2024-05-08,2024-05-14,hotels in los algodones mexico,0,2,0,18.5
2024-05-08,2024-05-14,hotels in yuma az near los algodones,0,4,0,17
2024-05-08,2024-05-14,hotels los algodones,0,2,0,13.5
2024-05-08,2024-05-14,hotels los algodones mexico,0,4,0,25.25
2024-05-08,2024-05-14,hotels near los algodones,0,1,0,20
2024-05-08,2024-05-14,hotels near los algodones mexico,0,5,0,23
2024-05-08,2024-05-14,la hacienda los algodones,0,3,0,32
2024-05-08,2024-05-14,los algodones dentist- castle dental 1,0,1,0,34
2024-05-08,2024-05-14,los algodones dentists reviews,0,1,0,84
2024-05-08,2024-05-14,los algodones hotel,0,5,0,44.8
2024-05-08,2024-05-14,los algodones hotels,0,3,0,16
2024-05-08,2024-05-14,los algodones mexico hotels,0,3,0,17.666666666666668
2024-05-08,2024-05-14,los algodones shopping,0,1,0,72
2024-05-08,2024-05-14,mexican dentists near yuma az,0,5,0,82.8
2024-05-08,2024-05-14,room rates in los algodones,0,2,0,30
2024-05-08,2024-05-14,rooms in los algodones,0,3,0,27.666666666666668
2024-05-08,2024-05-14,special offers in los algodones,0,2,0,44.5
2024-05-15,2024-05-21,hotel in yuma az near los algodones,0,5,0,16.8
2024-05-22,2024-05-28,hotel in yuma az near los algodones,0,8,0,18.125
2024-05-29,2024-06-04,hotel in yuma az near los algodones,0,7,0,17.285714285714285
2024-06-05,2024-06-11,hotel in yuma az near los algodones,0,9,0,17.11111111111111
2024-06-12,2024-06-18,hotel in yuma az near los algodones,0,8,0,17
2024-06-19,2024-06-25,hotel in yuma az near los algodones,0,17,0,16.88235294117647
2024-06-26,2024-07-02,hotel in yuma az near los algodones,0,7,0,16.57142857142857
