start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,dental zones,0,1,0,87
2024-05-08,2024-05-14,access to dental care in mexico,0,1,0,59
2024-05-15,2024-05-21,access to dental care in mexico,0,1,0,68
2024-05-22,2024-05-28,the completion of what made travel across the united states quicker and safer,0,1,0,10
2024-05-29,2024-06-04,mexico advantages,0,1,0,95
2024-06-05,2024-06-11,mexico advantages,0,1,0,90
2024-06-12,2024-06-18,dental tourism broker,0,1,0,87
2024-06-19,2024-06-25,dental tourism broker,0,1,0,10
2024-06-26,2024-07-02,mexico oral care market,0,2,0,92.5
2024-07-03,2024-07-09,mexico oral care market,0,1,0,96
