start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,2 types of veneers,0,1,0,68
2024-05-01,2024-05-07,are there different types of veneers,0,1,0,94
2024-05-01,2024-05-07,classification of veneers,0,1,0,30
2024-05-01,2024-05-07,different kind of veneers,0,1,0,90
2024-05-01,2024-05-07,different styles of veneers,0,1,0,84
2024-05-01,2024-05-07,different types of porcelain veneers,0,1,0,100
2024-05-01,2024-05-07,different types of teeth veneers,0,1,0,59
2024-05-01,2024-05-07,different veneers,0,1,0,88
2024-05-01,2024-05-07,types of veneers,0,3,0,79
2024-05-01,2024-05-07,what is the 4 8 10 rule for veneers?,0,1,0,94
2024-05-08,2024-05-14,4 8 10 rule veneers,0,1,0,90
2024-05-08,2024-05-14,classification of veneers,0,1,0,42
2024-05-08,2024-05-14,different kind of veneers,0,1,0,101
2024-05-08,2024-05-14,different type of veneers,0,1,0,91
2024-05-08,2024-05-14,different types of porcelain veneers,0,1,0,89
2024-05-08,2024-05-14,different types of teeth veneers,0,1,0,95
2024-05-08,2024-05-14,different types of veneer,0,3,0,93
2024-05-08,2024-05-14,different types of veneers,0,4,0,91.5
2024-05-08,2024-05-14,different veneer shapes,0,5,0,91.8
2024-05-08,2024-05-14,different veneers,0,5,0,85.6
2024-05-08,2024-05-14,types of vaneers,0,1,0,97
2024-05-08,2024-05-14,types of veeners,0,1,0,100
2024-05-08,2024-05-14,types of veneers,0,20,0,98.5
2024-05-08,2024-05-14,what are the different types of veneers,0,1,0,61
2024-05-08,2024-05-14,what is the 4 8 10 rule for veneers?,0,1,0,99
2024-05-15,2024-05-21,2 types of veneers,0,1,0,96
2024-05-15,2024-05-21,are there different types of veneers,0,1,0,71
2024-05-15,2024-05-21,different styles of veneers,0,1,0,85
2024-05-15,2024-05-21,different type of veneers,0,2,0,93
2024-05-15,2024-05-21,different types of teeth veneers,0,1,0,92
2024-05-15,2024-05-21,different types of veneer,0,1,0,94
2024-05-15,2024-05-21,different types of veneers,0,29,0,95.13793103448276
2024-05-15,2024-05-21,different veneer shapes,0,7,0,89.71428571428571
2024-05-15,2024-05-21,different veneers,0,6,0,72.83333333333333
2024-05-15,2024-05-21,how many types of veneer,0,1,0,65
2024-05-15,2024-05-21,types of vaneers,0,2,0,95.5
2024-05-15,2024-05-21,types of veneers,0,21,0,96.66666666666667
2024-05-15,2024-05-21,veneers different types,0,1,0,91
2024-05-15,2024-05-21,veneers types,0,1,0,99
2024-05-15,2024-05-21,what are the different types of veneers,0,3,0,95.33333333333333
2024-05-22,2024-05-28,2 types of veneers,0,1,0,95
2024-05-22,2024-05-28,are there different types of veneers,0,1,0,75
2024-05-22,2024-05-28,different kind of veneers,0,1,0,83
2024-05-22,2024-05-28,different styles of veneers,0,1,0,80
2024-05-22,2024-05-28,different type of veneers,0,4,0,93.5
2024-05-22,2024-05-28,different types of teeth veneers,0,1,0,96
2024-05-22,2024-05-28,different types of vaneers,0,1,0,93
2024-05-22,2024-05-28,different types of veeners,0,1,0,94
2024-05-22,2024-05-28,different types of veneer,0,2,0,92
2024-05-22,2024-05-28,different types of veneers,0,20,0,96.15
2024-05-22,2024-05-28,different veneer shapes,0,5,0,96.6
2024-05-22,2024-05-28,different veneers,0,1,0,67
2024-05-22,2024-05-28,two types of veneers,0,1,0,97
2024-05-22,2024-05-28,types of veneers,0,5,0,95.8
2024-05-22,2024-05-28,veneers classification,0,1,0,44
2024-05-22,2024-05-28,veneers different types,0,3,0,94.33333333333333
2024-05-22,2024-05-28,what are the different types of veneers,0,2,0,93
2024-05-22,2024-05-28,what are the types of veneers,0,1,0,99
2024-05-29,2024-06-04,different types of veneers,0,7,0,95.85714285714286
2024-05-29,2024-06-04,different veneer shapes,0,3,0,92.66666666666667
2024-05-29,2024-06-04,different veneers,0,6,0,79
2024-05-29,2024-06-04,types of veneers,0,14,0,97.85714285714286
2024-05-29,2024-06-04,veneers different types,0,1,0,83
2024-05-29,2024-06-04,what are the different types of veneers,0,1,0,92
