start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,dental veneer materials,0,1,0,69
2024-05-01,2024-05-07,veneer materials,0,7,0,70.85714285714286
2024-05-01,2024-05-07,veneer travel website,0,1,0,54
2024-05-01,2024-05-07,veneers material,0,9,0,76.22222222222223
2024-05-08,2024-05-14,composite veneers mexico cost,0,1,0,67
2024-05-08,2024-05-14,dental veneers materials,0,2,0,67
2024-05-08,2024-05-14,porcelain veneers mexico cost,0,1,0,98
2024-05-08,2024-05-14,veneer materials,0,13,0,56.69230769230769
2024-05-08,2024-05-14,veneer travel website,0,3,0,48.333333333333336
2024-05-08,2024-05-14,veneers material,0,23,0,78.52173913043478
2024-05-08,2024-05-14,veneers price canada,0,1,0,60
2024-05-15,2024-05-21,dental veneer material,0,8,0,72.75
2024-05-15,2024-05-21,lumineers los algodones mexico,0,1,0,41
2024-05-15,2024-05-21,veneer materials,0,9,0,58.22222222222222
2024-05-15,2024-05-21,veneer travel website,0,1,0,99
2024-05-15,2024-05-21,veneers material,0,16,0,79.5625
2024-05-22,2024-05-28,average cost of veneers in mexico,0,1,0,61
2024-05-22,2024-05-28,cost of veneers canada,0,1,0,69
2024-05-22,2024-05-28,dental veneer material,0,6,0,58.5
2024-05-22,2024-05-28,dental veneer materials,0,2,0,67.5
2024-05-22,2024-05-28,dental veneers material,0,3,0,64.66666666666666
2024-05-22,2024-05-28,lumineers los algodones mexico,0,1,0,45
2024-05-22,2024-05-28,lumineers mexico cost,0,1,0,53
2024-05-22,2024-05-28,veneer materials,0,4,0,56.5
2024-05-22,2024-05-28,veneer teeth cost canada,0,1,0,77
2024-05-22,2024-05-28,veneers material,0,19,0,70.89473684210526
2024-05-29,2024-06-04,cancun veneers cost,0,3,0,87
2024-05-29,2024-06-04,dental veneer material,0,5,0,57
2024-05-29,2024-06-04,dental veneers material,0,7,0,70
2024-05-29,2024-06-04,dental veneers materials,0,1,0,64
2024-05-29,2024-06-04,how much are veneers in cancun,0,3,0,97.66666666666667
2024-05-29,2024-06-04,lumineers los algodones mexico,0,1,0,45
2024-05-29,2024-06-04,veneers cancun cost,0,1,0,100
2024-05-29,2024-06-04,veneers cost abroad,0,1,0,74
2024-05-29,2024-06-04,veneers cost cancun,0,3,0,89
2024-06-05,2024-06-11,cancun veneers $2 500,0,2,0,64
2024-06-05,2024-06-11,cancun veneers cost,0,48,0,91.41666666666667
2024-06-05,2024-06-11,dental veneer material,0,3,0,69.66666666666667
2024-06-05,2024-06-11,dental veneer materials,0,7,0,62.42857142857143
2024-06-05,2024-06-11,dental veneers material,0,7,0,69.14285714285714
2024-06-05,2024-06-11,guadalajara veneers,0,1,0,47
2024-06-05,2024-06-11,how much are veneers in cancun,0,2,0,94.5
2024-06-05,2024-06-11,veneer travel website,0,2,0,50
2024-06-05,2024-06-11,veneers cancun cost,0,25,0,95.36
2024-06-05,2024-06-11,veneers cost cancun,0,36,0,88.11111111111111
2024-06-05,2024-06-11,veneers cost in cancun,0,7,0,98.71428571428571
2024-06-05,2024-06-11,veneers in cancun mexico cost,0,55,0,86.89090909090909
2024-06-05,2024-06-11,veneers material,0,4,0,94.75
2024-06-12,2024-06-18,cancun veneers cost,0,45,0,92.4888888888889
2024-06-12,2024-06-18,dental veneer material,0,1,0,78
2024-06-12,2024-06-18,dental veneer materials,0,2,0,63.5
2024-06-12,2024-06-18,dental veneers material,0,7,0,62.857142857142854
2024-06-12,2024-06-18,dental veneers materials,0,3,0,83
2024-06-12,2024-06-18,lumineers los algodones mexico,0,1,0,40
2024-06-12,2024-06-18,veneer travel website,0,7,0,35.57142857142857
2024-06-12,2024-06-18,veneers cancun cost,0,23,0,97.34782608695652
2024-06-12,2024-06-18,veneers cost cancun,0,31,0,92.48387096774194
2024-06-12,2024-06-18,veneers in cancun mexico cost,0,35,0,88.42857142857143
2024-06-12,2024-06-18,veneers material,0,4,0,102.25
2024-06-12,2024-06-18,veneers price canada,0,1,0,86
2024-06-19,2024-06-25,cancun veneers cost,0,31,0,94.2258064516129
2024-06-19,2024-06-25,dental veneer material,0,1,0,75
2024-06-19,2024-06-25,dental veneer materials,0,2,0,66.5
2024-06-19,2024-06-25,dental veneers material,0,8,0,64.75
2024-06-19,2024-06-25,lumineers cost in mexico,0,1,0,63
2024-06-19,2024-06-25,lumineers mexico cost,0,1,0,57
2024-06-19,2024-06-25,veneers cancun cost,0,11,0,99.0909090909091
2024-06-19,2024-06-25,veneers cost cancun,0,23,0,94.8695652173913
2024-06-19,2024-06-25,veneers in cancun mexico cost,0,45,0,87.91111111111111
2024-06-19,2024-06-25,veneers in monterrey,0,1,0,46
2024-06-19,2024-06-25,veneers juarez,0,1,0,81
2024-06-19,2024-06-25,veneers material,0,7,0,101.28571428571429
2024-06-26,2024-07-02,cancun veneers cost,0,6,0,96.66666666666667
2024-06-26,2024-07-02,dental veneer materials,0,1,0,99
2024-06-26,2024-07-02,dental veneers material,0,3,0,63
2024-06-26,2024-07-02,veneers cost cancun,0,12,0,92.16666666666667
2024-06-26,2024-07-02,veneers in cancun mexico cost,0,10,0,87.9
2024-06-26,2024-07-02,veneers in monterrey,0,2,0,50
2024-06-26,2024-07-02,veneers in monterrey mexico,0,1,0,63
