start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,dentacare travel,0,1,0,43
2024-05-01,2024-05-07,dental vacation packages in mexico,0,2,0,74.5
2024-05-08,2024-05-14,dentacare travel,0,2,0,72
2024-05-08,2024-05-14,dental mexico guide,0,4,0,85.5
2024-05-08,2024-05-14,dental travel mexico,0,1,0,88
2024-05-15,2024-05-21,dentacare travel,0,8,0,67
2024-05-15,2024-05-21,dental mexico guide,0,7,0,86.28571428571429
2024-05-15,2024-05-21,dental travel mexico,0,2,0,89
2024-05-15,2024-05-21,dental vacation in mexico,0,1,0,65
2024-05-15,2024-05-21,off peak timings,0,1,0,47
2024-05-22,2024-05-28,dentacare travel,0,7,0,77
2024-05-22,2024-05-28,dental vacation packages in mexico,0,1,0,62
2024-05-29,2024-06-04,dentacare travel,0,5,0,75.8
2024-06-05,2024-06-11,dentacare travel,0,3,0,76
2024-06-12,2024-06-18,dentacare travel,0,4,0,77
2024-06-19,2024-06-25,mexico peak season,0,1,0,78
2024-06-26,2024-07-02,dental departures mexico,0,1,0,29
2024-07-03,2024-07-09,dental vacation in mexico,0,1,0,75
2024-07-10,2024-07-16,dental vacation in mexico,0,2,0,66.5
2024-07-10,2024-07-16,evaluate the hospitality & hotels company autograph collection on personalization & customer service mexico city,0,1,0,9
2024-07-10,2024-07-16,mexico dental tourism,0,1,0,1
