start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,american biodental center tijuana,0,1,0,42
2024-05-01,2024-05-07,american biodental reviews,0,2,0,45.5
2024-05-01,2024-05-07,american biodental tijuana,0,4,0,40.75
2024-05-01,2024-05-07,best dental clinic in tijuana,0,1,0,75
2024-05-01,2024-05-07,best dentist tijuana,0,2,0,87
2024-05-01,2024-05-07,best-dentist-tijuana,0,1,0,89
2024-05-01,2024-05-07,bio dental care,0,11,0,52.27272727272727
2024-05-01,2024-05-07,bio dental care tijuana,0,16,0,13
2024-05-01,2024-05-07,bio dental care tijuana reviews,0,1,0,18
2024-05-01,2024-05-07,bio dental tijuana,0,14,0,22.071428571428573
2024-05-01,2024-05-07,bio dentist tijuana,0,12,0,34.083333333333336
2024-05-01,2024-05-07,bio dentistry tijuana,0,12,0,40.166666666666664
2024-05-01,2024-05-07,biodental,0,29,0,93.17241379310344
2024-05-01,2024-05-07,biodental care,0,42,0,12.80952380952381
2024-05-01,2024-05-07,biodental care reviews,0,9,0,10.222222222222221
2024-05-01,2024-05-07,biodental care tijuana,0,21,0,12.952380952380953
2024-05-01,2024-05-07,biodental center,0,14,0,59.857142857142854
2024-05-01,2024-05-07,biodental mexico,0,2,0,32
2024-05-01,2024-05-07,biodental tijuana,0,26,0,18.576923076923077
2024-05-01,2024-05-07,dental clinic tijuana,0,2,0,97.5
2024-05-01,2024-05-07,dental rio tijuana,0,1,0,82
2024-05-01,2024-05-07,dentist in tijuana zona rio,0,1,0,67
2024-05-01,2024-05-07,oklahoma dds waiver,0,1,0,13
2024-05-01,2024-05-07,washington dental clinic tijuana,0,2,0,76.5
2024-05-01,2024-05-07,washington dental tijuana,0,3,0,76.33333333333333
2024-05-08,2024-05-14,american bio dental tijuana,0,1,0,47
2024-05-08,2024-05-14,american bio dental tijuana mexico,0,1,0,48
2024-05-08,2024-05-14,american biodental tijuana,0,7,0,43.285714285714285
2024-05-08,2024-05-14,bc dental tijuana,0,3,0,96.33333333333333
2024-05-08,2024-05-14,bio dental care,0,16,0,74.625
2024-05-08,2024-05-14,bio dental care tijuana,0,24,0,11.666666666666666
2024-05-08,2024-05-14,bio dental reviews,0,1,0,30
2024-05-08,2024-05-14,bio dental tijuana,0,15,0,22
2024-05-08,2024-05-14,bio dentist tijuana,0,13,0,38
2024-05-08,2024-05-14,bio dentistry tijuana,0,2,0,42
2024-05-08,2024-05-14,biodental,0,31,0,95.74193548387096
2024-05-08,2024-05-14,biodental care,0,59,0,11.728813559322035
2024-05-08,2024-05-14,biodental care reviews,0,14,0,10.142857142857142
2024-05-08,2024-05-14,biodental care tijuana,0,23,0,12.173913043478262
2024-05-08,2024-05-14,biodental clinic,0,1,0,43
2024-05-08,2024-05-14,biodental mexico,0,5,0,36.2
2024-05-08,2024-05-14,biodental tijuana,0,28,0,13.571428571428571
2024-05-08,2024-05-14,dental rio tijuana,0,16,0,74.6875
2024-05-08,2024-05-14,washington dental clinic tijuana,0,1,0,52
2024-05-15,2024-05-21,american bio dental tijuana,0,1,0,70
2024-05-15,2024-05-21,american bio dental tijuana mexico,0,1,0,48
2024-05-15,2024-05-21,american biodental center,0,1,0,53
2024-05-15,2024-05-21,american biodental center tijuana,0,1,0,40
2024-05-15,2024-05-21,american biodental tijuana,0,6,0,37.166666666666664
2024-05-15,2024-05-21,bc dental tijuana,0,12,0,72.83333333333333
2024-05-15,2024-05-21,best dentist in tijuana reviews,0,1,0,94
2024-05-15,2024-05-21,best dentist tijuana,0,8,0,94.5
2024-05-15,2024-05-21,best dentists tijuana,0,2,0,98
2024-05-15,2024-05-21,best veneers in tijuana,0,2,0,100.5
2024-05-15,2024-05-21,bio dental care,0,11,0,52.09090909090909
2024-05-15,2024-05-21,bio dental care tijuana,0,18,0,11.61111111111111
2024-05-15,2024-05-21,bio dental reviews,0,1,0,96
2024-05-15,2024-05-21,bio dental tijuana,0,14,0,19.428571428571427
2024-05-15,2024-05-21,bio dentist tijuana,0,11,0,36
2024-05-15,2024-05-21,bio dentistry tijuana,0,8,0,41.125
2024-05-15,2024-05-21,biodental,0,34,0,90.5
2024-05-15,2024-05-21,biodental care,0,61,0,11.459016393442623
2024-05-15,2024-05-21,biodental care reviews,0,19,0,8.894736842105264
2024-05-15,2024-05-21,biodental care tijuana,0,24,0,12
2024-05-15,2024-05-21,biodental clinic,0,1,0,24
2024-05-15,2024-05-21,biodental mexico,0,5,0,35.4
2024-05-15,2024-05-21,biodental tijuana,0,28,0,12.607142857142858
2024-05-15,2024-05-21,dental care tijuana,0,8,0,88.5
2024-05-15,2024-05-21,dental clinic tijuana,0,12,0,96.25
2024-05-15,2024-05-21,dental rio tijuana,0,15,0,62.4
2024-05-15,2024-05-21,dentist in tijuana zona rio,0,1,0,72
2024-05-15,2024-05-21,dr trejo dentist,0,1,0,63
2024-05-15,2024-05-21,mercury removal in tijuana,0,1,0,58
2024-05-15,2024-05-21,washington dental clinic tijuana,0,3,0,53.666666666666664
