start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,dentist playa del carmen,0,1,0,97
2024-05-08,2024-05-14,best dental implants playa del carmen,0,9,0,56.111111111111114
2024-05-08,2024-05-14,best dentist in playa del carmen,0,4,0,50
2024-05-08,2024-05-14,bokanova dental center,0,1,0,45
2024-05-08,2024-05-14,bokanova riviera maya,0,1,0,74
2024-05-08,2024-05-14,dental clinics in playa del carmen,0,11,0,51.54545454545455
2024-05-08,2024-05-14,dental implants in playa del carmen,0,3,0,60
2024-05-08,2024-05-14,dental treatment in playa del carmen,0,4,0,63.5
2024-05-08,2024-05-14,dentist playa del carmen,0,13,0,75.46153846153847
2024-05-08,2024-05-14,dentists in playa del carmen,0,6,0,61.333333333333336
2024-05-08,2024-05-14,playa del carmen dentist,0,2,0,94
2024-05-15,2024-05-21,best dental implants playa del carmen,0,12,0,51.333333333333336
2024-05-15,2024-05-21,bokanova playa del carmen,0,3,0,12
2024-05-15,2024-05-21,del sur dental,0,1,0,72
2024-05-15,2024-05-21,del sur dentistry,0,1,0,89
2024-05-15,2024-05-21,dental caribe,0,2,0,71.5
2024-05-15,2024-05-21,dental clinics in playa del carmen,0,12,0,37.166666666666664
2024-05-15,2024-05-21,dental implants in playa del carmen,0,10,0,61.7
2024-05-15,2024-05-21,dental nova tijuana,0,1,0,41
2024-05-15,2024-05-21,dental treatment in playa del carmen,0,6,0,52.833333333333336
2024-05-15,2024-05-21,dentist in playa del carmen,0,1,0,59
2024-05-15,2024-05-21,dentist playa del carmen,0,11,0,56.45454545454545
2024-05-15,2024-05-21,dentists in playa del carmen,0,4,0,61.25
2024-05-15,2024-05-21,playa del carmen dentist,0,4,0,55.75
2024-05-15,2024-05-21,playa del carmen dentists prices,0,3,0,74
2024-05-15,2024-05-21,quintana dental,0,1,0,72
2024-05-22,2024-05-28,best dental implants playa del carmen,0,3,0,63
2024-05-22,2024-05-28,boka lawsuit,0,1,0,7
2024-05-22,2024-05-28,bokanova,0,1,0,43
2024-05-22,2024-05-28,bokanova dental center,0,1,0,29
2024-05-22,2024-05-28,bokanova playa del carmen,0,1,0,35
2024-05-22,2024-05-28,bokanova riviera maya,0,3,0,68.66666666666667
2024-05-22,2024-05-28,del sur dental,0,1,0,67
2024-05-22,2024-05-28,del sur dentistry,0,1,0,79
2024-05-22,2024-05-28,dental clinics in playa del carmen,0,3,0,43.333333333333336
2024-05-22,2024-05-28,dental implants in playa del carmen,0,3,0,59
2024-05-22,2024-05-28,dental treatment in playa del carmen,0,1,0,56
2024-05-22,2024-05-28,dentist del sur,0,5,0,76.2
2024-05-22,2024-05-28,dentist playa del carmen,0,3,0,56.333333333333336
2024-05-22,2024-05-28,dentists in playa del carmen,0,2,0,56
2024-05-22,2024-05-28,playa del carmen dental,0,4,0,85.75
2024-05-22,2024-05-28,quintana dental,0,1,0,77
2024-05-29,2024-06-04,boka lawsuit,0,1,0,7
2024-05-29,2024-06-04,bokanova playa del carmen,0,2,0,10
2024-05-29,2024-06-04,bokanova riviera maya,0,1,0,74
2024-05-29,2024-06-04,del sur dental,0,1,0,69
2024-05-29,2024-06-04,dentist del sur,0,7,0,74
2024-05-29,2024-06-04,playa del carmen dental implants,0,1,0,90
2024-06-05,2024-06-11,best dental implants playa del carmen,0,1,0,63
2024-06-05,2024-06-11,bokanova,0,2,0,10.5
2024-06-05,2024-06-11,bokanova dental center,0,2,0,7
2024-06-05,2024-06-11,bokanova playa del carmen,0,2,0,12.5
2024-06-05,2024-06-11,bokanova riviera maya,0,2,0,70.5
2024-06-05,2024-06-11,del tech dental clinic,0,1,0,60
2024-06-05,2024-06-11,dental implants in playa del carmen,0,5,0,76.4
2024-06-05,2024-06-11,dentist del sur,0,8,0,69.875
2024-06-05,2024-06-11,playa del carmen dental,0,2,0,85.5
2024-06-12,2024-06-18,all-inclusive dental implants mexico,0,4,0,91.5
2024-06-12,2024-06-18,best dentist in playa del carmen,0,1,0,61
2024-06-12,2024-06-18,bokanova,0,4,0,28.25
2024-06-12,2024-06-18,bokanova dental center,0,3,0,24
2024-06-12,2024-06-18,cancun dental design,0,1,0,94
2024-06-12,2024-06-18,caribe dental,0,1,0,56
2024-06-12,2024-06-18,del sur dental,0,4,0,55.5
2024-06-12,2024-06-18,dental caribe,0,4,0,41
2024-06-12,2024-06-18,dental implants playa del carmen,0,1,0,92
2024-06-12,2024-06-18,dentist del sur,0,10,0,73.9
2024-06-12,2024-06-18,playa del carmen dental,0,4,0,81.5
2024-06-12,2024-06-18,playa del carmen dental implants,0,1,0,87
2024-06-19,2024-06-25,all-inclusive dental implants mexico,0,3,0,71.33333333333333
2024-06-19,2024-06-25,best dental implants playa del carmen,0,6,0,51
2024-06-19,2024-06-25,best dentist in playa del carmen,0,2,0,55
2024-06-19,2024-06-25,boka lawsuit,0,1,0,7
