start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,best dentist in mexico for veneers,0,1,0,90
2024-05-01,2024-05-07,best dentist in monterrey mexico,0,1,0,47
2024-05-01,2024-05-07,dental boutique cost,0,1,0,54
2024-05-01,2024-05-07,dental boutique prices,0,1,0,45
2024-05-01,2024-05-07,dental boutique veneers cost,0,2,0,40.5
2024-05-01,2024-05-07,exclusive dental boutique park city,0,6,0,28.666666666666668
2024-05-01,2024-05-07,mexico city veneers,0,2,0,35.5
2024-05-01,2024-05-07,ny dental boutique,0,1,0,54
2024-05-01,2024-05-07,the dental boutique clinic,0,1,0,75
2024-05-01,2024-05-07,veneers mexico city,0,1,0,29
2024-05-01,2024-05-07,wisdom teeth removal mexico city,0,1,0,30
2024-05-08,2024-05-14,best dentist in monterrey mexico,0,1,0,72
2024-05-08,2024-05-14,cey dental,0,1,0,5
2024-05-08,2024-05-14,dr yamile hernandez reviews,0,2,0,63.5
2024-05-08,2024-05-14,exclusive dental boutique park city,0,6,0,20
2024-05-08,2024-05-14,first division dental clinic,0,1,0,56
2024-05-08,2024-05-14,ny dental boutique,0,1,0,54
2024-05-08,2024-05-14,porcelain veneers monterrey mexico,0,2,0,28.5
2024-05-08,2024-05-14,veneers mexico city,0,2,0,34
2024-05-08,2024-05-14,wisdom teeth removal mexico city,0,1,0,31
2024-05-15,2024-05-21,cey boutique,0,1,0,21
2024-05-15,2024-05-21,dr yamile hernandez reviews,0,1,0,54
2024-05-15,2024-05-21,exclusive dental boutique park city,0,7,0,20.714285714285715
2024-05-15,2024-05-21,mexico city veneers,0,1,0,34
2024-05-15,2024-05-21,veneers in mexico city,0,1,0,36
2024-05-22,2024-05-28,best dental clinic in mexico,0,1,0,75
2024-05-22,2024-05-28,dental clinic mexico,0,2,0,80.5
2024-05-22,2024-05-28,exclusive dental boutique park city,0,5,0,16
2024-05-22,2024-05-28,"painless dental equipment company is incorporated in colorado. in wyoming, painless is",0,1,0,51
2024-05-29,2024-06-04,dental clinic mexico,0,1,0,83
2024-05-29,2024-06-04,exclusive dental boutique park city,0,7,0,14.142857142857142
2024-06-05,2024-06-11,dental boutique,1,1,1,20
2024-06-05,2024-06-11,exclusive dental boutique park city,0,8,0,18.25
2024-06-05,2024-06-11,gold care dental clinic mexico,0,3,0,36
2024-06-05,2024-06-11,how to not cey,0,1,0,91
2024-06-12,2024-06-18,dental boutique clinic,0,1,0,73
2024-06-12,2024-06-18,exclusive dental boutique park city,0,6,0,17.833333333333332
2024-06-12,2024-06-18,gold care dental clinic mexico,0,3,0,34
2024-06-12,2024-06-18,teeth whitening mexico city,0,1,0,48
2024-06-19,2024-06-25,dentist near me,0,1,0,1
2024-06-19,2024-06-25,deposito dental en mexico,0,1,0,1
2024-06-19,2024-06-25,exclusive dental boutique park city,0,3,0,18
2024-06-19,2024-06-25,gold care dental clinic mexico,0,2,0,37.5
2024-06-19,2024-06-25,veneers mexico city,0,1,0,51
2024-06-26,2024-07-02,exclusive dental boutique park city,0,3,0,19.666666666666668
2024-06-26,2024-07-02,gold care dental clinic mexico,0,1,0,36
2024-06-26,2024-07-02,the dental boutique clinic,0,1,0,86
2024-07-03,2024-07-09,"av. río san joaquín 436, amp granada, miguel hidalgo, 11529 ciudad de méxico, cdmx",0,1,0,5
2024-07-03,2024-07-09,best dentist in algodones mexico,0,1,0,56
2024-07-03,2024-07-09,exclusive dental boutique park city,0,3,0,20.666666666666668
2024-07-03,2024-07-09,gold care dental clinic mexico,0,1,0,24
2024-07-10,2024-07-16,dental clinic mexico city,1,2,0.5,7.5
2024-07-10,2024-07-16,"av. río san joaquín 436, amp granada, miguel hidalgo, 11529 ciudad de méxico, cdmx",0,1,0,5
2024-07-10,2024-07-16,cey boutique live event,0,6,0,15
2024-07-10,2024-07-16,dental clinics in mexico city,0,1,0,59
2024-07-10,2024-07-16,exclusive dental boutique park city,0,5,0,20.2
2024-07-10,2024-07-16,hidalgo dental clinic,0,1,0,85
2024-07-17,2024-07-23,cey boutique live event,0,3,0,13
2024-07-17,2024-07-23,dental boutique clinic,0,2,0,78
2024-07-17,2024-07-23,dental clinics in mexico city,0,1,0,58
2024-07-17,2024-07-23,exclusive dental boutique park city,0,6,0,23
2024-07-17,2024-07-23,gentle dentist,0,1,0,74
2024-07-17,2024-07-23,hidalgo dental clinic,0,3,0,49.333333333333336
2024-07-24,2024-07-30,dental boutique clinic,0,2,0,83.5
2024-07-24,2024-07-30,dental boutique price list,0,1,0,63
2024-07-24,2024-07-30,exclusive dental boutique park city,0,2,0,21.5
2024-07-31,2024-08-06,"av. río san joaquín 436, amp granada, miguel hidalgo, 11529 ciudad de méxico, cdmx",0,1,0,11
2024-07-31,2024-08-06,best dentist in mexico city,0,2,0,13.5
2024-07-31,2024-08-06,dental boutique clinic,0,1,0,37
2024-07-31,2024-08-06,dental clinic mexico city,0,3,0,9
2024-07-31,2024-08-06,dental clinics in mexico city,0,6,0,46.5
2024-07-31,2024-08-06,dental mexico city,0,1,0,28
2024-07-31,2024-08-06,dentist in eastport,0,1,0,89
2024-07-31,2024-08-06,dentist in mexico city,0,1,0,6
2024-07-31,2024-08-06,dentist mexico city,0,4,0,12.5
2024-07-31,2024-08-06,dentists mexico city,0,1,0,11
2024-07-31,2024-08-06,english speaking dentist mexico city,0,3,0,7.333333333333333
2024-07-31,2024-08-06,exclusive dental boutique park city,0,1,0,22
2024-08-07,2024-08-13,"av. río san joaquín 436, amp granada, miguel hidalgo, 11529 ciudad de méxico, cdmx",0,1,0,7
2024-08-07,2024-08-13,best dentist mexico city,0,2,0,12.5
2024-08-07,2024-08-13,best dentists in mexico city,0,1,0,11
2024-08-07,2024-08-13,cosmetic dentistry near me,0,1,0,59
2024-08-07,2024-08-13,dental clinics in mexico city,0,4,0,48.25
2024-08-07,2024-08-13,dentist boutique,0,1,0,7
2024-08-07,2024-08-13,dentist in mexico city,0,1,0,14
2024-08-07,2024-08-13,dentist mexico city,0,3,0,12
2024-08-07,2024-08-13,english speaking dentist mexico city,0,6,0,7
2024-08-07,2024-08-13,exclusive dental boutique park city,0,2,0,35.5
2024-08-07,2024-08-13,ideal dental center mexico city,0,1,0,31
2024-08-07,2024-08-13,mexico city dentist,0,1,0,12
2024-08-07,2024-08-13,periodontics near me,0,1,0,78
2024-08-14,2024-08-20,aesthetic dental near me,0,1,0,7
2024-08-14,2024-08-20,affordable cosmetic dentistry near me,0,1,0,79
2024-08-14,2024-08-20,best dentist in mexico city,0,2,0,8
2024-08-14,2024-08-20,dental boutique clinic,0,2,0,86
2024-08-14,2024-08-20,dental clinic mexico city,0,3,0,10.333333333333334
2024-08-14,2024-08-20,dental clinics in mexico city,0,5,0,33.6
2024-08-14,2024-08-20,dr yamile hernandez reviews,0,1,0,52
2024-08-14,2024-08-20,english speaking dentist mexico city,0,1,0,7
2024-08-14,2024-08-20,hidalgo dental clinic,0,1,0,99
2024-08-14,2024-08-20,mexico city veneers,0,1,0,75
2024-08-14,2024-08-20,smile design dental clinic near me,0,1,0,9
2024-08-14,2024-08-20,smile design mexico,0,11,0,82.81818181818181
2024-08-21,2024-08-27,best dentist in mexico city,0,1,0,13
2024-08-21,2024-08-27,cey boutique back up shopping,0,1,0,13
2024-08-21,2024-08-27,dental clinic mexico city,0,1,0,13
2024-08-21,2024-08-27,dental implant mexico city,0,1,0,58
2024-08-21,2024-08-27,english speaking dentist mexico city,0,1,0,10
2024-08-21,2024-08-27,smile design clinic mexico,0,1,0,49
2024-08-21,2024-08-27,veneers mexico city,0,1,0,53
2024-08-28,2024-09-03,cosmetic dentistry near me,0,1,0,60
2024-08-28,2024-09-03,dental boutique clinic,0,3,0,77.33333333333333
2024-08-28,2024-09-03,dental clinic mexico city,0,3,0,11.333333333333334
2024-08-28,2024-09-03,english speaking dentist mexico city,0,7,0,6.428571428571429
2024-08-28,2024-09-03,english speaking dentist near me,0,1,0,75
2024-08-28,2024-09-03,gold care dental clinic mexico,0,1,0,43
2024-08-28,2024-09-03,smile design mexico,0,1,0,79
2024-09-04,2024-09-10,best dentist in mexico city,0,1,0,10
2024-09-04,2024-09-10,boutique dentist,0,1,0,11
2024-09-04,2024-09-10,cosmetic dentistry near me,0,2,0,56
2024-09-04,2024-09-10,dental boutique clinic,0,1,0,83
2024-09-04,2024-09-10,dental clinics in mexico city,0,1,0,54
2024-09-04,2024-09-10,exclusive dental boutique park city,0,2,0,34
2024-09-04,2024-09-10,periodontists near me,0,1,0,79
2024-09-11,2024-09-17,best dental clinics in mexico for americans,0,1,0,93
2024-09-11,2024-09-17,cosmetic dentistry near me,0,2,0,51
2024-09-11,2024-09-17,dental boutique clinic,0,2,0,85.5
2024-09-11,2024-09-17,dental clinic mexico city,0,1,0,13
2024-09-11,2024-09-17,english speaking dentist mexico city,0,2,0,9
2024-09-11,2024-09-17,exclusive dental boutique park city,0,3,0,32.66666666666667
2024-09-11,2024-09-17,periodontist near me,0,2,0,77
2024-09-18,2024-09-24,best dental clinic in mexico,0,1,0,77
2024-09-18,2024-09-24,best periodontist mexico,0,1,0,99
2024-09-18,2024-09-24,cey no limit,0,1,0,32
2024-09-18,2024-09-24,cosmetic dentistry near me,0,1,0,54
2024-09-18,2024-09-24,dental boutique clinic,0,1,0,42
2024-09-18,2024-09-24,dental nic mexico city,0,1,0,10
2024-09-18,2024-09-24,dr yamile hernandez reviews,0,7,0,24.714285714285715
2024-09-18,2024-09-24,english speaking dentist mexico city,0,2,0,8
2024-09-18,2024-09-24,mexico city dentist,0,1,0,28
2024-09-18,2024-09-24,mexico city dentists,0,1,0,51
2024-09-18,2024-09-24,periodontist near me,0,7,0,85
2024-09-18,2024-09-24,the dental boutique clinic,0,1,0,87
2024-09-25,2024-10-01,best dental clinics mexico,0,1,0,92
2024-09-25,2024-10-01,best dentist in mexico city,0,2,0,36
2024-09-25,2024-10-01,cey no limit,0,1,0,36
2024-09-25,2024-10-01,dental smile,0,1,0,1
2024-09-25,2024-10-01,dentist mexico city,0,1,0,45
2024-09-25,2024-10-01,dr yamile hernandez reviews,0,16,0,33.75
2024-09-25,2024-10-01,english speaking dentist mexico city,0,5,0,8.4
2024-10-02,2024-10-08,best dentist in mexico city,0,2,0,37
2024-10-02,2024-10-08,best periodontist mexico,0,4,0,91.75
2024-10-02,2024-10-08,dental boutique,0,1,0,10
2024-10-02,2024-10-08,dentist in mexico city,0,1,0,9
2024-10-02,2024-10-08,dentist mexico city,0,1,0,32
2024-10-02,2024-10-08,dr yamile hernandez reviews,0,14,0,58.142857142857146
2024-10-02,2024-10-08,english speaking dentist mexico city,0,2,0,8
2024-10-02,2024-10-08,periodontics near me,0,1,0,50
2024-10-02,2024-10-08,smile design mexico,0,1,0,77
2024-10-09,2024-10-15,best dentist in mexico city,0,1,0,33
2024-10-09,2024-10-15,best dentist mexico city,0,1,0,38
2024-10-09,2024-10-15,best periodontist mexico,0,3,0,92
2024-10-09,2024-10-15,dental clinics in mexico city,0,2,0,72.5
2024-10-09,2024-10-15,dental mexico city,0,1,0,52
2024-10-09,2024-10-15,dentist in mexico city,0,1,0,39
