start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,dentists in juarez mexico,1,1,1,1
2024-05-01,2024-05-07,best dentist in juarez,0,1,0,33
2024-05-01,2024-05-07,best dentist in juarez mexico,0,2,0,37.5
2024-05-01,2024-05-07,"best dentist in juarez, mexico",0,1,0,1
2024-05-01,2024-05-07,ciudad dental clinic,0,1,0,11
2024-05-01,2024-05-07,clinica a laser,0,1,0,19
2024-05-01,2024-05-07,clinica dental,0,1,0,76
2024-05-01,2024-05-07,clinica dental laser,0,2,0,8.5
2024-05-01,2024-05-07,clinica juarez laser,0,1,0,15
2024-05-01,2024-05-07,dental implants juarez,0,1,0,46
2024-05-01,2024-05-07,dental juarez chihuahua,0,1,0,73
2024-05-01,2024-05-07,dentist in juarez mexico,0,56,0,49.892857142857146
2024-05-01,2024-05-07,juarez dental clinic,0,1,0,33
2024-05-01,2024-05-07,juarez dentists,0,3,0,44.666666666666664
2024-05-01,2024-05-07,juarez laser,0,2,0,7.5
2024-05-01,2024-05-07,juarez lazer,0,1,0,11
2024-05-01,2024-05-07,juarez mexico dentist,0,1,0,1
2024-05-01,2024-05-07,mexico dental lasers market,0,6,0,67.33333333333333
2024-05-01,2024-05-07,washington dental clinic in juarez mexico,0,1,0,36
2024-05-01,2024-05-07,washington dental in juarez mexico,0,1,0,46
2024-05-08,2024-05-14,best dentist in juarez,0,3,0,30
2024-05-08,2024-05-14,"best dentist in juarez, mexico",0,1,0,1
2024-05-08,2024-05-14,ciudad dental,0,1,0,11
2024-05-08,2024-05-14,clinica cd juarez,0,1,0,63
2024-05-08,2024-05-14,clinica dental,0,1,0,69
2024-05-08,2024-05-14,clinica dental juarez,0,1,0,23
2024-05-08,2024-05-14,clinica dental laser,0,10,0,8.4
2024-05-08,2024-05-14,clinica dental mexico dc,0,1,0,53
2024-05-08,2024-05-14,clinica en ciudad juarez,0,1,0,57
2024-05-08,2024-05-14,clinicas en cd juarez,0,1,0,91
2024-05-08,2024-05-14,clínica juárez lazer,0,1,0,8
2024-05-08,2024-05-14,consultorio dental cancun,0,1,0,81
2024-05-08,2024-05-14,dental clinic juarez,0,1,0,30
2024-05-08,2024-05-14,dental clinic monterrey,0,1,0,73
2024-05-08,2024-05-14,dental clinics in juarez mexico,0,2,0,18
2024-05-08,2024-05-14,dental implants juarez mexico,0,1,0,34
2024-05-08,2024-05-14,dental in juarez mexico,0,1,0,42
2024-05-08,2024-05-14,dental laser mexico,0,1,0,32
2024-05-08,2024-05-14,dentist ciudad juarez mexico,0,1,0,43
2024-05-08,2024-05-14,dentist in juarez mexico,0,2,0,19
2024-05-08,2024-05-14,dentist juarez mexico,0,1,0,54
2024-05-08,2024-05-14,dentists in juarez mexico,0,2,0,48.5
2024-05-08,2024-05-14,implant dentistry in mexico,0,1,0,1
2024-05-08,2024-05-14,juarez dental implants,0,1,0,26
2024-05-08,2024-05-14,juarez dentists,0,2,0,50
2024-05-08,2024-05-14,juarez lazer,0,1,0,19
2024-05-08,2024-05-14,laser dental clinic,0,1,0,29
2024-05-08,2024-05-14,los algodones dental clinic,0,1,0,86
2024-05-08,2024-05-14,mexico dental lasers market,0,14,0,59.214285714285715
2024-05-15,2024-05-21,best dentist in juarez,0,3,0,49
2024-05-15,2024-05-21,"best dentist in juarez, mexico",0,3,0,14.333333333333334
2024-05-15,2024-05-21,clinica dental,0,1,0,28
2024-05-15,2024-05-21,clinica dental laser,0,12,0,9
2024-05-15,2024-05-21,clinica dental mexico dc,0,1,0,63
2024-05-15,2024-05-21,clinica juarez laser,0,2,0,14
2024-05-15,2024-05-21,dental cd juarez,0,1,0,1
2024-05-15,2024-05-21,dental clinic monterrey,0,1,0,80
2024-05-15,2024-05-21,dental clinics in juarez mexico,0,2,0,19
2024-05-15,2024-05-21,dental implants juarez mexico,0,2,0,37
2024-05-15,2024-05-21,dental implants mexico,0,1,0,1
2024-05-15,2024-05-21,dental washington juarez,0,1,0,27
2024-05-15,2024-05-21,dentist in juarez mexico,0,3,0,1
2024-05-15,2024-05-21,dentist juarez mexico,0,1,0,58
2024-05-15,2024-05-21,dentures in mexico,0,1,0,1
2024-05-15,2024-05-21,implantes dentales cd juarez,0,1,0,1
2024-05-15,2024-05-21,juarez dental,0,1,0,34
2024-05-15,2024-05-21,juarez dental clinic,0,1,0,29
2024-05-15,2024-05-21,juarez dental implants,0,2,0,19.5
2024-05-15,2024-05-21,juarez dentists,0,5,0,53.2
2024-05-15,2024-05-21,juarez mexico dental implants,0,1,0,1
2024-05-15,2024-05-21,laser juarez,0,4,0,8
2024-05-15,2024-05-21,mexico dental lasers market,0,14,0,56.42857142857143
2024-05-15,2024-05-21,periodoncista cd juarez,0,1,0,1
2024-05-15,2024-05-21,washington dental clinic mexico,0,8,0,64.875
2024-05-15,2024-05-21,washington dental in juarez mexico,0,1,0,34
2024-05-22,2024-05-28,best dentist in juarez mexico,0,2,0,26.5
2024-05-22,2024-05-28,"best dentist in juarez, mexico",0,1,0,1
2024-05-22,2024-05-28,clinica dental laser,0,19,0,8.578947368421051
2024-05-22,2024-05-28,clinica juarez laser,0,1,0,8
2024-05-22,2024-05-28,clinica laser dental,0,3,0,2.666666666666667
2024-05-22,2024-05-28,dental implants in mexico,0,1,0,1
2024-05-22,2024-05-28,dental washington juarez,0,1,0,27
2024-05-22,2024-05-28,dentist in juarez mexico,0,1,0,1
2024-05-22,2024-05-28,dentist juarez,0,1,0,4
2024-05-22,2024-05-28,juarez dental,0,1,0,71
2024-05-22,2024-05-28,juarez dentists,0,1,0,55
2024-05-22,2024-05-28,juarez mexico dentist,0,1,0,1
2024-05-22,2024-05-28,laser juarez,0,1,0,10
2024-05-22,2024-05-28,mejor dentista en ciudad juárez,0,1,0,1
2024-05-22,2024-05-28,mexico dental lasers market,0,9,0,66.22222222222223
2024-05-22,2024-05-28,washington dental ciudad juarez,0,2,0,23
2024-05-29,2024-06-04,"""ciudad juárez""",0,1,0,55
2024-05-29,2024-06-04,best dentist in juarez mexico,0,1,0,1
2024-05-29,2024-06-04,"best dentist in juarez, mexico",0,1,0,1
2024-05-29,2024-06-04,clinica dental juarez,0,1,0,1
2024-05-29,2024-06-04,clinica dental laser,0,16,0,7.875
2024-05-29,2024-06-04,clinica juarez laser,0,4,0,9.75
2024-05-29,2024-06-04,clínica juárez lazer,0,1,0,15
2024-05-29,2024-06-04,dental implants in juarez mexico,0,1,0,1
2024-05-29,2024-06-04,dental implants in mexico,0,1,0,17
2024-05-29,2024-06-04,dentist in juarez mexico,0,1,0,1
2024-05-29,2024-06-04,dentures in mexico,0,2,0,8.5
2024-05-29,2024-06-04,juarez dental clinic,0,1,0,30
2024-05-29,2024-06-04,juarez dental implants,0,1,0,1
2024-05-29,2024-06-04,juarez lazer,0,1,0,19
2024-05-29,2024-06-04,laser juarez,0,1,0,11
2024-05-29,2024-06-04,mexico dental lasers market,0,7,0,68.85714285714286
2024-05-29,2024-06-04,washington dental clinic in juarez mexico,0,3,0,27
2024-06-05,2024-06-11,"best dentist in juarez, mexico",0,1,0,1
2024-06-05,2024-06-11,clinica dental laser,0,20,0,8.5
2024-06-05,2024-06-11,clinica juarez laser,0,1,0,9
2024-06-05,2024-06-11,clínica dental láser,0,1,0,5
2024-06-05,2024-06-11,dental clinic juarez,0,1,0,27
2024-06-05,2024-06-11,dental implants juarez mexico,0,1,0,1
2024-06-05,2024-06-11,dental washington juarez,0,1,0,28
2024-06-05,2024-06-11,dentist juarez mexico,0,1,0,1
2024-06-05,2024-06-11,mexico dental lasers market,0,13,0,61.84615384615385
2024-06-12,2024-06-18,best dentist in juarez mexico,0,1,0,1
2024-06-12,2024-06-18,ciudad dental clinic,0,1,0,17
2024-06-12,2024-06-18,clinica dental laser,0,13,0,9.846153846153847
2024-06-12,2024-06-18,clinica santa clara cd juarez,0,1,0,10
2024-06-12,2024-06-18,dental care in juarez mexico,0,1,0,58
2024-06-12,2024-06-18,dental implants in mexico,0,1,0,1
2024-06-12,2024-06-18,dental sign juarez,0,1,0,12
2024-06-12,2024-06-18,dental washington juarez,0,2,0,28.5
2024-06-12,2024-06-18,juarez laser,0,1,0,16
2024-06-12,2024-06-18,laser juarez,0,3,0,11.666666666666666
2024-06-12,2024-06-18,mexico dental lasers market,0,20,0,61.55
2024-06-12,2024-06-18,mexico teeth implants,0,1,0,4
2024-06-12,2024-06-18,washington dental clinic juarez,0,1,0,37
2024-06-19,2024-06-25,clinica dental laser,0,23,0,10.130434782608695
2024-06-19,2024-06-25,clinica juarez laser,0,1,0,7
