start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,marietta dental care tijuana,0,1,0,41
2024-05-08,2024-05-14,best dentists in los algodones,0,1,0,29
2024-05-08,2024-05-14,hotel california los algodones mexico,0,1,0,71
2024-05-08,2024-05-14,los algodones dental,0,1,0,68
2024-05-08,2024-05-14,marietta dental care,0,6,0,11.833333333333334
2024-05-08,2024-05-14,marietta dental care los algodones,0,17,0,15.176470588235293
2024-05-08,2024-05-14,marietta dental care tijuana,0,11,0,36.18181818181818
2024-05-08,2024-05-14,marietta dental care tijuana mx,0,5,0,39.8
2024-05-08,2024-05-14,marietta dental clinic,0,1,0,43
2024-05-08,2024-05-14,marietta dental mexico,0,1,0,19
2024-05-15,2024-05-21,dental care los algodones,0,6,0,95.16666666666667
2024-05-15,2024-05-21,dental implants los algodones,0,1,0,91
2024-05-15,2024-05-21,marietta dental care,0,5,0,21
2024-05-15,2024-05-21,marietta dental care los algodones,0,21,0,11.095238095238095
2024-05-15,2024-05-21,marietta dental care reviews,0,1,0,35
2024-05-15,2024-05-21,marietta dental care tijuana,0,11,0,34.90909090909091
2024-05-15,2024-05-21,marietta dental care tijuana mx,0,4,0,39.75
2024-05-15,2024-05-21,marietta dental clinic,0,12,0,27.083333333333332
2024-05-15,2024-05-21,marietta dental los algodones,0,2,0,11
2024-05-22,2024-05-28,marietta dental care reviews,1,2,0.5,36
2024-05-22,2024-05-28,dental care los algodones,0,19,0,93.6842105263158
2024-05-22,2024-05-28,marietta dental care,0,10,0,9.7
2024-05-22,2024-05-28,marietta dental care los algodones,0,22,0,9.272727272727273
2024-05-22,2024-05-28,marietta dental care los algodones reviews,0,1,0,15
2024-05-22,2024-05-28,marietta dental care tijuana,0,14,0,32.285714285714285
2024-05-22,2024-05-28,marietta dental care tijuana mx,0,6,0,36.5
2024-05-22,2024-05-28,marietta dental care tijuana reviews,0,1,0,24
2024-05-22,2024-05-28,marietta dental los algodones,0,2,0,7.5
2024-05-22,2024-05-28,marietta dental works,0,1,0,98
2024-05-22,2024-05-28,top dental clinic in los algodones,0,5,0,91.2
2024-05-29,2024-06-04,marietta dental care los algodones,1,29,0.034482758620689655,9.068965517241379
2024-05-29,2024-06-04,dental care los algodones,0,12,0,88.25
2024-05-29,2024-06-04,dental clinics in los algodones,0,1,0,91
2024-05-29,2024-06-04,hawaii los algodones,0,1,0,38
2024-05-29,2024-06-04,marietta dental care,0,18,0,10.666666666666666
