start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,best dentist in guadalajara mexico,0,1,0,27
2024-05-01,2024-05-07,dental implants guadalajara mexico,0,1,0,62
2024-05-01,2024-05-07,proclinic,0,2,0,58
2024-05-01,2024-05-07,smile design clinic guadalajara,0,1,0,20
2024-05-01,2024-05-07,veneers guadalajara,0,1,0,16
2024-05-01,2024-05-07,veneers in guadalajara mexico,0,1,0,26
2024-05-08,2024-05-14,best dentist in guadalajara mexico,0,1,0,21
2024-05-08,2024-05-14,dental implants guadalajara mexico,0,1,0,65
2024-05-08,2024-05-14,proclin,0,1,0,21
2024-05-08,2024-05-14,proclinic,0,3,0,58
2024-05-08,2024-05-14,proclinic dental guadalajara,0,16,0,7.9375
2024-05-08,2024-05-14,veneers guadalajara,0,4,0,25
2024-05-08,2024-05-14,veneers in guadalajara mexico,0,3,0,29.333333333333332
2024-05-15,2024-05-21,de cardenas dental clinic,0,6,0,70.66666666666667
2024-05-15,2024-05-21,dental implants guadalajara mexico,0,1,0,42
2024-05-15,2024-05-21,guadalajara dental clinic,0,8,0,25.25
2024-05-15,2024-05-21,guadalajara medical clinic,0,1,0,79
2024-05-15,2024-05-21,proclinic,0,4,0,82.75
2024-05-15,2024-05-21,proclinic dental guadalajara,0,8,0,8.125
2024-05-15,2024-05-21,veneers guadalajara,0,3,0,11.666666666666666
2024-05-15,2024-05-21,veneers in guadalajara mexico,0,2,0,23.5
2024-05-22,2024-05-28,de cardenas dental clinic,0,9,0,66.66666666666667
2024-05-22,2024-05-28,dental implants guadalajara mexico,0,1,0,52
2024-05-22,2024-05-28,dentist in guadalajara mexico,0,3,0,31.333333333333332
2024-05-22,2024-05-28,guadalajara dental clinic,0,16,0,25.5625
2024-05-22,2024-05-28,guadalajara dental implants,0,4,0,53
2024-05-22,2024-05-28,guadalajara medical clinic,0,1,0,84
2024-05-22,2024-05-28,proclinic,0,2,0,46
2024-05-22,2024-05-28,proclinic dental guadalajara,0,1,0,11
2024-05-22,2024-05-28,veneers guadalajara,0,5,0,12.2
2024-05-22,2024-05-28,veneers in guadalajara mexico,0,2,0,24.5
2024-05-29,2024-06-04,all dental clinic,0,1,0,11
2024-05-29,2024-06-04,best dentist in guadalajara mexico,0,1,0,26
2024-05-29,2024-06-04,clinic guadalajara,0,1,0,6
2024-05-29,2024-06-04,de cardenas dental clinic,0,6,0,68
2024-05-29,2024-06-04,dental clinic guadalajara,0,1,0,12
2024-05-29,2024-06-04,dentist in guadalajara mexico,0,3,0,30.666666666666668
2024-05-29,2024-06-04,guadalajara clinic,0,1,0,30
2024-05-29,2024-06-04,guadalajara dental,0,1,0,55
2024-05-29,2024-06-04,guadalajara dental clinic,0,13,0,24.53846153846154
2024-05-29,2024-06-04,guadalajara dental implants,0,2,0,55
2024-05-29,2024-06-04,guadalajara veneers,0,2,0,12
2024-05-29,2024-06-04,proclinic,0,8,0,24.875
2024-05-29,2024-06-04,proclinic dental guadalajara,0,2,0,7
2024-05-29,2024-06-04,proclinic especialidades dentales,0,1,0,75
2024-05-29,2024-06-04,teeth implants in guadalajara jalisco,0,6,0,53.666666666666664
2024-05-29,2024-06-04,veneers guadalajara,0,6,0,16.5
2024-05-29,2024-06-04,veneers in guadalajara mexico,0,2,0,25.5
2024-06-05,2024-06-11,bosque dental,0,1,0,94
2024-06-05,2024-06-11,de cardenas dental clinic,0,13,0,58.38461538461539
2024-06-05,2024-06-11,dental center guadalajara,0,1,0,4
2024-06-05,2024-06-11,dentist in guadalajara,0,1,0,25
2024-06-05,2024-06-11,guadalajara dental clinic,0,13,0,23.615384615384617
2024-06-05,2024-06-11,guadalajara medical clinic,0,1,0,69
2024-06-05,2024-06-11,pro clinic,0,1,0,17
2024-06-05,2024-06-11,proclinic,0,11,0,37.81818181818182
2024-06-05,2024-06-11,proclinic dental,0,2,0,7.5
2024-06-05,2024-06-11,proclinic dental guadalajara,0,11,0,7
2024-06-05,2024-06-11,proclinic guadalajara,0,3,0,9
2024-06-05,2024-06-11,teeth implants in guadalajara jalisco,0,4,0,53.75
2024-06-05,2024-06-11,veneers guadalajara,0,10,0,12.3
2024-06-05,2024-06-11,veneers in guadalajara mexico,0,2,0,14.5
2024-06-12,2024-06-18,de cardenas dental clinic,0,10,0,55.4
2024-06-12,2024-06-18,dental clinic guadalajara,0,1,0,12
2024-06-12,2024-06-18,dental guadalajara,0,1,0,88
2024-06-12,2024-06-18,guadalajara clinic,0,1,0,30
2024-06-12,2024-06-18,guadalajara dental clinic,0,8,0,21.375
2024-06-12,2024-06-18,guadalajara medical clinic,0,1,0,81
2024-06-12,2024-06-18,guadalajara veneers,0,2,0,11.5
2024-06-12,2024-06-18,proclinic,0,5,0,62.4
2024-06-12,2024-06-18,proclinic dental,0,1,0,7
2024-06-12,2024-06-18,proclinic especialidades dentales,0,1,0,67
2024-06-12,2024-06-18,smile design clinic guadalajara,0,1,0,18
2024-06-12,2024-06-18,teeth implants in guadalajara jalisco,0,5,0,53.8
2024-06-12,2024-06-18,veneers guadalajara,0,13,0,15.153846153846153
2024-06-12,2024-06-18,veneers in guadalajara mexico,0,5,0,16.2
2024-06-19,2024-06-25,de cardenas dental clinic,0,12,0,55.583333333333336
2024-06-19,2024-06-25,guadalajara dental clinic,0,9,0,19.333333333333332
2024-06-19,2024-06-25,proclinic,0,4,0,29.75
2024-06-19,2024-06-25,proclinic dental guadalajara,0,4,0,7
2024-06-19,2024-06-25,teeth implants in guadalajara jalisco,0,2,0,54
2024-06-19,2024-06-25,veneers guadalajara,0,15,0,10.4
2024-06-19,2024-06-25,veneers in guadalajara mexico,0,11,0,11.272727272727273
2024-06-26,2024-07-02,de cardenas dental clinic,0,14,0,53.785714285714285
2024-06-26,2024-07-02,dentist in guadalajara mexico,0,1,0,84
2024-06-26,2024-07-02,guadalajara dental,0,1,0,42
2024-06-26,2024-07-02,guadalajara dental clinic,0,10,0,18.9
2024-06-26,2024-07-02,proclinic,0,4,0,29.5
2024-06-26,2024-07-02,proclinic dental,0,1,0,19
2024-06-26,2024-07-02,proclinic dental guadalajara,0,5,0,7.8
2024-06-26,2024-07-02,proclinic especialidades dentales,0,6,0,62.166666666666664
2024-06-26,2024-07-02,teeth implants in guadalajara jalisco,0,1,0,51
2024-06-26,2024-07-02,veneers guadalajara,0,9,0,9.666666666666666
2024-06-26,2024-07-02,veneers in guadalajara mexico,0,10,0,11.2
