start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,18007787879,0,6,0,3
2024-05-08,2024-05-14,18007787879,0,1,0,2
2024-05-15,2024-05-21,18007787879,1,2,0.5,2.5
2024-05-22,2024-05-28,18007787879,1,7,0.14285714285714285,2.7142857142857144
2024-05-29,2024-06-04,18007787879,0,3,0,4
2024-06-05,2024-06-11,18007787879,0,5,0,2.8
2024-06-12,2024-06-18,18007787879,0,1,0,3
2024-06-19,2024-06-25,18007787879,0,4,0,2.25
2024-06-26,2024-07-02,18007787879,0,5,0,2.2
2024-07-03,2024-07-09,18007787879,0,4,0,2.5
2024-07-10,2024-07-16,18007787879,0,2,0,3.5
2024-07-17,2024-07-23,18007787879,0,2,0,3.5
2024-07-24,2024-07-30,18007787879,0,2,0,5
2024-07-31,2024-08-06,18007787879,0,1,0,3
2024-08-07,2024-08-13,18007787879,0,1,0,5
2024-08-07,2024-08-13,globalcare inc,0,1,0,71
2024-08-14,2024-08-20,18007787879,0,1,0,4
2024-08-21,2024-08-27,18007787879,0,1,0,5
2024-08-28,2024-09-03,18007787879,0,5,0,5
2024-09-04,2024-09-10,18007787879,0,1,0,5
2024-09-11,2024-09-17,18007787879,0,2,0,6
2024-09-18,2024-09-24,12377 merit dr dallas tx 75251,0,1,0,24
2024-09-18,2024-09-24,12377 merit drive dallas tx,0,1,0,30
2024-09-18,2024-09-24,12377 merit drive dallas tx 75251,0,2,0,29.5
2024-09-18,2024-09-24,18007787879,0,1,0,7
2024-09-18,2024-09-24,globalcare,0,1,0,60
2024-09-25,2024-10-01,12377 merit drive,0,1,0,19
2024-09-25,2024-10-01,12377 merit drive dallas tx,0,1,0,31
2024-10-02,2024-10-08,12377 merit dr dallas tx,0,1,0,24
2024-10-02,2024-10-08,12377 merit dr dallas tx 75251,0,1,0,17
2024-10-02,2024-10-08,12377 merit drive,0,1,0,16
2024-10-02,2024-10-08,12377 merit drive dallas tx,0,1,0,29
2024-10-09,2024-10-15,18007787879,0,1,0,5
2024-10-16,2024-10-22,12377 merit dr,0,1,0,22
2024-10-16,2024-10-22,global care phone number,0,1,0,5
2024-10-23,2024-10-29,12377 merit drive,0,1,0,33
2024-10-23,2024-10-29,12377 merit drive dallas tx 75251,0,2,0,27
2024-10-30,2024-11-05,12377 merit dr,0,1,0,18
2024-10-30,2024-11-05,18007787879,0,1,0,8
2024-11-06,2024-11-12,18007787879,0,4,0,1.5
2024-11-06,2024-11-12,469-809 phone number,0,1,0,19
2024-11-13,2024-11-19,12377 merit dr,0,1,0,9
2024-11-20,2024-11-26,12377 merit dr,0,1,0,25
2024-11-27,2024-12-03,12377 merit dr dallas tx,0,1,0,27
2024-12-04,2024-12-10,12377 merit dr,0,1,0,25
2024-12-11,2024-12-17,12377 merit dr dallas tx,0,1,0,29
2024-12-11,2024-12-17,18007787879,0,1,0,3
2024-12-18,2024-12-24,12377 merit dr dallas tx,0,1,0,20
2024-12-25,2024-12-31,12377 merit dr,0,3,0,24.666666666666668
2024-12-25,2024-12-31,12377 merit drive dallas tx 75251,0,1,0,10
2025-01-01,2025-01-07,12377 merit dr dallas tx,0,1,0,33
2025-01-08,2025-01-14,18007787879,0,1,0,3
2025-01-15,2025-01-21,12377 merit dr dallas tx,0,2,0,83
2025-01-22,2025-01-28,12377 merit dr dallas tx,0,1,0,64
2025-01-22,2025-01-28,12377 merit drive dallas,0,1,0,89
2025-01-29,2025-02-04,12377 merit dr dallas tx,0,1,0,71
2025-02-05,2025-02-11,12377 merit dr dallas tx,0,1,0,90
2025-02-12,2025-02-18,12377 merit dr dallas tx,0,1,0,74
2025-02-12,2025-02-18,12377 merit drive dallas,0,1,0,99
2025-02-19,2025-02-25,globalcare,0,1,0,1
