start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,dentist in guadalajara,0,1,0,53
2024-05-01,2024-05-07,dentist in guadalajara mexico,0,1,0,53
2024-05-01,2024-05-07,guadalajara dental,0,1,0,42
2024-05-01,2024-05-07,guadalajara dental clinic,0,1,0,57
2024-05-01,2024-05-07,guadalajara dental implants,0,1,0,57
2024-05-08,2024-05-14,dental implants guadalajara mexico,0,2,0,45.5
2024-05-08,2024-05-14,guadalajara dental,0,2,0,56.5
2024-05-08,2024-05-14,guadalajara dental implants,0,5,0,60.2
2024-05-08,2024-05-14,teeth implants in guadalajara jalisco,0,1,0,101
2024-05-15,2024-05-21,dental implants guadalajara mexico,0,1,0,39
2024-05-15,2024-05-21,dentist guadalajara,0,3,0,38.666666666666664
2024-05-15,2024-05-21,dentist in guadalajara,0,4,0,39
2024-05-15,2024-05-21,guadalajara dental,0,4,0,40.5
2024-05-15,2024-05-21,guadalajara dental clinic,0,2,0,69
2024-05-15,2024-05-21,guadalajara dental implants,0,6,0,53.5
2024-05-15,2024-05-21,guadalajara dentist,0,1,0,64
2024-05-15,2024-05-21,teeth implants in guadalajara jalisco,0,1,0,69
2024-05-22,2024-05-28,dental implants guadalajara mexico,0,2,0,43
2024-05-22,2024-05-28,dentist guadalajara,0,3,0,33.666666666666664
2024-05-22,2024-05-28,dentist in guadalajara,0,1,0,34
2024-05-22,2024-05-28,guadalajara dental clinic,0,3,0,62.666666666666664
2024-05-22,2024-05-28,guadalajara dental implants,0,3,0,54.333333333333336
2024-05-22,2024-05-28,guadalajara dentist,0,2,0,28
2024-05-29,2024-06-04,dental implants guadalajara mexico,0,3,0,44.333333333333336
2024-05-29,2024-06-04,guadalajara dental implants,0,6,0,60.5
2024-05-29,2024-06-04,orthodontics place guadalajara,0,2,0,29
2024-05-29,2024-06-04,teeth implants in guadalajara jalisco,0,1,0,76
2024-06-05,2024-06-11,dental implants guadalajara mexico,0,4,0,43.75
2024-06-05,2024-06-11,dental implants in guadalajara mexico,0,2,0,46.5
2024-06-05,2024-06-11,dentist guadalajara,0,1,0,45
2024-06-05,2024-06-11,guadalajara dental,0,2,0,70
2024-06-05,2024-06-11,guadalajara dental care,0,2,0,70
2024-06-05,2024-06-11,guadalajara dental clinic,0,1,0,62
2024-06-05,2024-06-11,guadalajara dental implants,0,4,0,68
2024-06-05,2024-06-11,teeth implants in guadalajara jalisco,0,4,0,74.5
2024-06-12,2024-06-18,dental implants guadalajara mexico,0,2,0,66.5
2024-06-12,2024-06-18,dental implants in guadalajara mexico,0,1,0,47
2024-06-12,2024-06-18,dentist guadalajara,0,1,0,36
2024-06-12,2024-06-18,guadalajara dental,0,4,0,51
2024-06-12,2024-06-18,guadalajara dental clinic,0,2,0,60.5
2024-06-12,2024-06-18,guadalajara dental implants,0,7,0,86.14285714285714
2024-06-12,2024-06-18,guadalajara dentist,0,2,0,62.5
2024-06-12,2024-06-18,teeth implants in guadalajara jalisco,0,2,0,85.5
2024-06-12,2024-06-18,veneers in guadalajara mexico,0,1,0,79
2024-06-19,2024-06-25,best dentist in guadalajara mexico,0,1,0,64
2024-06-19,2024-06-25,dental implants guadalajara mexico,0,1,0,85
2024-06-19,2024-06-25,dentist guadalajara,0,1,0,39
2024-06-19,2024-06-25,guadalajara dental clinic,0,4,0,53
2024-06-19,2024-06-25,guadalajara dental implants,0,3,0,91.66666666666667
2024-06-19,2024-06-25,teeth implants in guadalajara jalisco,0,2,0,94
2024-06-26,2024-07-02,guadalajara dental,0,1,0,56
2024-06-26,2024-07-02,guadalajara dental implants,0,7,0,87.28571428571429
2024-06-26,2024-07-02,teeth implants in guadalajara jalisco,0,5,0,88
2024-06-26,2024-07-02,veneers guadalajara,0,2,0,44.5
2024-06-26,2024-07-02,veneers in guadalajara mexico,0,1,0,73
2024-07-03,2024-07-09,guadalajara dental care,0,1,0,57
2024-07-03,2024-07-09,guadalajara dental implants,0,5,0,83.6
2024-07-03,2024-07-09,orthodontics place guadalajara,0,1,0,6
2024-07-03,2024-07-09,teeth implants in guadalajara jalisco,0,2,0,86
2024-07-10,2024-07-16,guadalajara dental,0,2,0,38
2024-07-10,2024-07-16,guadalajara dental clinic,0,1,0,68
2024-07-10,2024-07-16,guadalajara dental implants,0,7,0,85.28571428571429
2024-07-10,2024-07-16,guadalajara dentist,0,1,0,61
2024-07-10,2024-07-16,teeth implants in guadalajara jalisco,0,4,0,101.25
2024-07-17,2024-07-23,dentist guadalajara,0,3,0,42
2024-07-17,2024-07-23,guadalajara dental,0,3,0,35
2024-07-17,2024-07-23,guadalajara dental care,0,1,0,60
2024-07-17,2024-07-23,guadalajara dental implants,0,4,0,84.75
2024-07-17,2024-07-23,teeth implants in guadalajara jalisco,0,1,0,102
2024-07-24,2024-07-30,dental implants guadalajara mexico,0,1,0,81
2024-07-24,2024-07-30,guadalajara dental clinic,0,1,0,62
2024-07-24,2024-07-30,guadalajara dental implants,0,6,0,83.5
2024-07-24,2024-07-30,guadalajara dentist,0,1,0,54
2024-07-31,2024-08-06,best dentist in guadalajara mexico,0,1,0,60
2024-07-31,2024-08-06,guadalajara dental implants,0,5,0,87
2024-08-07,2024-08-13,dental implants guadalajara mexico,0,1,0,78
2024-08-07,2024-08-13,dental implants in guadalajara mexico,0,1,0,83
2024-08-07,2024-08-13,guadalajara dental,0,2,0,39
2024-08-07,2024-08-13,guadalajara dental clinic,0,1,0,56
2024-08-07,2024-08-13,guadalajara dental implants,0,4,0,85.75
2024-08-14,2024-08-20,dental implants guadalajara mexico,0,2,0,55
2024-08-14,2024-08-20,dentist guadalajara,0,1,0,26
2024-08-14,2024-08-20,dentist in guadalajara mexico,0,1,0,32
2024-08-14,2024-08-20,guadalajara dental,0,2,0,37.5
2024-08-14,2024-08-20,guadalajara dental clinic,0,4,0,54.5
2024-08-14,2024-08-20,guadalajara dental implants,0,6,0,74.16666666666667
2024-08-14,2024-08-20,guadalajara dentist,0,1,0,36
2024-08-14,2024-08-20,save guadalajara,0,2,0,16.5
2024-08-14,2024-08-20,veneers guadalajara,0,1,0,58
2024-08-14,2024-08-20,veneers in guadalajara mexico,0,1,0,62
2024-08-21,2024-08-27,best dentist in guadalajara mexico,0,1,0,54
2024-08-21,2024-08-27,dental implants guadalajara mexico,0,2,0,59.5
2024-08-21,2024-08-27,dentist guadalajara,0,2,0,30
2024-08-21,2024-08-27,dentist in guadalajara,0,2,0,39.5
2024-08-21,2024-08-27,guadalajara dental clinic,0,2,0,41
2024-08-21,2024-08-27,guadalajara dental implants,0,3,0,76.66666666666667
2024-08-21,2024-08-27,guadalajara dentist,0,3,0,32.33333333333333
2024-08-21,2024-08-27,orthodontics place guadalajara,0,1,0,12
2024-08-21,2024-08-27,veneers guadalajara,0,1,0,53
2024-08-28,2024-09-03,dental implants guadalajara mexico,0,3,0,53
2024-08-28,2024-09-03,dental implants in guadalajara mexico,0,2,0,59
2024-08-28,2024-09-03,dentist guadalajara,0,2,0,35.5
2024-08-28,2024-09-03,dentist in guadalajara,0,1,0,34
2024-08-28,2024-09-03,dentist in guadalajara mexico,0,1,0,35
2024-08-28,2024-09-03,guadalajara dental,0,1,0,44
2024-08-28,2024-09-03,guadalajara dental care,0,1,0,60
2024-08-28,2024-09-03,guadalajara dental clinic,0,10,0,55.8
2024-08-28,2024-09-03,guadalajara dental implants,0,7,0,85
2024-08-28,2024-09-03,teeth implants in guadalajara jalisco,0,6,0,78.83333333333333
