start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,cabo san lucas dental,0,1,0,76
2024-05-01,2024-05-07,cabo san lucas dental clinic,0,1,0,63
2024-05-01,2024-05-07,cabo san lucas dental implants,0,1,0,72
2024-05-01,2024-05-07,dental implants cabo san lucas,0,1,0,73
2024-05-01,2024-05-07,dentist in los cabos,0,1,0,72
2024-05-01,2024-05-07,dentists in cabo san lucas,0,1,0,67
2024-05-01,2024-05-07,los cabos dentist prices,0,3,0,29.333333333333332
2024-05-08,2024-05-14,cabo san lucas dental implants,0,4,0,74.25
2024-05-08,2024-05-14,dental implants cabo san lucas,0,1,0,74
2024-05-08,2024-05-14,dental implants in cabo san lucas,0,1,0,68
2024-05-08,2024-05-14,dental work in cabo,0,1,0,41
2024-05-08,2024-05-14,dentist in los cabos,0,5,0,74
2024-05-08,2024-05-14,https //www.dentistalgodones.com/services/dental-crowns,0,1,0,85
2024-05-08,2024-05-14,los cabos dentist,0,2,0,37
2024-05-08,2024-05-14,los cabos dentist prices,0,6,0,31.5
2024-05-15,2024-05-21,dental implants cabo san lucas,0,1,0,75
2024-05-15,2024-05-21,dental work in cabo,0,1,0,54
2024-05-15,2024-05-21,dentist cabo san lucas,0,1,0,77
2024-05-15,2024-05-21,dentist in los cabos,0,1,0,80
2024-05-15,2024-05-21,los cabos dentist,0,4,0,39.5
2024-05-15,2024-05-21,los cabos dentist prices,0,7,0,33.142857142857146
2024-05-22,2024-05-28,dental implants cabo san lucas,0,4,0,76.25
2024-05-22,2024-05-28,dental work in cabo,0,1,0,41
2024-05-22,2024-05-28,dentist in cabo san lucas,0,1,0,72
2024-05-22,2024-05-28,dentist in los cabos,0,5,0,77.4
2024-05-22,2024-05-28,los cabos dentist,0,7,0,39.714285714285715
2024-05-22,2024-05-28,los cabos dentist prices,0,8,0,34.5
2024-05-29,2024-06-04,cabo san lucas dental,0,2,0,72.5
2024-05-29,2024-06-04,dental clinics,0,1,0,11
2024-05-29,2024-06-04,dental implants cabo san lucas,0,1,0,76
2024-05-29,2024-06-04,dental work in cabo,0,2,0,53.5
2024-05-29,2024-06-04,dentist in cabo san lucas,0,1,0,68
2024-05-29,2024-06-04,dentist in los cabos,0,7,0,72.42857142857143
2024-05-29,2024-06-04,https //www.dentistalgodones.com/services/dental-crowns,0,3,0,83
2024-05-29,2024-06-04,los cabos dentist,0,4,0,39.5
2024-05-29,2024-06-04,los cabos dentist prices,0,8,0,36
2024-06-05,2024-06-11,cabo san lucas dental,0,2,0,69.5
2024-06-05,2024-06-11,dentist in los cabos,0,7,0,71.57142857142857
2024-06-05,2024-06-11,https //www.dentistalgodones.com/services/dental-crowns,0,2,0,91
2024-06-05,2024-06-11,los cabos dentist,0,10,0,39.9
2024-06-05,2024-06-11,los cabos dentist prices,0,7,0,37.57142857142857
2024-06-12,2024-06-18,cabo san lucas dentistry,0,2,0,67.5
2024-06-12,2024-06-18,dental work in cabo,0,1,0,41
2024-06-12,2024-06-18,dentist in los cabos,0,6,0,76
2024-06-12,2024-06-18,los cabos dentist,0,6,0,41.166666666666664
2024-06-12,2024-06-18,los cabos dentist prices,0,7,0,35.42857142857143
2024-06-12,2024-06-18,perpetual calendar 1800 to 2050,0,1,0,39
2024-06-12,2024-06-18,restorative dentistry in cabo,0,1,0,71
2024-06-19,2024-06-25,dentist in los cabos,0,6,0,60.333333333333336
2024-06-19,2024-06-25,global dental,0,1,0,7
2024-06-19,2024-06-25,https //www.dentistalgodones.com/services/dental-crowns,0,2,0,93.5
2024-06-19,2024-06-25,los cabos dentist,0,4,0,37
2024-06-19,2024-06-25,los cabos dentist prices,0,12,0,36
2024-06-26,2024-07-02,cabo san lucas dentistry,0,1,0,84
2024-06-26,2024-07-02,dentist in los cabos,0,6,0,58.5
2024-06-26,2024-07-02,https //www.dentistalgodones.com/services/dental-crowns,0,1,0,61
2024-06-26,2024-07-02,los cabos dentist,0,3,0,33.666666666666664
2024-06-26,2024-07-02,los cabos dentist prices,0,5,0,32.4
2024-07-03,2024-07-09,dentist in los cabos,0,5,0,56.6
2024-07-03,2024-07-09,https //www.dentistalgodones.com/services/dental-crowns,0,5,0,88.8
2024-07-03,2024-07-09,los cabos dentist prices,0,7,0,31.571428571428573
2024-07-10,2024-07-16,dental work in cabo,0,1,0,41
2024-07-10,2024-07-16,dentist in los cabos,0,5,0,56.4
2024-07-10,2024-07-16,https //www.dentistalgodones.com/services/dental-crowns,0,7,0,79.28571428571429
2024-07-10,2024-07-16,los cabos dentist prices,0,3,0,32.66666666666667
2024-07-17,2024-07-23,dentist in los cabos,0,3,0,54.333333333333336
2024-07-17,2024-07-23,https //www.dentistalgodones.com/services/dental-crowns,0,1,0,95
2024-07-17,2024-07-23,los cabos dentist,0,2,0,47.5
2024-07-17,2024-07-23,los cabos dentist prices,0,1,0,34
2024-07-17,2024-07-23,medical aid in los cabos,0,1,0,69
2024-07-24,2024-07-30,dentist in los cabos,0,6,0,51.666666666666664
2024-07-24,2024-07-30,los cabos dentist,0,4,0,41.25
2024-07-24,2024-07-30,los cabos dentist prices,0,1,0,31
2024-07-24,2024-07-30,medical aid in los cabos,0,4,0,70.25
2024-07-31,2024-08-06,cabo dental care,0,1,0,42
2024-07-31,2024-08-06,dentist in los cabos,0,6,0,44.666666666666664
2024-07-31,2024-08-06,los cabos dentist,0,6,0,36
2024-07-31,2024-08-06,medical aid in los cabos,0,6,0,65.83333333333333
2024-07-31,2024-08-06,washington dental clinic tijuana mexico,0,1,0,72
2024-08-07,2024-08-13,dentist in los cabos,0,5,0,45.2
2024-08-07,2024-08-13,direct flights from dallas to beach destinations,0,1,0,1
2024-08-07,2024-08-13,los cabos dentist,0,9,0,32.888888888888886
2024-08-07,2024-08-13,los cabos dentist prices,0,6,0,33.333333333333336
2024-08-07,2024-08-13,medical aid in los cabos,0,6,0,66.16666666666667
2024-08-14,2024-08-20,dentist in los cabos,0,6,0,59.333333333333336
2024-08-14,2024-08-20,los cabos dentist,0,7,0,45
2024-08-14,2024-08-20,los cabos dentist prices,0,2,0,42.5
2024-08-21,2024-08-27,dentist in los cabos,0,7,0,57.285714285714285
2024-08-21,2024-08-27,los cabos dentist,0,3,0,48
2024-08-21,2024-08-27,los cabos dentist prices,0,5,0,28.2
2024-08-28,2024-09-03,dentist in los cabos,0,5,0,58.2
2024-08-28,2024-09-03,los cabos dentist,0,5,0,50.2
2024-08-28,2024-09-03,los cabos dentist prices,0,7,0,32.714285714285715
2024-09-04,2024-09-10,dentist in los cabos,0,1,0,60
2024-09-04,2024-09-10,los cabos dentist,0,5,0,47.2
2024-09-04,2024-09-10,los cabos dentist prices,0,12,0,40.25
2024-09-11,2024-09-17,dentist in los cabos,0,5,0,55
2024-09-11,2024-09-17,los cabos dentist,0,1,0,60
2024-09-11,2024-09-17,los cabos dentist prices,0,9,0,40.22222222222222
2024-09-18,2024-09-24,dentist in cabo san lucas,0,1,0,78
2024-09-18,2024-09-24,dentist in los cabos,0,3,0,56.666666666666664
2024-09-18,2024-09-24,dentists cabo san lucas,0,1,0,81
2024-09-18,2024-09-24,los cabos dentist prices,0,12,0,49.333333333333336
2024-09-25,2024-10-01,dentist in los cabos,0,1,0,57
2024-09-25,2024-10-01,dentist in los cabos mexico,0,1,0,42
2024-09-25,2024-10-01,los cabos dentist,0,1,0,41
2024-09-25,2024-10-01,los cabos dentist prices,0,8,0,41.625
2024-09-25,2024-10-01,los cabos in december weather,0,1,0,1
2024-09-25,2024-10-01,weather in los cabos in september,0,1,0,1
2024-10-02,2024-10-08,dentist in los cabos,0,4,0,56
2024-10-02,2024-10-08,los cabos dentist prices,0,11,0,55.09090909090909
2024-10-09,2024-10-15,dental carw,0,1,0,12
2024-10-09,2024-10-15,dental work in cabo,0,1,0,66
2024-10-09,2024-10-15,dentist in cabo,0,2,0,86
2024-10-09,2024-10-15,dentist in los cabos,0,2,0,54
2024-10-09,2024-10-15,dentists cabo san lucas,0,1,0,71
2024-10-09,2024-10-15,los cabos dentist prices,0,7,0,56.57142857142857
2024-10-16,2024-10-22,dentist in cabo,0,2,0,80
2024-10-16,2024-10-22,dentist in los cabos,0,4,0,48.5
2024-10-16,2024-10-22,los cabos dentist prices,0,12,0,54.25
2024-10-23,2024-10-29,dentist in los cabos,0,8,0,57.125
2024-10-23,2024-10-29,los cabos dentist,0,1,0,54
2024-10-23,2024-10-29,los cabos dentist prices,0,4,0,53.5
2024-10-23,2024-10-29,washington dental clinic tijuana mexico,0,3,0,73.33333333333333
2024-10-30,2024-11-05,dentist in los cabos,0,6,0,60.666666666666664
2024-10-30,2024-11-05,los cabos dentist,0,1,0,66
2024-10-30,2024-11-05,los cabos dentist prices,0,2,0,52.5
2024-10-30,2024-11-05,washington dental clinic tijuana mexico,0,2,0,65
2024-11-06,2024-11-12,dentist in los cabos,0,7,0,57.285714285714285
2024-11-06,2024-11-12,los cabos dentist prices,0,7,0,48.57142857142857
2024-11-06,2024-11-12,washington dental clinic tijuana mexico,0,4,0,70.5
2024-11-13,2024-11-19,dentist in los cabos,0,8,0,54.125
2024-11-13,2024-11-19,los cabos dentist,0,2,0,53.5
2024-11-13,2024-11-19,los cabos dentist prices,0,6,0,56.666666666666664
2024-11-13,2024-11-19,paradise dental los cabos,0,1,0,30
2024-11-13,2024-11-19,washington dental clinic tijuana mexico,0,1,0,75
2024-11-20,2024-11-26,cabo dentistry,0,1,0,77
2024-11-20,2024-11-26,cabo san lucas dentistry,0,1,0,73
2024-11-20,2024-11-26,dental implants in cabo san lucas,0,1,0,77
2024-11-20,2024-11-26,dental los cabos,0,1,0,42
2024-11-20,2024-11-26,dentist in los cabos,0,6,0,42.833333333333336
2024-11-20,2024-11-26,los cabos dentist,0,7,0,49.285714285714285
2024-11-27,2024-12-03,cabo san lucas dental,0,2,0,84.5
2024-11-27,2024-12-03,dentist in cabo,0,1,0,89
2024-11-27,2024-12-03,dentist in los cabos,0,7,0,36.285714285714285
2024-11-27,2024-12-03,los cabos dentist,0,7,0,46
2024-12-04,2024-12-10,cabo san lucas dental implants,0,1,0,85
2024-12-04,2024-12-10,dentist in los cabos,0,7,0,44.714285714285715
2024-12-04,2024-12-10,los cabos dentist,0,7,0,51.714285714285715
2024-12-04,2024-12-10,los cabos dentist prices,0,3,0,63
2024-12-11,2024-12-17,cabo cosmetic dental,0,1,0,88
2024-12-11,2024-12-17,dental los cabos,0,1,0,45
2024-12-11,2024-12-17,dentist cabo san lucas mexico,0,2,0,67.5
2024-12-11,2024-12-17,dentist in cabo,0,3,0,89
2024-12-11,2024-12-17,dentist in los cabos,0,7,0,30.428571428571427
2024-12-11,2024-12-17,dentists in cabo san lucas mexico,0,2,0,68
2024-12-11,2024-12-17,los cabos dentist,0,8,0,60.625
2024-12-18,2024-12-24,cabo dentistry,0,2,0,80.5
2024-12-18,2024-12-24,cabo san lucas dentist prices,0,1,0,46
2024-12-18,2024-12-24,cabo san lucas dentistry,0,1,0,78
2024-12-18,2024-12-24,dental implants cabo san lucas,0,1,0,85
2024-12-18,2024-12-24,dental los cabos,0,1,0,41
2024-12-18,2024-12-24,dentist in cabo,0,1,0,67
2024-12-18,2024-12-24,dentist in los cabos,0,9,0,31
2024-12-18,2024-12-24,destination services los cabos,0,1,0,1
2024-12-18,2024-12-24,global dental,0,1,0,11
2024-12-18,2024-12-24,los cabos dentist,0,9,0,47.44444444444444
2024-12-18,2024-12-24,los cabos dentist prices,0,2,0,61.5
2024-12-25,2024-12-31,cabo dental implants,0,1,0,77
2024-12-25,2024-12-31,cabo san lucas dental clinic,0,1,0,77
2024-12-25,2024-12-31,cabo san lucas dentistry,0,1,0,80
2024-12-25,2024-12-31,dental implants cabo san lucas,0,1,0,71
2024-12-25,2024-12-31,dentist cabo,0,1,0,95
2024-12-25,2024-12-31,dentist in cabo,0,1,0,97
2024-12-25,2024-12-31,dentist in los cabos,0,6,0,19.666666666666668
2024-12-25,2024-12-31,los cabos dentist,0,7,0,40.857142857142854
2024-12-25,2024-12-31,los cabos dentist prices,0,1,0,63
2025-01-01,2025-01-07,cabo san lucas dental,0,1,0,83
2025-01-01,2025-01-07,cabo san lucas dentistry,0,1,0,77
2025-01-01,2025-01-07,dentist in los cabos,0,5,0,19.2
2025-01-01,2025-01-07,los cabos dentist,0,3,0,32.66666666666667
