start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,dental tourism in playa del caraman,0,1,0,63
2024-05-01,2024-05-07,dental treatment in playa del carmen,0,6,0,40.166666666666664
2024-05-01,2024-05-07,playa del carmen dental,0,3,0,56
2024-05-01,2024-05-07,playa del carmen dentists prices,0,1,0,82
2024-05-08,2024-05-14,dental clinics in playa del carmen,0,1,0,59
2024-05-08,2024-05-14,dental treatment in playa del carmen,0,3,0,57
2024-05-15,2024-05-21,dental treatment in playa del carmen,0,5,0,60.2
2024-05-22,2024-05-28,dental treatment in playa del carmen,0,2,0,64
2024-05-29,2024-06-04,dental treatment in playa del carmen,0,5,0,65.8
2024-05-29,2024-06-04,playa del carmen dentist prices,0,1,0,70
2024-06-05,2024-06-11,dental treatment in playa del carmen,0,6,0,65.33333333333333
2024-06-05,2024-06-11,walk in clinic playa del carmen,0,1,0,17
2024-06-12,2024-06-18,dentist playa del carmen,0,1,0,65
2024-06-19,2024-06-25,dentist in playa del carmen,0,1,0,60
2024-06-19,2024-06-25,playa del carmen dentist,0,1,0,59
2024-06-19,2024-06-25,playa del carmen dentists prices,0,1,0,74
2024-06-26,2024-07-02,dental tourism in playa del caraman,0,1,0,53
2024-06-26,2024-07-02,dental treatment in playa del carmen,0,2,0,59.5
2024-06-26,2024-07-02,playa del carmen dental,0,2,0,75
2024-06-26,2024-07-02,playa del carmen dentists prices,0,3,0,72.66666666666667
2024-07-03,2024-07-09,dental clinics in playa del carmen,0,5,0,45
2024-07-03,2024-07-09,dental tourism in playa del caraman,0,2,0,51.5
2024-07-03,2024-07-09,dental treatment in playa del carmen,0,5,0,50
2024-07-03,2024-07-09,dentist in playa del carmen,0,7,0,63.142857142857146
2024-07-03,2024-07-09,dentist playa del carmen,0,8,0,65.75
2024-07-03,2024-07-09,dentists in playa del carmen,0,2,0,55
2024-07-03,2024-07-09,playa del carmen dental,0,1,0,37
2024-07-03,2024-07-09,playa del carmen dentist,0,3,0,69.66666666666667
2024-07-03,2024-07-09,playa del carmen dentist prices,0,1,0,72
2024-07-03,2024-07-09,playa del carmen dentists prices,0,1,0,45
2024-07-03,2024-07-09,playa dental,0,1,0,96
2024-07-03,2024-07-09,puerto vallarta dental tourism,0,1,0,98
2024-07-10,2024-07-16,best dentist in playa del carmen,0,2,0,72.5
2024-07-10,2024-07-16,dental clinics in playa del carmen,0,13,0,45
2024-07-10,2024-07-16,dental tourism in playa del caraman,0,5,0,42.2
2024-07-10,2024-07-16,dental treatment in playa del carmen,0,5,0,38.2
2024-07-10,2024-07-16,dentist in playa del carmen,0,17,0,61.588235294117645
2024-07-10,2024-07-16,dentist playa del carmen,0,17,0,66.3529411764706
2024-07-10,2024-07-16,dentists in playa del carmen,0,6,0,61.5
2024-07-10,2024-07-16,dentists playa del carmen,0,1,0,62
2024-07-10,2024-07-16,english-speaking dentists in puerto vallarta,0,1,0,64
2024-07-10,2024-07-16,playa del carmen dental,0,4,0,39.5
2024-07-10,2024-07-16,playa del carmen dentist,0,21,0,69.52380952380952
2024-07-10,2024-07-16,playa del carmen dentists prices,0,7,0,50.714285714285715
2024-07-17,2024-07-23,dental clinics in playa del carmen,0,11,0,40.45454545454545
2024-07-17,2024-07-23,dental playa del carmen,0,2,0,54
2024-07-17,2024-07-23,dental tourism in playa del caraman,0,5,0,45.2
2024-07-17,2024-07-23,dental treatment in playa del carmen,0,5,0,19.2
2024-07-17,2024-07-23,dentist in playa del carmen,0,24,0,61.083333333333336
2024-07-17,2024-07-23,dentist playa del carmen,0,17,0,60
2024-07-17,2024-07-23,dentists in playa del carmen,0,8,0,59.625
2024-07-17,2024-07-23,giostar playa del carmen,0,1,0,64
2024-07-17,2024-07-23,playa del carmen dental,0,6,0,36.333333333333336
2024-07-17,2024-07-23,playa del carmen dentist,0,16,0,61.5625
2024-07-17,2024-07-23,playa del carmen dentist prices,0,2,0,38.5
2024-07-17,2024-07-23,playa del carmen dentists prices,0,6,0,40.666666666666664
2024-07-24,2024-07-30,best dental implants playa del carmen,0,4,0,78.25
2024-07-24,2024-07-30,best dentist in playa del carmen,0,4,0,74.5
2024-07-24,2024-07-30,dental clinics in playa del carmen,0,13,0,39.53846153846154
2024-07-24,2024-07-30,dental implants playa del carmen,0,1,0,72
2024-07-24,2024-07-30,dental tourism in playa del caraman,0,4,0,45.75
2024-07-24,2024-07-30,dental treatment in playa del carmen,0,1,0,19
2024-07-24,2024-07-30,dentist in playa del carmen,0,14,0,63
2024-07-24,2024-07-30,dentist playa del carmen,0,6,0,61.333333333333336
2024-07-24,2024-07-30,dentists in playa del carmen,0,4,0,59.25
2024-07-24,2024-07-30,dentists playa del carmen,0,2,0,66
2024-07-24,2024-07-30,playa del carmen dental,0,3,0,37.666666666666664
2024-07-24,2024-07-30,playa del carmen dentist,0,7,0,58.285714285714285
2024-07-24,2024-07-30,playa del carmen dentists prices,0,6,0,40.833333333333336
2024-07-31,2024-08-06,best dental implants playa del carmen,0,4,0,77.25
2024-07-31,2024-08-06,best dentist in playa del carmen,0,2,0,76.5
2024-07-31,2024-08-06,dental clinics in playa del carmen,0,12,0,39.833333333333336
2024-07-31,2024-08-06,dental playa del carmen,0,1,0,57
2024-07-31,2024-08-06,dental tourism in playa del caraman,0,6,0,45.166666666666664
2024-07-31,2024-08-06,dentist in playa del carmen,0,5,0,69.6
2024-07-31,2024-08-06,"gcbh hospitality solutions,playa del carmen centro ,playa del carmen ,qr,mx,77710",0,4,0,10
2024-07-31,2024-08-06,playa del carmen dental,0,1,0,38
2024-07-31,2024-08-06,playa del carmen dentist,0,4,0,66
2024-07-31,2024-08-06,playa del carmen dentists prices,0,3,0,39
2024-08-07,2024-08-13,dental clinics in playa del carmen,0,13,0,45
2024-08-07,2024-08-13,dental tourism in playa del caraman,0,5,0,43.6
2024-08-07,2024-08-13,dentist in playa del carmen,0,4,0,72.5
2024-08-07,2024-08-13,"gcbh hospitality solutions,playa del carmen centro ,playa del carmen ,qr,mx,77710",0,1,0,10
2024-08-07,2024-08-13,playa del carmen dentists prices,0,4,0,41.5
2024-08-14,2024-08-20,best dental implants playa del carmen,0,1,0,78
