start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,best dentist puerto vallarta,0,1,0,74
2024-05-01,2024-05-07,dental implants puerto vallarta,0,2,0,81.5
2024-05-01,2024-05-07,dental services in puerto vallarta,0,1,0,65
2024-05-01,2024-05-07,dental vacation puerto vallarta,0,1,0,61
2024-05-01,2024-05-07,dentist puerto vallarta,0,2,0,82
2024-05-01,2024-05-07,dentists in puerto vallarta,0,2,0,76.5
2024-05-01,2024-05-07,english-speaking dentists in puerto vallarta,0,1,0,44
2024-05-01,2024-05-07,puerto vallarta dentist prices,0,2,0,70.5
2024-05-08,2024-05-14,best dentist in puerto vallarta,0,2,0,69
2024-05-08,2024-05-14,dental clinic in puerto vallarta,0,1,0,56
2024-05-08,2024-05-14,dental implants in puerto vallarta,0,1,0,46
2024-05-08,2024-05-14,dental implants in puerto vallarta mexico,0,1,0,60
2024-05-08,2024-05-14,dental implants puerto vallarta,0,5,0,65.8
2024-05-08,2024-05-14,dental services in puerto vallarta,0,2,0,56.5
2024-05-08,2024-05-14,dental solutions puerto vallarta reviews,0,1,0,45
2024-05-08,2024-05-14,dental vacation puerto vallarta,0,4,0,62.25
2024-05-08,2024-05-14,dentists in puerto vallarta,0,2,0,77.5
2024-05-08,2024-05-14,dentists puerto vallarta,0,1,0,74
2024-05-08,2024-05-14,english-speaking dentists in puerto vallarta,0,7,0,44.57142857142857
2024-05-08,2024-05-14,puerto vallarta dental,0,1,0,92
2024-05-08,2024-05-14,puerto vallarta dentist prices,0,2,0,61
2024-05-08,2024-05-14,puerto vallarta dentists,0,1,0,90
2024-05-15,2024-05-21,dental clinic puerto vallarta,0,1,0,51
2024-05-15,2024-05-21,dental implants puerto vallarta,0,1,0,54
2024-05-15,2024-05-21,dental services in puerto vallarta,0,3,0,55.333333333333336
2024-05-15,2024-05-21,dental vacation puerto vallarta,0,3,0,66.33333333333333
2024-05-15,2024-05-21,english-speaking dentists in puerto vallarta,0,5,0,51.6
2024-05-22,2024-05-28,dental implants in puerto vallarta,0,1,0,89
2024-05-22,2024-05-28,dental implants puerto vallarta,0,1,0,87
2024-05-22,2024-05-28,dental services in puerto vallarta,0,1,0,63
2024-05-22,2024-05-28,dental vacation puerto vallarta,0,1,0,67
2024-05-22,2024-05-28,english-speaking dentists in puerto vallarta,0,4,0,50.25
2024-05-29,2024-06-04,best dentist in puerto vallarta,0,2,0,59
2024-05-29,2024-06-04,dental care puerto vallarta,0,1,0,46
2024-05-29,2024-06-04,dental clinic puerto vallarta,0,1,0,47
2024-05-29,2024-06-04,dental implants puerto vallarta,0,5,0,70.2
2024-05-29,2024-06-04,dental implants puerto vallarta mexico,0,2,0,70.5
2024-05-29,2024-06-04,dental services in puerto vallarta,0,5,0,62.6
2024-05-29,2024-06-04,dental vacation puerto vallarta,0,4,0,65
2024-05-29,2024-06-04,dentist in puerto vallarta,0,1,0,82
2024-05-29,2024-06-04,dentist in puerto vallarta mexico,0,1,0,86
2024-05-29,2024-06-04,dentist puerto vallarta,0,2,0,87.5
2024-05-29,2024-06-04,dentists in puerto vallarta,0,6,0,82
2024-05-29,2024-06-04,dentists puerto vallarta,0,1,0,62
2024-05-29,2024-06-04,english-speaking dentists in puerto vallarta,0,4,0,46.75
2024-05-29,2024-06-04,puerto vallarta dental,0,1,0,71
2024-05-29,2024-06-04,puerto vallarta dental implants,0,1,0,63
2024-05-29,2024-06-04,puerto vallarta dentist,0,1,0,86
2024-05-29,2024-06-04,puerto vallarta dentists,0,3,0,79
2024-06-05,2024-06-11,dental implants in puerto vallarta,0,2,0,72.5
2024-06-05,2024-06-11,dental implants puerto vallarta,0,5,0,72.2
2024-06-05,2024-06-11,dental services in puerto vallarta,0,4,0,60
2024-06-05,2024-06-11,dental vacation puerto vallarta,0,6,0,63.166666666666664
2024-06-05,2024-06-11,dentist puerto vallarta,0,2,0,82.5
2024-06-05,2024-06-11,dentists in puerto vallarta,0,1,0,85
2024-06-05,2024-06-11,english-speaking dentists in puerto vallarta,0,5,0,44
2024-06-05,2024-06-11,puerto vallarta dental,0,2,0,57.5
2024-06-05,2024-06-11,puerto vallarta dental implants,0,1,0,70
2024-06-05,2024-06-11,puerto vallarta dentist,0,1,0,56
2024-06-05,2024-06-11,puerto vallarta veneers,0,2,0,50.5
2024-06-05,2024-06-11,veneers in puerto vallarta,0,1,0,58
2024-06-12,2024-06-18,best dentist in puerto vallarta,0,8,0,57.125
2024-06-12,2024-06-18,dental clinic puerto vallarta,0,2,0,49
2024-06-12,2024-06-18,dental implants in puerto vallarta,0,2,0,81.5
2024-06-12,2024-06-18,dental implants puerto vallarta,0,6,0,89.83333333333333
2024-06-12,2024-06-18,dental implants puerto vallarta mexico,0,1,0,78
2024-06-12,2024-06-18,dental puerto vallarta,0,1,0,72
2024-06-12,2024-06-18,dental services in puerto vallarta,0,3,0,56.666666666666664
2024-06-12,2024-06-18,dental tourism puerto vallarta,0,2,0,51.5
2024-06-12,2024-06-18,dental vacation puerto vallarta,0,11,0,48.45454545454545
2024-06-12,2024-06-18,dentist in puerto vallarta,0,1,0,82
2024-06-12,2024-06-18,dentist puerto vallarta,0,2,0,84.5
2024-06-12,2024-06-18,dentists in puerto vallarta,0,1,0,74
2024-06-12,2024-06-18,english-speaking dentists in puerto vallarta,0,7,0,36
2024-06-12,2024-06-18,puerto vallarta dental tourism,0,2,0,48
2024-06-12,2024-06-18,puerto vallarta dentists,0,1,0,80
