start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,dental care,0,1,0,16
2024-05-08,2024-05-14,dentistas en queretaro,0,1,0,5
2024-05-15,2024-05-21,is queretaro mexico safe,0,1,0,46
2024-05-15,2024-05-21,meat me queretaro,0,1,0,65
2024-05-22,2024-05-28,care dental,0,1,0,3
2024-05-29,2024-06-04,mydental merida,0,1,0,8
2024-06-05,2024-06-11,dentistas en querétaro económicos,0,1,0,3
2024-06-12,2024-06-18,global dental,1,1,1,8
2024-06-19,2024-06-25,dental care,0,1,0,11
2024-06-26,2024-07-02,dental care queretaro,0,1,0,22
2024-06-26,2024-07-02,english dentist near me,0,2,0,7.5
2024-06-26,2024-07-02,global care,0,1,0,12
2024-07-03,2024-07-09,globalcare,0,1,0,1
2024-07-10,2024-07-16,dental care,0,3,0,10.666666666666666
2024-07-17,2024-07-23,global dental,0,2,0,7
2024-07-17,2024-07-23,"queretaro, mexico safe",0,1,0,1
2024-07-24,2024-07-30,"queretaro, mexico safe",0,1,0,1
2024-07-31,2024-08-06,what to do in queretaro,0,2,0,1
2024-08-07,2024-08-13,cost of living queretaro mexico,0,2,0,1
2024-08-14,2024-08-20,high street queretaro,0,1,0,50
2024-08-14,2024-08-20,things to do in queretaro,0,1,0,2
2024-08-21,2024-08-27,aiq queretaro,0,1,0,63
2024-08-28,2024-09-03,all inclusive dental packages mexico,0,2,0,72.5
2024-08-28,2024-09-03,all-inclusive dental packages mexico,0,1,0,68
2024-08-28,2024-09-03,dental clinic queretaro,0,1,0,52
2024-08-28,2024-09-03,dental clinic querétaro,0,1,0,85
2024-08-28,2024-09-03,dental vacation puerto vallarta,0,2,0,93
2024-08-28,2024-09-03,dentures near me,0,1,0,13
2024-08-28,2024-09-03,save querétaro,0,1,0,89
2024-09-04,2024-09-10,all inclusive dental packages,0,1,0,100
2024-09-04,2024-09-10,cheap dental care near me,0,1,0,7
2024-09-04,2024-09-10,dental care,0,1,0,10
2024-09-04,2024-09-10,dental clinic queretaro,0,2,0,50.5
2024-09-04,2024-09-10,dentist near me,0,3,0,11
2024-09-04,2024-09-10,english speaking dentists near me,0,2,0,7
2024-09-11,2024-09-17,dental care near me,0,1,0,4
2024-09-11,2024-09-17,dental clinic queretaro,0,1,0,25
2024-09-11,2024-09-17,queretaro hotels,0,1,0,5
2024-09-18,2024-09-24,dental center queretaro,0,1,0,38
2024-09-18,2024-09-24,dental clinic queretaro,0,1,0,32
2024-09-25,2024-10-01,chat queretaro,0,1,0,16
2024-09-25,2024-10-01,globalcare,0,2,0,1
