start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,dr aguero,0,1,0,59
2024-05-01,2024-05-07,guadalajara dentist,0,1,0,31
2024-05-08,2024-05-14,guadalajara dental implants,0,6,0,51.666666666666664
2024-05-15,2024-05-21,dr aguero,0,2,0,69.5
2024-05-15,2024-05-21,guadalajara dental implants,0,3,0,40.666666666666664
2024-05-22,2024-05-28,alfredo aguero,0,1,0,1
2024-05-22,2024-05-28,dr aguero,0,7,0,18.285714285714285
2024-05-22,2024-05-28,guadalajara dental implants,0,1,0,34
2024-05-29,2024-06-04,all-inclusive dental implants mexico,0,3,0,88.33333333333333
2024-05-29,2024-06-04,dental implant grants in missouri,0,2,0,78
2024-05-29,2024-06-04,dentist guadalajara,0,1,0,52
2024-05-29,2024-06-04,dr aguero,0,7,0,18.857142857142858
2024-05-29,2024-06-04,guadalajara dentist,0,1,0,27
2024-06-05,2024-06-11,alfredo aguero,0,4,0,1
2024-06-05,2024-06-11,costa rica dental implants,0,1,0,86
2024-06-05,2024-06-11,doctor aguero,0,1,0,51
2024-06-05,2024-06-11,dr aguero,0,2,0,67.5
2024-06-05,2024-06-11,dr. aguero,0,1,0,7
2024-06-05,2024-06-11,guadalajara dentist,0,1,0,53
2024-06-05,2024-06-11,teeth implants in guadalajara jalisco,0,1,0,55
2024-06-12,2024-06-18,alfredo guadalajara,0,1,0,11
2024-06-12,2024-06-18,all-inclusive dental implants mexico,0,2,0,84
2024-06-12,2024-06-18,doctor guadalajara,0,1,0,98
2024-06-12,2024-06-18,dr aguero,0,1,0,46
2024-06-12,2024-06-18,dr. aguero,0,1,0,45
2024-06-12,2024-06-18,guadalajara dental implants,0,1,0,32
2024-06-12,2024-06-18,guadalajara dentist,0,3,0,55.666666666666664
2024-06-19,2024-06-25,alfredo aguero,0,3,0,1
2024-06-19,2024-06-25,dental implants guadalajara mexico,0,1,0,52
2024-06-19,2024-06-25,dr aguero,0,2,0,54.5
2024-06-19,2024-06-25,guadalajara dental implants,0,3,0,20
2024-06-19,2024-06-25,teeth implants in guadalajara jalisco,0,4,0,54.25
2024-06-26,2024-07-02,cosmetic dentistry grants reviews,0,1,0,90
2024-06-26,2024-07-02,dental implants guadalajara mexico,0,1,0,57
2024-06-26,2024-07-02,dr aguero,0,1,0,45
2024-06-26,2024-07-02,guadalajara dental implants,0,5,0,27.2
2024-06-26,2024-07-02,teeth implants in guadalajara jalisco,0,4,0,58.25
2024-07-03,2024-07-09,alfredo aguero,0,1,0,1
2024-07-03,2024-07-09,dr aguero,0,1,0,97
2024-07-03,2024-07-09,guadalajara dental implants,0,2,0,18
2024-07-03,2024-07-09,guadalajara dentist,0,1,0,48
2024-07-03,2024-07-09,teeth implants in guadalajara jalisco,0,1,0,52
2024-07-10,2024-07-16,dental implants guadalajara mexico,0,1,0,40
2024-07-10,2024-07-16,dr aguero,0,3,0,22.333333333333332
2024-07-10,2024-07-16,guadalajara dental,0,1,0,57
2024-07-10,2024-07-16,guadalajara dental implants,0,2,0,18
2024-07-10,2024-07-16,teeth implants in guadalajara jalisco,0,7,0,48.142857142857146
2024-07-17,2024-07-23,alfredo aguero,0,1,0,1
2024-07-17,2024-07-23,alfredo guadalajara,0,1,0,12
2024-07-17,2024-07-23,dental implants guadalajara mexico,0,2,0,30
2024-07-17,2024-07-23,dr aguero,0,2,0,10
2024-07-17,2024-07-23,guadalajara dental implants,0,4,0,16.5
2024-07-17,2024-07-23,teeth implants in guadalajara jalisco,0,6,0,42
2024-07-24,2024-07-30,dental implants guadalajara mexico,0,1,0,37
2024-07-24,2024-07-30,dr aguero,0,1,0,20
2024-07-24,2024-07-30,teeth implants in guadalajara jalisco,0,2,0,46
2024-07-31,2024-08-06,dental implants guadalajara mexico,0,2,0,26.5
2024-07-31,2024-08-06,dr aguero,0,2,0,32
2024-07-31,2024-08-06,dr grant brough,0,1,0,78
2024-08-07,2024-08-13,dental implants guadalajara mexico,0,2,0,28.5
2024-08-07,2024-08-13,dr grant brough,0,1,0,46
2024-08-14,2024-08-20,dr aguero,0,2,0,13.5
2024-08-21,2024-08-27,dental implants guadalajara mexico,0,2,0,26
2024-08-21,2024-08-27,dr aguero,0,1,0,17
2024-08-21,2024-08-27,veneers guadalajara,0,1,0,36
2024-08-28,2024-09-03,dental implants guadalajara mexico,0,1,0,29
2024-08-28,2024-09-03,dr aguero,0,3,0,20.666666666666668
2024-08-28,2024-09-03,dr aguillon,0,1,0,86
2024-08-28,2024-09-03,dr. aguero,0,1,0,35
2024-08-28,2024-09-03,veneers guadalajara,0,1,0,31
2024-08-28,2024-09-03,veneers in guadalajara mexico,0,1,0,37
2024-09-04,2024-09-10,dental implants guadalajara mexico,0,1,0,32
2024-09-04,2024-09-10,doctor aguero,0,1,0,38
2024-09-04,2024-09-10,dr aguero,0,4,0,38
2024-09-11,2024-09-17,dental implants guadalajara mexico,0,1,0,33
2024-09-11,2024-09-17,guadalajara dental implants,0,1,0,16
2024-09-18,2024-09-24,dental implants guadalajara mexico,0,1,0,26
2024-09-18,2024-09-24,dr aguero,0,3,0,25
2024-09-25,2024-10-01,dental implants guadalajara mexico,0,1,0,15
2024-09-25,2024-10-01,doctor aguero,0,1,0,33
2024-09-25,2024-10-01,dr aguero,0,4,0,33.25
