start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,bernardo clinic (main- magallanes),0,1,0,8
2024-05-01,2024-05-07,dr bogarin,0,1,0,9
2024-05-08,2024-05-14,intercontinental incorporated uses a perpetual,0,1,0,42
2024-05-15,2024-05-21,dr bernardo de la guardia,0,1,0,7
2024-05-22,2024-05-28,dr bogarin,0,1,0,16
2024-05-22,2024-05-28,perion dental health center tijuana photos,0,1,0,9
2024-05-29,2024-06-04,baja dental,0,1,0,82
2024-05-29,2024-06-04,baja oral center,0,1,0,52
2024-05-29,2024-06-04,dr bernardo dentist,0,4,0,63.25
2024-05-29,2024-06-04,periodontist in tijuana,0,5,0,84.8
2024-05-29,2024-06-04,periodontist in tijuana mexico,0,2,0,75
2024-06-05,2024-06-11,dr implant dentist tijuana,0,7,0,68.57142857142857
2024-06-05,2024-06-11,dr implant tijuana,0,8,0,88.875
2024-06-05,2024-06-11,periodontist in tijuana,0,7,0,75
2024-06-05,2024-06-11,periodontist in tijuana mexico,0,5,0,70
2024-06-05,2024-06-11,periodontist tijuana,0,3,0,79
2024-06-12,2024-06-18,baja dental tijuana,0,1,0,99
2024-06-12,2024-06-18,bernardo dental clinic,0,1,0,70
2024-06-12,2024-06-18,dr bernardo dentist,0,2,0,42.5
2024-06-12,2024-06-18,dr implant dentist tijuana,0,13,0,73.76923076923077
2024-06-12,2024-06-18,dr implant tijuana,0,14,0,86
2024-06-12,2024-06-18,dr lumban tijuana,0,1,0,73
2024-06-12,2024-06-18,periodontist in tijuana,0,3,0,68.66666666666667
2024-06-12,2024-06-18,periodontist in tijuana mexico,0,7,0,79
2024-06-12,2024-06-18,periodontist tijuana,0,7,0,84.28571428571429
2024-06-12,2024-06-18,urologist tijuana mexico,0,1,0,81
2024-06-19,2024-06-25,dr bernardo dentist,0,2,0,44.5
2024-06-19,2024-06-25,dr bogarin,0,2,0,5.5
2024-06-19,2024-06-25,dr implant dentist tijuana,0,2,0,74
2024-06-19,2024-06-25,dr implant tijuana,0,5,0,93.6
2024-06-19,2024-06-25,dr mexico tijuana dentist,0,1,0,90
2024-06-19,2024-06-25,periodontist in tijuana,0,1,0,83
2024-06-19,2024-06-25,periodontist in tijuana mexico,0,1,0,85
2024-06-19,2024-06-25,periodontist tijuana,0,1,0,100
2024-06-26,2024-07-02,dr bernardo dentist,0,3,0,66.66666666666667
2024-06-26,2024-07-02,dr bogarin,0,1,0,12
2024-06-26,2024-07-02,periodontist in tijuana,0,1,0,63
2024-06-26,2024-07-02,periodontist tijuana,0,1,0,88
2024-07-03,2024-07-09,dr bogarin,0,1,0,14
2024-07-10,2024-07-16,dr bogarin,0,1,0,10
2024-07-10,2024-07-16,periodontist in tijuana,0,1,0,56
2024-07-10,2024-07-16,periodontist tijuana,0,10,0,81.9
2024-07-17,2024-07-23,bogarin,0,1,0,60
2024-07-17,2024-07-23,dr bernardo dentist,0,1,0,9
2024-07-17,2024-07-23,dr implant dentist tijuana,0,2,0,96.5
2024-07-17,2024-07-23,periodontist in tijuana mexico,0,2,0,92.5
2024-07-17,2024-07-23,periodontist tijuana,0,12,0,84.16666666666667
2024-07-24,2024-07-30,bogarin,0,1,0,70
2024-07-24,2024-07-30,dr bernardo dentist,0,2,0,15
2024-07-24,2024-07-30,dr implant tijuana,0,2,0,103
2024-07-24,2024-07-30,dr mexico tijuana dentist,0,1,0,86
2024-07-24,2024-07-30,perio tijuana,0,1,0,53
2024-07-24,2024-07-30,periodontist in tijuana mexico,0,6,0,91
2024-07-24,2024-07-30,periodontist tijuana,0,13,0,79.61538461538461
2024-07-31,2024-08-06,dr bernardo dentist,0,1,0,101
2024-07-31,2024-08-06,dr implant dentist tijuana,0,7,0,88.85714285714286
2024-07-31,2024-08-06,dr implant tijuana,0,3,0,92
2024-07-31,2024-08-06,periodontist in tijuana,0,7,0,77.28571428571429
2024-07-31,2024-08-06,periodontist in tijuana mexico,0,3,0,88.66666666666667
2024-07-31,2024-08-06,periodontist tijuana,0,11,0,77.0909090909091
2024-07-31,2024-08-06,perpetual dentistry uniform,0,1,0,1
2024-08-07,2024-08-13,bernardo dental clinic,0,1,0,81
2024-08-07,2024-08-13,bogarin last name origin,0,1,0,12
2024-08-07,2024-08-13,dental implant specialists near me tijuana mx,0,2,0,62
2024-08-07,2024-08-13,dentist in tijuana baja california,0,1,0,100
2024-08-07,2024-08-13,dr bogarin,0,1,0,11
2024-08-07,2024-08-13,dr implant dentist tijuana,0,2,0,97.5
2024-08-07,2024-08-13,dr implant tijuana,0,2,0,98.5
2024-08-07,2024-08-13,periodontist in tijuana,0,5,0,93.6
2024-08-07,2024-08-13,periodontist in tijuana mexico,0,1,0,84
2024-08-07,2024-08-13,periodontist tijuana,0,11,0,88.18181818181819
2024-08-14,2024-08-20,bogarin,0,1,0,78
2024-08-14,2024-08-20,dental implant specialists near me tijuana mx,0,1,0,68
2024-08-14,2024-08-20,dentist in tijuana close to border,0,2,0,95.5
2024-08-14,2024-08-20,dr bernardo dentist,0,1,0,11
2024-08-14,2024-08-20,dr implant dentist tijuana,0,4,0,95
2024-08-14,2024-08-20,dr implant tijuana,0,4,0,101.5
2024-08-14,2024-08-20,periodontist in tijuana,0,4,0,95.5
2024-08-14,2024-08-20,periodontist in tijuana mexico,0,3,0,98.66666666666667
2024-08-14,2024-08-20,periodontist tijuana,0,13,0,92.15384615384616
2024-08-14,2024-08-20,tijuana dental specialists,0,1,0,98
2024-08-21,2024-08-27,bogaron,0,1,0,67
2024-08-21,2024-08-27,dental implant specialists near me tijuana mx,0,1,0,67
2024-08-21,2024-08-27,dr bernardo dentist,0,5,0,14.6
2024-08-21,2024-08-27,dr bogarin,0,1,0,7
2024-08-21,2024-08-27,dr implant dentist tijuana,0,9,0,84.77777777777777
2024-08-21,2024-08-27,dr implant tijuana,0,5,0,92
2024-08-21,2024-08-27,periodontist in tijuana,0,1,0,91
2024-08-21,2024-08-27,periodontist in tijuana mexico,0,6,0,87.16666666666667
2024-08-21,2024-08-27,periodontist tijuana,0,8,0,90.125
2024-08-28,2024-09-03,dr implant dentist tijuana,0,4,0,76.5
2024-08-28,2024-09-03,periodontist in tijuana,0,3,0,85.33333333333333
2024-08-28,2024-09-03,periodontist in tijuana mexico,0,2,0,86
2024-08-28,2024-09-03,periodontist tijuana,0,9,0,84.11111111111111
2024-08-28,2024-09-03,western dental tijuana mexico,0,1,0,75
2024-09-04,2024-09-10,bernardo dental office,0,1,0,6
2024-09-04,2024-09-10,bogarim flor,0,1,0,75
2024-09-04,2024-09-10,dr bernardo dentist,0,2,0,101.5
2024-09-04,2024-09-10,dr bogarin,0,2,0,7.5
2024-09-04,2024-09-10,periodontist tijuana,0,6,0,90.5
2024-09-04,2024-09-10,perion dental tijuana,0,1,0,13
2024-09-04,2024-09-10,total dental tijuana,0,1,0,80
2024-09-11,2024-09-17,dental bogarin,1,10,0.1,10.2
2024-09-11,2024-09-17,dr bernardo dentist,0,1,0,11
2024-09-11,2024-09-17,dr bogarin,0,1,0,7
2024-09-11,2024-09-17,intercontinental incorporated uses a perpetual,0,1,0,53
2024-09-11,2024-09-17,periodontist in tijuana mexico,0,5,0,98.6
2024-09-11,2024-09-17,periodontist tijuana,0,8,0,87.625
2024-09-11,2024-09-17,western dental tijuana mexico,0,1,0,81
2024-09-18,2024-09-24,baja dentistry tijuana,0,1,0,83
2024-09-18,2024-09-24,bernardo dental care,0,1,0,98
2024-09-18,2024-09-24,bogarin last name origin,0,1,0,28
2024-09-18,2024-09-24,dental bogarin,0,5,0,10.8
2024-09-18,2024-09-24,dental implant specialists near me tijuana mx,0,2,0,62.5
2024-09-18,2024-09-24,dr bernardo dentist,0,1,0,42
2024-09-18,2024-09-24,dr bogarin,0,1,0,6
