start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,dr higuera,0,1,0,40
2024-05-08,2024-05-14,higuera jesus,0,1,0,20
2024-05-15,2024-05-21,dr higuera,0,1,0,9
2024-05-22,2024-05-28,dr higuera,0,1,0,10
2024-05-29,2024-06-04,dr higuera,0,2,0,7
2024-05-29,2024-06-04,dr jesus dentist,0,1,0,9
2024-05-29,2024-06-04,jesus uriel,0,3,0,8.666666666666668
2024-06-05,2024-06-11,jesus higuera,0,2,0,7
2024-06-05,2024-06-11,prosthodontics los algodones mx,0,1,0,79
2024-06-12,2024-06-18,dr higuera,0,3,0,51
2024-06-12,2024-06-18,higuera jesus,0,1,0,15
2024-06-12,2024-06-18,jesus higuera,0,3,0,27.333333333333332
2024-06-12,2024-06-18,jesus uriel,0,1,0,1
2024-06-12,2024-06-18,prosthodontics los algodones mx,0,1,0,81
2024-06-12,2024-06-18,uriel de jesus,0,1,0,51
2024-06-19,2024-06-25,doctor uriel,0,1,0,48
2024-06-19,2024-06-25,dr implant dentist tijuana,0,2,0,74
2024-06-19,2024-06-25,jesus higuera,0,1,0,14
2024-06-19,2024-06-25,jesus uriel,0,3,0,2.333333333333333
2024-06-26,2024-07-02,jesus uriel,0,2,0,5.5
2024-07-03,2024-07-09,dr higuera,0,1,0,6
2024-07-03,2024-07-09,jesus higuera,0,2,0,6
2024-07-03,2024-07-09,top 10 dentist in los algodones mexico,0,1,0,73
2024-07-10,2024-07-16,higuera jesus,0,1,0,8
2024-07-10,2024-07-16,jesus dentist,0,1,0,80
2024-07-10,2024-07-16,jesus higuera,0,1,0,7
2024-07-10,2024-07-16,jesus uriel,0,1,0,9
2024-07-17,2024-07-23,dr higuera,0,2,0,15.5
2024-07-17,2024-07-23,dr implant dentist tijuana,0,1,0,87
2024-07-17,2024-07-23,jesus higuera,0,2,0,18.5
2024-07-24,2024-07-30,doctor higuera,0,1,0,10
2024-07-24,2024-07-30,dr higuera,0,1,0,99
2024-07-31,2024-08-06,higuera jesus,0,1,0,8
2024-08-07,2024-08-13,jesus uriel,0,1,0,8
2024-08-14,2024-08-20,jesus uriel,0,1,0,6
2024-08-21,2024-08-27,jesus uriel,0,1,0,9
2024-08-21,2024-08-27,prosthodontics los algodones mx,0,9,0,57.666666666666664
2024-08-28,2024-09-03,jesus uriel,0,2,0,9.5
2024-08-28,2024-09-03,prosthodontics los algodones mx,0,6,0,60
2024-08-28,2024-09-03,uriel de jesus,0,1,0,47
2024-09-04,2024-09-10,anna higuera,0,1,0,85
2024-09-04,2024-09-10,jesus uriel,0,1,0,11
2024-09-04,2024-09-10,prosthodontics los algodones mx,0,8,0,51.875
2024-09-11,2024-09-17,dr higuera,0,2,0,9
2024-09-11,2024-09-17,higuera jesus,0,1,0,17
2024-09-11,2024-09-17,jesus uriel,0,1,0,10
2024-09-11,2024-09-17,prosthodontics los algodones mx,0,12,0,47.583333333333336
2024-09-18,2024-09-24,jesus uriel,0,2,0,5.5
2024-09-18,2024-09-24,prosthodontics los algodones mx,0,14,0,52.642857142857146
2024-09-25,2024-10-01,dr jesus dentist,0,2,0,26
2024-09-25,2024-10-01,jesus dentist,0,1,0,51
2024-09-25,2024-10-01,jesus uriel,0,3,0,9.666666666666666
2024-09-25,2024-10-01,prosthodontics los algodones mx,0,10,0,51.5
2024-09-25,2024-10-01,uriel de jesus,0,1,0,35
2024-10-02,2024-10-08,dr implant dentistry tijuana,0,1,0,50
2024-10-02,2024-10-08,jesus uriel,0,2,0,11
2024-10-02,2024-10-08,prosthodontics los algodones mx,0,11,0,54.36363636363637
2024-10-09,2024-10-15,dr jesus dentist,0,1,0,4
2024-10-09,2024-10-15,jesus uriel,0,44,0,9.772727272727273
2024-10-09,2024-10-15,jesus uriel america,0,2,0,10
2024-10-09,2024-10-15,jesus uriel durantes dominguez,0,4,0,4.75
2024-10-09,2024-10-15,prosthodontics los algodones mx,0,11,0,52.45454545454545
2024-10-09,2024-10-15,vicente guerrero dentist,0,1,0,78
2024-10-16,2024-10-22,jesus dentist,0,1,0,39
2024-10-16,2024-10-22,jesus uriel,0,92,0,6.369565217391305
2024-10-16,2024-10-22,jesús uriel,0,2,0,11
2024-10-16,2024-10-22,prosthodontics los algodones mx,0,12,0,28.5
2024-10-16,2024-10-22,vicente guerrero dentist,0,2,0,78.5
2024-10-23,2024-10-29,dr higuera,0,1,0,8
2024-10-23,2024-10-29,dr jesus dentist,0,2,0,13.5
2024-10-23,2024-10-29,higuera jesus,0,1,0,15
2024-10-23,2024-10-29,jesus uriel,0,2,0,8.5
2024-10-23,2024-10-29,prosthodontics los algodones mx,0,7,0,12.142857142857142
2024-10-23,2024-10-29,vicente guerrero dentist,0,3,0,72.33333333333333
2024-10-30,2024-11-05,jesus uriel,0,3,0,6.333333333333333
2024-10-30,2024-11-05,prosthodontics los algodones mx,0,12,0,17.25
2024-10-30,2024-11-05,vicente guerrero dentist,0,4,0,73
2024-11-06,2024-11-12,jesus uriel,0,1,0,1
2024-11-06,2024-11-12,prosthodontics los algodones mx,0,14,0,19.857142857142858
2024-11-13,2024-11-19,dr higuera,0,1,0,4
2024-11-13,2024-11-19,jesus uriel,0,2,0,1
2024-11-13,2024-11-19,prosthodontics los algodones mx,0,15,0,31.2
2024-11-20,2024-11-26,dr higuera,0,2,0,9
2024-11-20,2024-11-26,jesus uriel,0,1,0,1
2024-11-20,2024-11-26,prosthodontics los algodones mx,0,16,0,35.125
2024-11-27,2024-12-03,dr implant dentistry tijuana,0,2,0,85
2024-11-27,2024-12-03,jesus y la higuera,0,1,0,63
2024-11-27,2024-12-03,prosthodontics los algodones mx,0,11,0,22.545454545454547
2024-12-04,2024-12-10,dr implant dentistry tijuana,0,1,0,87
2024-12-04,2024-12-10,higuera jesus,0,1,0,16
2024-12-04,2024-12-10,jesus dentist,0,1,0,94
2024-12-04,2024-12-10,prosthodontics los algodones mx,0,13,0,21.615384615384617
2024-12-04,2024-12-10,vicente guerrero dentist,0,6,0,83.5
2024-12-11,2024-12-17,jesus uriel,0,1,0,1
2024-12-11,2024-12-17,prosthodontics los algodones mx,0,14,0,40.92857142857143
2024-12-11,2024-12-17,vicente guerrero dentist,0,7,0,84.14285714285714
2024-12-18,2024-12-24,dr higuera,0,1,0,7
2024-12-18,2024-12-24,montana's only certified implantologist,0,1,0,66
2024-12-18,2024-12-24,prosthodontics los algodones mx,0,9,0,25.666666666666668
2024-12-18,2024-12-24,uriel dental clinic,0,1,0,13
2024-12-18,2024-12-24,vicente guerrero dentist,0,7,0,91.71428571428571
2024-12-25,2024-12-31,prosthodontics los algodones mx,0,14,0,20.928571428571427
2024-12-25,2024-12-31,uriel de jesus,0,1,0,43
2024-12-25,2024-12-31,vicente guerrero dentist,0,5,0,84
2025-01-01,2025-01-07,dr jesus dentist,0,1,0,11
2025-01-01,2025-01-07,jesus dentist,0,1,0,71
2025-01-01,2025-01-07,prosthodontics los algodones mx,0,15,0,55.2
2025-01-01,2025-01-07,vicente guerrero dentist,0,11,0,86.0909090909091
2025-01-08,2025-01-14,dr higuera,0,1,0,11
2025-01-08,2025-01-14,jesus dentist,0,1,0,83
2025-01-08,2025-01-14,jesus uriel,0,1,0,1
2025-01-08,2025-01-14,marietta dental care tijuana mx,0,1,0,47
2025-01-08,2025-01-14,prosthodontics los algodones mx,0,13,0,55.07692307692308
2025-01-08,2025-01-14,vicente guerrero dentist,0,11,0,88.72727272727273
