start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,dr jose luis morales,0,2,0,6
2024-05-01,2024-05-07,dr luis morales,0,13,0,53.15384615384615
2024-05-01,2024-05-07,josé luis morales,0,2,0,94
2024-05-08,2024-05-14,doctor luis morales,0,1,0,48
2024-05-08,2024-05-14,dr jose luis morales,0,1,0,9
2024-05-08,2024-05-14,dr luis morales,0,9,0,38.44444444444444
2024-05-08,2024-05-14,jose luis morales,0,2,0,61.5
2024-05-08,2024-05-14,luis morales iii,0,1,0,3
2024-05-15,2024-05-21,dr jose luis morales,1,1,1,3
2024-05-15,2024-05-21,dr jose morales,0,1,0,74
2024-05-15,2024-05-21,dr luis morales,0,14,0,40.785714285714285
2024-05-22,2024-05-28,dr jose morales,0,1,0,74
2024-05-22,2024-05-28,dr luis morales,0,14,0,41.42857142857143
2024-05-22,2024-05-28,dr morales dentist,0,2,0,96
2024-05-22,2024-05-28,dr morales oral surgeon,0,2,0,10
2024-05-29,2024-06-04,dr luis morales,0,16,0,40.875
2024-05-29,2024-06-04,jose luis herrera saldaña,0,1,0,3
2024-05-29,2024-06-04,josé luis morales,0,1,0,1
2024-05-29,2024-06-04,luis morales iii,0,1,0,3
2024-05-29,2024-06-04,one destination clinic cancun,0,1,0,53
2024-06-05,2024-06-11,doctor luis morales,0,1,0,60
2024-06-05,2024-06-11,dr luis morales,0,11,0,43.45454545454545
2024-06-05,2024-06-11,dr morales oral surgeon,0,3,0,14
2024-06-05,2024-06-11,jose luis morales,0,1,0,1
2024-06-05,2024-06-11,michelle pimer phone number,0,1,0,34
2024-06-12,2024-06-18,doctor luis morales,0,1,0,33
2024-06-12,2024-06-18,dr jose stable,0,2,0,42
2024-06-12,2024-06-18,dr luis morales,0,16,0,42.125
2024-06-12,2024-06-18,dr morales oral surgeon,0,1,0,9
2024-06-12,2024-06-18,josé luis doctor morales,0,1,0,9
2024-06-12,2024-06-18,michelle pimer email,0,1,0,36
2024-06-12,2024-06-18,one destination clinic cancun,0,1,0,58
2024-06-19,2024-06-25,dr jose luis morales,0,1,0,2
2024-06-19,2024-06-25,dr jose morales,0,1,0,78
2024-06-19,2024-06-25,dr luis morales,0,13,0,40.92307692307692
2024-06-19,2024-06-25,dr morales oral surgeon,0,3,0,18
2024-06-19,2024-06-25,jose luis morales,0,2,0,1
2024-06-19,2024-06-25,josé luis morales,0,1,0,83
2024-06-19,2024-06-25,morales dental clinic,0,1,0,99
2024-06-19,2024-06-25,one destination clinic cancun,0,1,0,59
2024-06-26,2024-07-02,dr luis morales,0,6,0,41.166666666666664
2024-06-26,2024-07-02,luis antonio morales iii,0,1,0,3
2024-06-26,2024-07-02,クローザー dr. fernando morales,0,1,0,19
2024-07-03,2024-07-09,doctor luis morales,0,1,0,30
2024-07-03,2024-07-09,dr luis morales,0,6,0,29.666666666666668
2024-07-03,2024-07-09,dr morales mexico,0,2,0,70
2024-07-03,2024-07-09,dr morales oral surgeon,0,1,0,10
2024-07-03,2024-07-09,jose luis morales,0,3,0,71.33333333333333
2024-07-03,2024-07-09,josé luis morales,0,1,0,78
2024-07-03,2024-07-09,クローザー dr. fernando morales,0,1,0,20
2024-07-10,2024-07-16,dr luis morales,0,3,0,38
2024-07-10,2024-07-16,dr morales oral surgeon,0,4,0,10.75
2024-07-10,2024-07-16,morales dental clinic,0,1,0,55
2024-07-17,2024-07-23,dr luis morales,0,2,0,29.5
2024-07-17,2024-07-23,josé luis morales,0,4,0,64.25
2024-07-17,2024-07-23,michelle pimer email,0,2,0,31
2024-07-24,2024-07-30,dr luis morales,0,7,0,37.57142857142857
2024-07-24,2024-07-30,dr morales mexico,0,1,0,54
2024-07-24,2024-07-30,jose luis morales,0,1,0,39
2024-07-24,2024-07-30,jose luis morales delaware,0,2,0,28.5
2024-07-24,2024-07-30,josé luis morales,0,2,0,37.5
2024-07-24,2024-07-30,michelle pimer email,0,3,0,22
2024-07-31,2024-08-06,18007787879,0,1,0,6
2024-07-31,2024-08-06,cancun dental care photos,0,1,0,79
2024-07-31,2024-08-06,doctor luis morales,0,1,0,53
2024-07-31,2024-08-06,dr luis morales,0,5,0,35.2
2024-07-31,2024-08-06,dr morales dentist,0,1,0,3
2024-07-31,2024-08-06,dr morales oral surgeon,0,3,0,11
2024-07-31,2024-08-06,jose luis morales,0,7,0,22.714285714285715
2024-07-31,2024-08-06,jose luis morales delaware,0,5,0,11
2024-07-31,2024-08-06,josé luis morales,0,1,0,1
2024-07-31,2024-08-06,michelle pimer email,0,3,0,26.333333333333332
2024-08-07,2024-08-13,cancun dental care photos,0,2,0,82
2024-08-07,2024-08-13,doctor luis morales,0,1,0,6
2024-08-07,2024-08-13,dr jose morales,0,1,0,62
2024-08-07,2024-08-13,dr luis morales,0,5,0,26.2
2024-08-07,2024-08-13,dr morales dentist,0,1,0,85
2024-08-07,2024-08-13,dr morales oral surgeon,0,1,0,4
2024-08-07,2024-08-13,dr. morales dentist,0,1,0,91
2024-08-07,2024-08-13,jose luis morales,0,1,0,24
2024-08-07,2024-08-13,jose luis morales delaware,0,41,0,7.219512195121951
2024-08-07,2024-08-13,josé luis morales,0,2,0,44
2024-08-07,2024-08-13,michelle pimer email,0,5,0,18.6
2024-08-07,2024-08-13,morales dental care,0,1,0,88
2024-08-14,2024-08-20,18007787879,0,1,0,6
2024-08-14,2024-08-20,doctor luis morales,0,1,0,25
2024-08-14,2024-08-20,dr cancun,0,1,0,71
2024-08-14,2024-08-20,dr luis morales,0,5,0,24.2
2024-08-14,2024-08-20,dr morales dentist,0,1,0,73
2024-08-14,2024-08-20,dr morales oral surgeon,0,2,0,11.5
2024-08-14,2024-08-20,jose luis dentista,0,1,0,10
2024-08-14,2024-08-20,jose luis morales,0,3,0,54.333333333333336
2024-08-14,2024-08-20,jose luis morales delaware,0,4,0,8.75
2024-08-14,2024-08-20,josé luis morales,0,2,0,38
2024-08-14,2024-08-20,michelle pimer email,0,7,0,22
2024-08-21,2024-08-27,cancun doctors,0,1,0,37
2024-08-21,2024-08-27,dentist morales,0,1,0,6
2024-08-21,2024-08-27,doctor luis morales,0,1,0,44
2024-08-21,2024-08-27,dr luis morales,0,7,0,16.42857142857143
2024-08-21,2024-08-27,dr morales dentist,0,1,0,67
2024-08-21,2024-08-27,dr. morales dentist,0,1,0,59
2024-08-21,2024-08-27,jose luis morales,0,2,0,73
2024-08-21,2024-08-27,jose luis morales delaware,0,38,0,6.973684210526316
2024-08-21,2024-08-27,josé luis morales,0,5,0,66.6
2024-08-21,2024-08-27,michelle pimer email,0,7,0,18.714285714285715
2024-08-21,2024-08-27,morales dentist,0,1,0,65
