start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,biodental care tijuana,0,10,0,57.3
2024-05-01,2024-05-07,dr trejo dentist,0,1,0,5
2024-05-01,2024-05-07,holistic dentist in tijuana,0,1,0,89
2024-05-08,2024-05-14,bio dentistry tijuana,0,2,0,77.5
2024-05-08,2024-05-14,biodental care tijuana,0,2,0,52
2024-05-08,2024-05-14,dr trejo,0,2,0,88.5
2024-05-08,2024-05-14,tijuana holistic dentist,0,2,0,89.5
2024-05-08,2024-05-14,trust dental tijuana,0,2,0,97.5
2024-05-15,2024-05-21,bio dental care tijuana,0,2,0,72.5
2024-05-15,2024-05-21,bio dental tijuana,0,1,0,67
2024-05-15,2024-05-21,bio dentistry tijuana,0,9,0,84
2024-05-15,2024-05-21,biodental care tijuana,0,2,0,54.5
2024-05-15,2024-05-21,biodental tijuana,0,1,0,64
2024-05-15,2024-05-21,dr trejo,0,2,0,87.5
2024-05-15,2024-05-21,dr trejo dentist,0,1,0,20
2024-05-15,2024-05-21,holistic dentist in tijuana,0,1,0,70
2024-05-15,2024-05-21,holistic dentist tijuana mexico,0,2,0,81.5
2024-05-15,2024-05-21,tijuana holistic dentist,0,3,0,81.33333333333333
2024-05-15,2024-05-21,trust dental tijuana,0,3,0,85
2024-05-22,2024-05-28,bio dental care tijuana,0,5,0,64.8
2024-05-22,2024-05-28,bio dentist tijuana,0,3,0,71.66666666666667
2024-05-22,2024-05-28,bio dentistry tijuana,0,11,0,75.9090909090909
2024-05-22,2024-05-28,doctor tijuana,0,8,0,69.625
2024-05-22,2024-05-28,doctor trejo,0,3,0,78
2024-05-22,2024-05-28,dr trejo,0,3,0,80.66666666666667
2024-05-22,2024-05-28,holistic dentist in tijuana,0,2,0,62.5
2024-05-22,2024-05-28,holistic dentist tijuana mexico,0,1,0,73
2024-05-22,2024-05-28,juan dentist,0,3,0,97.33333333333333
2024-05-22,2024-05-28,tijuana holistic dentist,0,2,0,74
2024-05-29,2024-06-04,bio dental care tijuana,0,1,0,62
2024-05-29,2024-06-04,bio dentistry tijuana,0,8,0,79.5
2024-05-29,2024-06-04,biodental care tijuana,0,2,0,52.5
2024-05-29,2024-06-04,biodental tijuana,0,4,0,59.75
2024-05-29,2024-06-04,brough dental studio reviews,0,4,0,63.5
2024-05-29,2024-06-04,dr trejo,0,3,0,79.33333333333333
2024-05-29,2024-06-04,dr trejo dentist,0,1,0,3
2024-05-29,2024-06-04,holistic dentist in tijuana,0,1,0,63
2024-05-29,2024-06-04,juan dentist,0,12,0,94.91666666666667
2024-05-29,2024-06-04,tijuana holistic dentist,0,2,0,71
2024-06-05,2024-06-11,bio dental care tijuana,0,4,0,59.25
2024-06-05,2024-06-11,bio dentistry tijuana,0,6,0,81.66666666666667
2024-06-05,2024-06-11,biodental care tijuana,0,3,0,52.333333333333336
2024-06-05,2024-06-11,biodental tijuana,0,16,0,59.625
2024-06-05,2024-06-11,brough dental studio reviews,0,1,0,56
2024-06-05,2024-06-11,clinica dental trejo,0,1,0,79
2024-06-05,2024-06-11,dr trejo,0,1,0,73
2024-06-05,2024-06-11,dr trejo office,0,1,0,62
2024-06-05,2024-06-11,holistic dentist in tijuana,0,1,0,60
2024-06-05,2024-06-11,holistic dentist tijuana mexico,0,1,0,71
2024-06-05,2024-06-11,juan dentist,0,7,0,95.14285714285714
2024-06-05,2024-06-11,tijuana holistic dentist,0,1,0,71
2024-06-12,2024-06-18,antonio trejo,0,1,0,35
2024-06-12,2024-06-18,bio dental care tijuana,0,2,0,55.5
2024-06-12,2024-06-18,bio dental tijuana,0,4,0,63
2024-06-12,2024-06-18,bio dentist tijuana,0,1,0,70
2024-06-12,2024-06-18,bio dentistry tijuana,0,9,0,79.11111111111111
2024-06-12,2024-06-18,biodental care tijuana,0,3,0,53.666666666666664
2024-06-12,2024-06-18,biodental tijuana,0,5,0,62.2
2024-06-12,2024-06-18,clinica trejo,0,1,0,5
2024-06-12,2024-06-18,dr trejo,0,7,0,51
2024-06-12,2024-06-18,holistic dentist in tijuana,0,1,0,63
2024-06-12,2024-06-18,holistic dentist tijuana mexico,0,1,0,69
2024-06-12,2024-06-18,juan dentist,0,7,0,93.42857142857143
2024-06-12,2024-06-18,tijuana holistic dentist,0,2,0,67
2024-06-12,2024-06-18,trejo dentista,0,1,0,6
2024-06-19,2024-06-25,bio dental care tijuana,0,6,0,55.666666666666664
2024-06-19,2024-06-25,bio dentist tijuana,0,1,0,68
2024-06-19,2024-06-25,bio dentistry tijuana,0,8,0,77.625
2024-06-19,2024-06-25,biodental care,0,1,0,75
2024-06-19,2024-06-25,biodental care tijuana,0,4,0,53.75
