start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,st dental implant specialist near me,0,1,0,1
2024-05-08,2024-05-14,juan pablo dentista,0,1,0,11
2024-05-15,2024-05-21,villas juan pablo,0,1,0,5
2024-05-22,2024-05-28,dr pablo villaseñor,0,1,0,6
2024-05-29,2024-06-04,juan villaseñor,0,1,0,79
2024-06-05,2024-06-11,juan pablo villaseñor,0,2,0,4
2024-06-12,2024-06-18,juan villaseñor,0,2,0,74
2024-06-19,2024-06-25,dentista juan pablo,0,1,0,4
2024-06-19,2024-06-25,dr andres villasenor,0,1,0,29
2024-06-19,2024-06-25,juan pablo villaseñor,0,1,0,5
2024-06-19,2024-06-25,mississippi prosthetic dentistry,0,1,0,60
2024-06-26,2024-07-02,dr andres villasenor,0,2,0,44.5
2024-06-26,2024-07-02,juan pablo villaseñor,0,1,0,11
2024-07-03,2024-07-09,dr andres villasenor,0,1,0,40
2024-07-03,2024-07-09,juan pablo villaseñor,0,4,0,1
2024-07-03,2024-07-09,juan villaseñor,0,1,0,51
2024-07-10,2024-07-16,juan pablo villaseñor,0,1,0,10
2024-07-17,2024-07-23,dr pablo villaseñor,0,1,0,10
2024-07-17,2024-07-23,implantes dentales en queretaro,0,1,0,10
2024-07-24,2024-07-30,dr villasenor,0,1,0,7
2024-07-31,2024-08-06,manual villasenor,0,1,0,6
2024-07-31,2024-08-06,pablo dentist,0,1,0,67
2024-08-07,2024-08-13,500 n akard,0,1,0,69
2024-08-07,2024-08-13,dr villaseñor,0,1,0,41
2024-08-07,2024-08-13,juan pablo dentista,0,1,0,8
2024-08-07,2024-08-13,manual villasenor,0,1,0,1
2024-08-07,2024-08-13,pablo villaseñor,0,6,0,3.1666666666666665
2024-08-14,2024-08-20,juan pablo dentista,0,1,0,11
2024-08-14,2024-08-20,pablo villaseñor,0,1,0,3
2024-08-14,2024-08-20,top doctors queretaro,0,1,0,35
2024-08-21,2024-08-27,dr pablo villaseñor,0,2,0,4
2024-08-21,2024-08-27,juan pablo villaseñor,0,1,0,3
2024-08-21,2024-08-27,odontologo queretaro,0,1,0,32
2024-08-28,2024-09-03,dental implants monterrey,0,1,0,61
2024-08-28,2024-09-03,dentista juan pablo,0,1,0,6
2024-08-28,2024-09-03,dr villaseñor,0,1,0,21
2024-08-28,2024-09-03,materiales villaseñor,0,1,0,56
2024-09-04,2024-09-10,dental implants monterrey,0,1,0,47
2024-09-04,2024-09-10,dr pablo villaseñor,0,1,0,9
2024-09-04,2024-09-10,odontologo guadalajara,0,1,0,36
