start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,cabo dentistry,0,1,0,67
2024-05-01,2024-05-07,dentist in los cabos,0,1,0,77
2024-05-01,2024-05-07,dr astorga,0,1,0,51
2024-05-01,2024-05-07,iliana astorga,0,2,0,4
2024-05-01,2024-05-07,los cabos dentist,0,4,0,62.25
2024-05-08,2024-05-14,iliana astorga,0,14,0,5.214285714285714
2024-05-08,2024-05-14,los cabos dentist,0,8,0,61.625
2024-05-15,2024-05-21,iliana astorga,0,1,0,1
2024-05-15,2024-05-21,los cabos dentist,0,6,0,59.666666666666664
2024-05-22,2024-05-28,dr astorga,0,1,0,65
2024-05-22,2024-05-28,iliana astorga,0,1,0,6
2024-05-22,2024-05-28,los cabos dentist,0,3,0,64
2024-05-29,2024-06-04,iliana astorga,0,1,0,6
2024-06-05,2024-06-11,ileana astorga,0,1,0,7
2024-06-05,2024-06-11,iliana astorga,0,4,0,3.25
2024-06-05,2024-06-11,los cabos dentist,0,3,0,70.66666666666667
2024-06-12,2024-06-18,dentist in los cabos,0,2,0,65.5
2024-06-12,2024-06-18,iliana astorga,0,1,0,1
2024-06-12,2024-06-18,los cabos dentist,0,6,0,65
2024-06-12,2024-06-18,oralia astorga,0,1,0,11
2024-06-19,2024-06-25,ileana astorga,0,1,0,8
2024-06-19,2024-06-25,iliana astorga,0,4,0,1
2024-06-19,2024-06-25,los cabos dentist,0,8,0,55.75
2024-06-26,2024-07-02,guadalupe astorga,0,1,0,32
2024-06-26,2024-07-02,ileana astorga,0,2,0,8
2024-06-26,2024-07-02,iliana astorga,0,1,0,1
2024-06-26,2024-07-02,los cabos dentist,0,13,0,55.69230769230769
2024-07-03,2024-07-09,los cabos dentist,1,10,0.1,62.6
2024-07-03,2024-07-09,cabo dentistry,0,1,0,77
2024-07-03,2024-07-09,iliana astorga,0,1,0,8
2024-07-10,2024-07-16,los cabos dentist,0,6,0,71.5
2024-07-17,2024-07-23,dentist in los cabos,0,3,0,77.33333333333333
2024-07-17,2024-07-23,dentista san jose del cabo,0,1,0,1
2024-07-17,2024-07-23,los cabos dentist,0,6,0,68.5
2024-07-24,2024-07-30,'private doctors los cabos',0,2,0,75
2024-07-24,2024-07-30,cabo dentistry,0,1,0,70
2024-07-24,2024-07-30,iliana astorga,0,1,0,1
2024-07-24,2024-07-30,los cabos dentist,0,7,0,68
2024-07-31,2024-08-06,los cabos dentist,0,5,0,67
2024-08-07,2024-08-13,ileana astorga,0,2,0,5.5
2024-08-07,2024-08-13,los cabos dentist,0,5,0,67.6
2024-08-14,2024-08-20,astorga dentista,0,2,0,3.5
2024-08-14,2024-08-20,cabo dentistry,0,1,0,70
2024-08-14,2024-08-20,dentist in los cabos,0,1,0,79
2024-08-14,2024-08-20,los cabos dentist,0,6,0,65.83333333333333
2024-08-21,2024-08-27,'private doctors los cabos',0,1,0,67
2024-08-21,2024-08-27,dentist in los cabos,0,2,0,76
2024-08-21,2024-08-27,dr astorga,0,1,0,5
2024-08-21,2024-08-27,ileana astorga,0,1,0,9
2024-08-21,2024-08-27,los cabos dentist,0,7,0,67.42857142857143
2024-08-28,2024-09-03,dentist in los cabos,0,2,0,80
2024-08-28,2024-09-03,guadalupe astorga,0,2,0,28
2024-08-28,2024-09-03,los cabos dentist,0,7,0,64.71428571428572
2024-09-04,2024-09-10,dentist in los cabos,0,6,0,81.66666666666667
2024-09-04,2024-09-10,los cabos dentist,0,4,0,61.5
2024-09-11,2024-09-17,astorga dentista,0,1,0,4
2024-09-11,2024-09-17,cabo dentistry,0,1,0,71
2024-09-11,2024-09-17,dental implants elanora,0,1,0,50
2024-09-11,2024-09-17,dentist in los cabos,0,4,0,80.5
