start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,dra herrera,0,2,0,43.5
2024-05-01,2024-05-07,herrera dentist,0,1,0,88
2024-05-08,2024-05-14,dentist herrera,0,1,0,88
2024-05-08,2024-05-14,dr felix herrera,0,1,0,48
2024-05-08,2024-05-14,dr herrera dentist,0,1,0,78
2024-05-08,2024-05-14,herrera dental clinic,0,2,0,52.5
2024-05-08,2024-05-14,herrera dentist,0,4,0,65.5
2024-05-15,2024-05-21,dentist herrera,0,1,0,82
2024-05-15,2024-05-21,dr herrera dentist,0,1,0,75
2024-05-15,2024-05-21,herrera dental clinic,0,2,0,43.5
2024-05-15,2024-05-21,herrera dentist,0,2,0,64.5
2024-05-15,2024-05-21,real herrera dental clinic,0,1,0,40
2024-05-22,2024-05-28,dr herrera dentist,0,2,0,78
2024-05-29,2024-06-04,12500 merit dr dallas tx 75251,0,1,0,88
2024-05-29,2024-06-04,dra herrera,0,2,0,21.5
2024-05-29,2024-06-04,herrera dentist,0,1,0,86
2024-06-05,2024-06-11,herrera dentist,0,2,0,71
2024-06-05,2024-06-11,real herrera dental clinic,0,1,0,42
2024-06-12,2024-06-18,herrera dental clinic,0,1,0,55
2024-06-19,2024-06-25,dr herrera dentist,0,1,0,83
2024-06-19,2024-06-25,herrera dental clinic,0,2,0,53.5
2024-06-26,2024-07-02,herrera dental clinic,0,2,0,53.5
2024-07-03,2024-07-09,dr herrera dentist,0,1,0,10
2024-07-03,2024-07-09,herrera dentist,0,1,0,9
2024-07-03,2024-07-09,maricruz herrera,0,3,0,2
2024-07-10,2024-07-16,maricruz herrera,0,3,0,1
2024-07-17,2024-07-23,maricruz herrera,0,1,0,2
2024-07-24,2024-07-30,maricruz herrera,0,3,0,5.666666666666667
2024-07-31,2024-08-06,doctor herrera,0,1,0,5
2024-07-31,2024-08-06,maricruz herrera,0,3,0,4
2024-08-07,2024-08-13,doctor herrera,0,4,0,10.25
2024-08-07,2024-08-13,maricruz herrera,0,5,0,1.8
2024-08-14,2024-08-20,dr herrera dentist,0,1,0,11
2024-08-14,2024-08-20,maricruz herrera,0,2,0,1
2024-08-21,2024-08-27,doctor herrera,0,2,0,10.5
2024-08-21,2024-08-27,herrera doctor,0,1,0,8
2024-08-21,2024-08-27,maricruz herrera,0,7,0,1.2857142857142856
2024-08-28,2024-09-03,doctor herrera,0,1,0,9
2024-08-28,2024-09-03,dr herrera,0,1,0,7
2024-08-28,2024-09-03,maricruz herrera,0,1,0,1
2024-09-04,2024-09-10,maricruz final,0,1,0,41
2024-09-04,2024-09-10,maricruz herrera,0,3,0,2.666666666666667
2024-09-11,2024-09-17,dentista herrera,0,2,0,1
2024-09-11,2024-09-17,doctor herrera,0,1,0,7
2024-09-11,2024-09-17,dr herrera,0,2,0,9.5
2024-09-11,2024-09-17,maricruz herrera,0,4,0,3
2024-09-18,2024-09-24,maricruz herrera,0,2,0,1
2024-09-25,2024-10-01,herrera family dental,0,1,0,12
2024-09-25,2024-10-01,maricruz herrera,0,1,0,1
2024-10-02,2024-10-08,maricruz herrera,0,1,0,1
2024-10-09,2024-10-15,mari cruz latest,0,1,0,74
2024-10-09,2024-10-15,maricruz herrera,0,3,0,1
2024-10-16,2024-10-22,dr herrera tijuana,0,1,0,42
2024-10-16,2024-10-22,periodoncista carolina,0,1,0,81
2024-10-23,2024-10-29,dentistas en guadalajara,0,1,0,71
2024-10-30,2024-11-05,dental vacation puerto vallarta,0,1,0,78
2024-10-30,2024-11-05,dra herrera,0,1,0,30
2024-10-30,2024-11-05,periodoncista guadalajara,0,1,0,26
2024-10-30,2024-11-05,periodontist specialist tojuana mx,0,1,0,66
2024-11-06,2024-11-12,dental vacation puerto vallarta,0,1,0,75
2024-11-06,2024-11-12,periodontist specialist tojuana mx,0,1,0,90
2024-11-13,2024-11-19,dental vacation puerto vallarta,0,1,0,73
2024-11-13,2024-11-19,periodoncista en monterrey,0,1,0,40
2024-11-13,2024-11-19,periodoncista en queretaro,0,1,0,36
2024-11-13,2024-11-19,periodontist specialist tojuana mx,0,2,0,82
2024-11-20,2024-11-26,dentistas en puerto vallarta,0,1,0,38
2024-11-20,2024-11-26,dr herrera dentist,0,1,0,15
