start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,dr yamile hernandez reviews,0,5,0,9
2024-05-01,2024-05-07,mexico orthodontist,0,1,0,60
2024-05-01,2024-05-07,orthodontist mexico,0,1,0,99
2024-05-08,2024-05-14,dr yamile hernandez reviews,0,9,0,9.222222222222221
2024-05-08,2024-05-14,yamile hernandez,0,1,0,9
2024-05-15,2024-05-21,dr yamile hernandez reviews,0,8,0,8.875
2024-05-15,2024-05-21,mexico orthodontist,0,1,0,94
2024-05-15,2024-05-21,orthodontist mexico,0,3,0,96
2024-05-15,2024-05-21,orthodontist mexico city,0,2,0,6.5
2024-05-15,2024-05-21,yamile hernandez,0,1,0,1
2024-05-22,2024-05-28,dr yamile hernandez reviews,0,6,0,9.166666666666666
2024-05-22,2024-05-28,orthodontist mexico city,0,1,0,9
2024-05-29,2024-06-04,dr yamile hernandez reviews,0,15,0,8.333333333333332
2024-05-29,2024-06-04,yamile hernandez,0,1,0,10
2024-06-05,2024-06-11,dr yamile hernandez reviews,0,10,0,8.1
2024-06-05,2024-06-11,yamile hernandez,0,2,0,1
2024-06-12,2024-06-18,dr yamile hernandez reviews,0,8,0,8.625
2024-06-12,2024-06-18,yamile hernandez,0,5,0,1.4
2024-06-19,2024-06-25,dr yamile hernandez reviews,0,11,0,9
2024-06-19,2024-06-25,yamile hernandez,0,5,0,4.4
2024-06-26,2024-07-02,dr yamile hernandez reviews,0,8,0,10.625
2024-06-26,2024-07-02,yamile hernandez,0,3,0,1
2024-07-03,2024-07-09,dr yamile hernandez reviews,0,7,0,10.857142857142858
2024-07-03,2024-07-09,orthodontist mexico city,0,4,0,9.5
2024-07-03,2024-07-09,yamile hernandez,0,6,0,1.1666666666666667
2024-07-10,2024-07-16,best dentist in algodones mexico,0,1,0,73
2024-07-10,2024-07-16,dr yamile hernandez reviews,0,9,0,8.333333333333332
2024-07-10,2024-07-16,yamile hernandez,0,13,0,2.1538461538461537
2024-07-17,2024-07-23,doctor hernandez dentist,0,1,0,4
2024-07-17,2024-07-23,dr yamile hernandez reviews,0,6,0,9
2024-07-17,2024-07-23,orthodontist mexico city,0,3,0,13
2024-07-17,2024-07-23,yamile hernandez,0,8,0,6
2024-07-24,2024-07-30,cordoba orthodontics,0,1,0,3
2024-07-24,2024-07-30,dr georgia hernandez,0,1,0,88
2024-07-24,2024-07-30,dr yamile hernandez reviews,0,9,0,9.222222222222221
2024-07-24,2024-07-30,yamile hernandez,0,8,0,1.125
2024-07-24,2024-07-30,yamilet hernandez,0,1,0,1
2024-07-31,2024-08-06,clínica dental hernández,0,1,0,42
2024-07-31,2024-08-06,dr yamile hernandez reviews,0,9,0,11.666666666666666
2024-07-31,2024-08-06,yamile hernandez,0,9,0,7.888888888888889
2024-08-07,2024-08-13,dr yamile hernandez reviews,0,11,0,8.90909090909091
2024-08-07,2024-08-13,orthodontist mexico city,0,3,0,10.666666666666666
2024-08-07,2024-08-13,yamile hernandez,0,8,0,4.375
2024-08-14,2024-08-20,dr yamile hernandez reviews,0,7,0,9
2024-08-14,2024-08-20,yamile hernandez,0,7,0,3.5714285714285716
2024-08-21,2024-08-27,dr yamile hernandez reviews,0,7,0,9.285714285714286
2024-08-21,2024-08-27,yamile hernandez,0,8,0,3.875
2024-08-28,2024-09-03,clinica dental hernandez,0,1,0,42
2024-08-28,2024-09-03,dr yamile hernandez reviews,0,7,0,9
2024-08-28,2024-09-03,eden dental aesthetics reviews,0,1,0,4
2024-08-28,2024-09-03,orthodontist mexico city,0,1,0,13
2024-08-28,2024-09-03,yamile hernandez,0,4,0,4.5
2024-09-04,2024-09-10,clinica dental hernandez,0,1,0,43
2024-09-04,2024-09-10,clínica dental hernández,0,1,0,38
2024-09-04,2024-09-10,dr yamile hernandez reviews,0,17,0,8.529411764705882
2024-09-04,2024-09-10,yamile hernandez,0,14,0,5.642857142857143
2024-09-11,2024-09-17,clinica dental hernandez,0,1,0,44
2024-09-11,2024-09-17,dr yamile hernandez reviews,0,15,0,8.8
2024-09-11,2024-09-17,dr. hernandez dentist,0,1,0,5
2024-09-11,2024-09-17,yamile hernandez,0,5,0,5.8
2024-09-18,2024-09-24,dr grant brough,0,1,0,81
2024-09-18,2024-09-24,dr yamile hernandez reviews,0,15,0,8.733333333333334
2024-09-18,2024-09-24,yamile hernandez,0,10,0,4.2
2024-09-25,2024-10-01,clinica dental hernandez,0,1,0,42
2024-09-25,2024-10-01,dr yamile hernandez reviews,0,14,0,9
2024-09-25,2024-10-01,yamile hernandez,0,7,0,3
2024-10-02,2024-10-08,dr yamile hernandez reviews,0,19,0,9.421052631578947
2024-10-02,2024-10-08,yamile hernandez,0,9,0,2.4444444444444446
2024-10-09,2024-10-15,dr grant brough,0,2,0,95.5
2024-10-09,2024-10-15,dr yamile hernandez reviews,0,14,0,9.5
2024-10-09,2024-10-15,eden dental aesthetics reviews,0,1,0,8
2024-10-09,2024-10-15,yamile hernandez,0,11,0,4.090909090909091
2024-10-16,2024-10-22,dr yamile hernandez reviews,0,17,0,10.176470588235293
2024-10-16,2024-10-22,yamile hernandez,0,15,0,4.6
2024-10-23,2024-10-29,dr yamile hernandez reviews,0,18,0,10.333333333333334
2024-10-23,2024-10-29,yamile hernandez,0,8,0,3.375
2024-10-30,2024-11-05,clinica dental hernandez,0,1,0,45
2024-10-30,2024-11-05,dentista hernandez,0,1,0,9
2024-10-30,2024-11-05,dr yamile hernandez reviews,0,15,0,9.466666666666667
2024-10-30,2024-11-05,tandartsen dental clinics,0,1,0,49
2024-10-30,2024-11-05,yamile hernandez,0,7,0,6.142857142857143
2024-11-06,2024-11-12,dr yamile hernandez reviews,0,13,0,7.076923076923077
2024-11-06,2024-11-12,orthodontist mexico,0,1,0,100
2024-11-06,2024-11-12,yamile hernandez,0,5,0,2.6
2024-11-06,2024-11-12,yamile name origin,0,1,0,57
2024-11-13,2024-11-19,dr yamile hernandez reviews,0,15,0,8.466666666666667
2024-11-13,2024-11-19,hernandez dental center,0,1,0,33
2024-11-13,2024-11-19,yamile hernandez,0,15,0,3.533333333333333
2024-11-20,2024-11-26,dr yamile hernandez reviews,0,15,0,8.666666666666668
2024-11-20,2024-11-26,yamile hernandez,0,11,0,6.2727272727272725
2024-11-27,2024-12-03,de donde es yamile hernandez,0,4,0,5.75
2024-11-27,2024-12-03,dr yamile hernandez reviews,0,16,0,9.1875
2024-11-27,2024-12-03,esthetic dental center queretaro,0,1,0,32
2024-11-27,2024-12-03,yamile hernandez,0,256,0,5.69140625
2024-11-27,2024-12-03,yamilé hernández,0,3,0,6.333333333333333
2024-12-04,2024-12-10,clinica dental hernandez,0,1,0,57
2024-12-04,2024-12-10,de donde es yamile hernandez,0,3,0,4.666666666666666
2024-12-04,2024-12-10,dr yamile hernandez reviews,0,17,0,8.882352941176471
2024-12-04,2024-12-10,orthodontist mexico city,0,3,0,11.333333333333334
2024-12-04,2024-12-10,washington clinic juarez mexico,0,1,0,41
2024-12-04,2024-12-10,yamile hernandez,0,70,0,5.242857142857143
2024-12-11,2024-12-17,dr yamile hernandez reviews,0,18,0,9.944444444444445
2024-12-11,2024-12-17,orthodontist mexico city,0,1,0,13
2024-12-11,2024-12-17,yamile hernandez,0,23,0,6.304347826086956
2024-12-18,2024-12-24,yamile hernandez,1,21,0.047619047619047616,8.142857142857142
2024-12-18,2024-12-24,dr yamile hernandez reviews,0,16,0,8.625
2024-12-25,2024-12-31,centro de estudios odontologicos,0,1,0,75
2024-12-25,2024-12-31,dr hernandez orthodontist,0,1,0,47
2024-12-25,2024-12-31,dr yamile hernandez reviews,0,12,0,7.916666666666667
2024-12-25,2024-12-31,yamile hernandez,0,10,0,7.2
2024-12-25,2024-12-31,yanilex hernandez,0,2,0,7
