start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,global care,0,2,0,5
2024-05-08,2024-05-14,4 on all,0,4,0,90.75
2024-05-08,2024-05-14,all for 4,0,5,0,119
2024-05-08,2024-05-14,all in 4,0,12,0,128.33333333333331
2024-05-08,2024-05-14,all on 4 abroad,0,1,0,87
2024-05-08,2024-05-14,all on 4 marketing,0,4,0,83
2024-05-08,2024-05-14,benefits of all-on-4 dallas tx,0,2,0,85
2024-05-08,2024-05-14,global care,0,7,0,9.714285714285714
2024-05-08,2024-05-14,global dental care,0,1,0,9
2024-05-08,2024-05-14,globalcare inc,0,1,0,10
2024-05-08,2024-05-14,globel care,0,1,0,11
2024-05-15,2024-05-21,4 on all,0,13,0,82.76923076923077
2024-05-15,2024-05-21,all for 4,0,11,0,116.27272727272727
2024-05-15,2024-05-21,all in 4,0,14,0,111.71428571428571
2024-05-15,2024-05-21,all on 4,0,1,0,86
2024-05-15,2024-05-21,all on 4 marketing,0,4,0,58.5
2024-05-15,2024-05-21,all on 4 treatment,0,1,0,97
2024-05-15,2024-05-21,all one 4,0,1,0,77
2024-05-15,2024-05-21,all-on-4,0,1,0,83
2024-05-15,2024-05-21,all-on-4 alabama,0,1,0,84
2024-05-15,2024-05-21,global care,0,7,0,9.142857142857142
2024-05-15,2024-05-21,global care network,0,2,0,9
2024-05-15,2024-05-21,globalcare,0,3,0,6.333333333333333
2024-05-15,2024-05-21,which of the following statements is true of dentures,0,1,0,10
2024-05-22,2024-05-28,4 on all,0,14,0,77.71428571428571
2024-05-22,2024-05-28,all by 4,0,1,0,88
2024-05-22,2024-05-28,all for 4,0,16,0,129.4375
2024-05-22,2024-05-28,all in 4,0,18,0,113.33333333333333
2024-05-22,2024-05-28,all on 4,0,2,0,95
2024-05-22,2024-05-28,all on 4 conversion,0,2,0,57
2024-05-22,2024-05-28,all-on-4,0,1,0,94
2024-05-22,2024-05-28,benefits of all-on-4 dallas tx,0,2,0,90.5
2024-05-22,2024-05-28,global care,0,13,0,10.384615384615385
2024-05-22,2024-05-28,global care clinic,0,1,0,5
2024-05-22,2024-05-28,global care network,0,2,0,8.5
2024-05-22,2024-05-28,global care services,0,1,0,8
2024-05-22,2024-05-28,globalcare,0,1,0,12
2024-05-29,2024-06-04,18007787879,0,1,0,4
2024-05-29,2024-06-04,4 on all,0,14,0,77.78571428571429
2024-05-29,2024-06-04,all for 4,0,13,0,134.30769230769232
2024-05-29,2024-06-04,all in 4,0,14,0,124.42857142857143
2024-05-29,2024-06-04,all on 4 marketing,0,1,0,51
2024-05-29,2024-06-04,all-on-4,0,1,0,88
2024-05-29,2024-06-04,benefits of all-on-4 dallas tx,0,3,0,89.33333333333333
2024-05-29,2024-06-04,care mex,0,1,0,11
2024-05-29,2024-06-04,global care,0,14,0,9.642857142857142
2024-05-29,2024-06-04,global care cosmetics corporation,0,2,0,11
2024-05-29,2024-06-04,global care services,0,1,0,9
2024-05-29,2024-06-04,globalcare,0,3,0,9.666666666666666
2024-06-05,2024-06-11,4 on all,0,17,0,72
2024-06-05,2024-06-11,all by 4,0,1,0,81
2024-06-05,2024-06-11,all for 4,0,16,0,116
2024-06-05,2024-06-11,all in 4,0,14,0,117.21428571428571
2024-06-05,2024-06-11,all on 4 marketing,0,2,0,78.5
2024-06-05,2024-06-11,benefits of all-on-4 dallas tx,0,2,0,94.5
2024-06-05,2024-06-11,care mex,0,1,0,10
2024-06-05,2024-06-11,clinica dental miami world care,0,1,0,9
2024-06-05,2024-06-11,global care,0,17,0,9.647058823529411
2024-06-05,2024-06-11,global care agency,0,2,0,9
2024-06-05,2024-06-11,global care network,0,1,0,11
2024-06-05,2024-06-11,global care services,0,1,0,14
2024-06-05,2024-06-11,la global care,0,1,0,11
2024-06-12,2024-06-18,4 on all,0,16,0,85.0625
2024-06-12,2024-06-18,all for 4,0,13,0,131.15384615384616
2024-06-12,2024-06-18,all in 4,0,12,0,139.25
2024-06-12,2024-06-18,all on 4 marketing,0,2,0,94.5
2024-06-12,2024-06-18,all on 4 surgery in mexico,0,1,0,101
2024-06-12,2024-06-18,benefits of all-on-4 dallas tx,0,2,0,91.5
2024-06-12,2024-06-18,global care,0,9,0,9.666666666666666
2024-06-12,2024-06-18,global care services,0,2,0,12
2024-06-12,2024-06-18,globalcare,0,4,0,9.25
2024-06-19,2024-06-25,4 on all,0,16,0,123.5625
2024-06-19,2024-06-25,all for 4,0,14,0,174.35714285714286
2024-06-19,2024-06-25,all in 4,0,8,0,182.875
2024-06-19,2024-06-25,global care,0,9,0,9.444444444444445
2024-06-26,2024-07-02,4 in all,0,1,0,100
2024-06-26,2024-07-02,4 on all,0,6,0,132
2024-06-26,2024-07-02,all by 4,0,1,0,96
2024-06-26,2024-07-02,all for 4,0,9,0,165.77777777777777
2024-06-26,2024-07-02,all in 4,0,9,0,170.55555555555554
2024-06-26,2024-07-02,global care,0,13,0,8.307692307692307
2024-06-26,2024-07-02,globalcare,0,4,0,2
2024-07-03,2024-07-09,all for 4,0,7,0,182.57142857142858
2024-07-03,2024-07-09,all in 4,0,6,0,198.16666666666666
2024-07-03,2024-07-09,all one 4,0,1,0,86
2024-07-03,2024-07-09,global care,0,8,0,10.25
2024-07-03,2024-07-09,globalcare,0,2,0,6
2024-07-10,2024-07-16,all for 4,0,14,0,159.64285714285714
2024-07-10,2024-07-16,all in 4,0,14,0,184.64285714285714
2024-07-10,2024-07-16,all on 4 dental implants,0,9,0,91
