start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,global care,0,1,0,96
2024-05-08,2024-05-14,arg,global care medical,0,1,0,55
2024-05-15,2024-05-21,arg,care global,0,1,0,3
2024-05-15,2024-05-21,arg,globalcare,0,1,0,6
2024-05-22,2024-05-28,arg,globalcare,0,1,0,13
2024-05-29,2024-06-04,arg,global care,0,1,0,3
2024-05-29,2024-06-04,arg,globalcare,0,1,0,18
2024-06-05,2024-06-11,arg,global care medical group,0,1,0,102
2024-06-12,2024-06-18,arg,globalcare,0,1,0,52
2024-06-19,2024-06-25,arg,global care,0,1,0,73
