start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,best hotels polanco,0,1,0,94
2024-05-08,2024-05-14,arg,dentist in mexico city,0,1,0,83
2024-05-15,2024-05-21,arg,top dental cities in mexico,0,1,0,58
2024-05-22,2024-05-28,arg,best dentists in mexico,0,1,0,92
2024-05-22,2024-05-28,arg,dentist in mexico city,0,2,0,45
2024-05-22,2024-05-28,arg,dentists in mexico city,0,1,0,40
2024-05-29,2024-06-04,arg,best hotels in roma norte mexico city,0,1,0,59
2024-06-05,2024-06-11,arg,dentist mexico city,0,1,0,68
2024-06-12,2024-06-18,arg,top dental cities in mexico,0,1,0,45
2024-06-19,2024-06-25,arg,best hotels in roma norte,0,1,0,55
2024-06-26,2024-07-02,arg,best dentists mexico,0,1,0,100
2024-06-26,2024-07-02,arg,best hotels in polanco mexico city,0,2,0,82.5
2024-06-26,2024-07-02,arg,best hotels in roma norte,0,1,0,58
2024-06-26,2024-07-02,arg,dental tourism in mexico,0,1,0,88
2024-07-03,2024-07-09,arg,best place in mexico for dental implants,0,1,0,96
2024-07-10,2024-07-16,arg,best place in mexico for dental implants,0,1,0,89
2024-07-10,2024-07-16,arg,mexico city dental tourism,0,1,0,20
2024-07-17,2024-07-23,arg,best city in mexico for dental work,0,1,0,53
2024-07-17,2024-07-23,arg,mexico city dental tourism,0,1,0,25
2024-07-24,2024-07-30,arg,dentist town mexico,0,1,0,72
2024-07-24,2024-07-30,arg,mexico city dental tourism,0,1,0,23
2024-07-24,2024-07-30,arg,mexico city financial district hotel,0,1,0,66
2024-07-31,2024-08-06,arg,mexico city financial district hotel,0,1,0,56
2024-07-31,2024-08-06,arg,veneers cost in mexico city,0,1,0,61
2024-08-07,2024-08-13,arg,dentists in mexico city,0,1,0,47
2024-08-07,2024-08-13,arg,veneers cost mexico city,0,1,0,65
2024-08-14,2024-08-20,arg,mexico city financial district hotel,0,1,0,67
2024-08-14,2024-08-20,arg,veneers cost in mexico city,0,1,0,56
2024-08-21,2024-08-27,arg,medical tourism in mexico city,0,1,0,58
2024-08-28,2024-09-03,arg,best dental tourism mexico,0,1,0,53
2024-08-28,2024-09-03,arg,mexico city financial district hotel,0,1,0,72
2024-09-04,2024-09-10,arg,veneers in mexico city,0,1,0,47
2024-09-11,2024-09-17,arg,mexico city dental tourism,0,1,0,26
2024-09-18,2024-09-24,arg,dental tourism all inclusive,0,1,0,65
2024-09-18,2024-09-24,arg,veneers cost in mexico city,0,1,0,76
2024-09-25,2024-10-01,arg,mexico city dental tourism,0,1,0,24
2024-10-02,2024-10-08,arg,mexico city veneers,0,1,0,43
