start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,biodental mexico,0,1,0,15
2024-05-01,2024-05-07,arg,holistic dentist in mexico,0,1,0,21
2024-05-01,2024-05-07,arg,holistic dentist mexico,0,2,0,17
2024-05-08,2024-05-14,arg,biological dentistry in mexico,0,1,0,18
2024-05-08,2024-05-14,arg,biological dentists in mexico,0,1,0,25
2024-05-15,2024-05-21,arg,biological dentist mexico,0,2,0,36
2024-05-15,2024-05-21,arg,biological dentistry in mexico,0,1,0,19
2024-05-22,2024-05-28,arg,biodental care,0,1,0,20
2024-05-22,2024-05-28,arg,holistic dentist mexico,0,1,0,22
2024-05-29,2024-06-04,arg,biological dentist mexico,0,1,0,22
2024-05-29,2024-06-04,arg,holistic dentist in mexico,0,1,0,16
2024-05-29,2024-06-04,arg,holistic dentists in mexico,0,1,0,22
2024-06-05,2024-06-11,arg,biological dentist in mexico,0,1,0,28
2024-06-05,2024-06-11,arg,biological dentistry mexico,0,1,0,21
2024-06-05,2024-06-11,arg,holistic dentistry tijuana,0,1,0,66
2024-06-12,2024-06-18,arg,biological dentist mexico,0,1,0,27
2024-06-12,2024-06-18,arg,biological dentistry tijuana,0,1,0,72
2024-06-12,2024-06-18,arg,holistic dentist in mexico,0,2,0,19.5
2024-06-19,2024-06-25,arg,biodental mexico,0,1,0,14
2024-06-19,2024-06-25,arg,holistic dentist mexico,0,2,0,22
2024-06-26,2024-07-02,arg,biodental mexico,0,1,0,15
2024-06-26,2024-07-02,arg,holistic dentist in mexico,0,1,0,19
2024-06-26,2024-07-02,arg,holistic dentist mexico,0,1,0,23
2024-07-03,2024-07-09,arg,biological dentistry in mexico,0,1,0,17
2024-07-03,2024-07-09,arg,holistic dentist mexico,0,1,0,21
2024-07-10,2024-07-16,arg,biological dentist in tijuana mexico,0,1,0,58
2024-07-10,2024-07-16,arg,holistic dentist mexico,0,3,0,12
2024-07-17,2024-07-23,arg,holistic dentist mexico,0,2,0,17.5
2024-07-17,2024-07-23,arg,holistic dentistry near dallas tx,0,1,0,103
2024-07-24,2024-07-30,arg,biological dentistry mexico,0,1,0,14
2024-07-31,2024-08-06,arg,american biodental mexico,0,1,0,37
2024-07-31,2024-08-06,arg,biodental care,0,1,0,13
2024-07-31,2024-08-06,arg,biological dentist mexico,0,1,0,27
2024-07-31,2024-08-06,arg,biological dentistry in mexico,0,1,0,20
2024-07-31,2024-08-06,arg,holistic dentist mexico,0,1,0,17
2024-07-31,2024-08-06,arg,holistic dentistry mexico,0,2,0,19
2024-08-07,2024-08-13,arg,biological dentist mexico,0,1,0,24
2024-08-14,2024-08-20,arg,biological dentist mexico,0,1,0,25
2024-08-21,2024-08-27,arg,biological dentistry in mexico,0,1,0,23
2024-08-21,2024-08-27,arg,holistic dentist mexico,0,2,0,22.5
2024-08-21,2024-08-27,arg,mercury free dentist mexico,0,1,0,24
2024-08-28,2024-09-03,arg,american biodental mexico,0,1,0,33
2024-08-28,2024-09-03,arg,mercury free dentist mexico,0,1,0,12
2024-09-04,2024-09-10,arg,biological dentist mexico,0,1,0,24
2024-09-04,2024-09-10,arg,holistic dentistry tijuana,0,1,0,100
2024-09-11,2024-09-17,arg,biodental mexico,0,1,0,11
2024-09-11,2024-09-17,arg,biological dentist mexico,0,1,0,24
2024-09-11,2024-09-17,arg,holistic dentist in mexico,0,1,0,13
2024-09-18,2024-09-24,arg,american biodental mexico,0,1,0,87
2024-09-18,2024-09-24,arg,holistic dentist in mexico,0,1,0,20
2024-09-18,2024-09-24,arg,holistic dentist tijuana,0,1,0,50
2024-09-25,2024-10-01,arg,holistic dentist in mexico,0,1,0,18
