start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,affordable dental care in mexico,0,3,0,67.66666666666667
2024-05-08,2024-05-14,arg,affordable dental care in mexico,0,1,0,23
2024-05-15,2024-05-21,arg,affordable dental treatments in mexico,0,1,0,84
2024-05-22,2024-05-28,arg,affordable dental care in mexico,0,1,0,19
2024-05-29,2024-06-04,arg,affordable dental care in mexico,0,1,0,50
2024-05-29,2024-06-04,arg,affordable dental care mexico,0,1,0,10
2024-06-05,2024-06-11,arg,affordable dental care in mexico,0,1,0,52
2024-06-12,2024-06-18,arg,affordable dental care in mexico,0,1,0,45
2024-06-12,2024-06-18,arg,dental mexico guide,0,1,0,94
2024-06-19,2024-06-25,arg,affordable dental treatments in mexico,0,1,0,90
2024-06-26,2024-07-02,arg,affordable dental care in mexico,0,1,0,20
2024-06-26,2024-07-02,arg,affordable dental treatments in mexico,0,1,0,71
2024-06-26,2024-07-02,arg,dental care for canadians in mexico,0,1,0,13
2024-07-03,2024-07-09,arg,affordable dental care in mexico,0,1,0,54
2024-07-10,2024-07-16,arg,affordable dental care in mexico,0,2,0,27
2024-07-10,2024-07-16,arg,affordable dental treatments in mexico,0,1,0,86
2024-07-10,2024-07-16,arg,dental care for canadians in mexico,0,1,0,13
2024-07-17,2024-07-23,arg,affordable dental care mexico,0,1,0,92
2024-07-17,2024-07-23,arg,dental mexico guide,0,1,0,97
2024-07-24,2024-07-30,arg,affordable dental care mexico,0,1,0,16
2024-07-24,2024-07-30,arg,affordable dental treatments in mexico,0,2,0,85.5
