start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,biodental,0,1,0,87
2024-05-01,2024-05-07,arg,biodental care tijuana,0,1,0,14
2024-05-08,2024-05-14,arg,biodental mexico,0,1,0,36
2024-05-15,2024-05-21,arg,bio dental care tijuana,0,1,0,9
2024-05-15,2024-05-21,arg,biodental,0,1,0,97
2024-05-22,2024-05-28,arg,biodental,0,1,0,86
2024-05-29,2024-06-04,arg,american biodental tijuana,0,1,0,36
2024-05-29,2024-06-04,arg,dental rio tijuana,0,1,0,65
2024-06-05,2024-06-11,arg,best dental in tijuana,0,1,0,76
2024-06-05,2024-06-11,arg,bio dental tijuana,0,1,0,11
2024-06-05,2024-06-11,arg,biodental,0,1,0,69
2024-06-05,2024-06-11,arg,biodental center,0,1,0,20
2024-06-12,2024-06-18,arg,bio dental tijuana,0,1,0,13
2024-06-12,2024-06-18,arg,dental solutions tijuana,0,1,0,56
2024-06-19,2024-06-25,arg,bio dental reviews,0,1,0,89
2024-06-19,2024-06-25,arg,biodental care,0,1,0,12
2024-06-26,2024-07-02,arg,all dental tijuana,0,1,0,47
2024-06-26,2024-07-02,arg,best dental clinic in tijuana,0,1,0,83
2024-06-26,2024-07-02,arg,biodental,0,1,0,64
2024-07-03,2024-07-09,arg,biodental,0,1,0,80
2024-07-10,2024-07-16,arg,bio holistic dental tijuana,0,1,0,57
2024-07-10,2024-07-16,arg,dental life tijuana,0,1,0,52
2024-07-17,2024-07-23,arg,american bio dental tijuana mexico,0,1,0,40
2024-07-17,2024-07-23,arg,american biodental tijuana,0,1,0,34
2024-07-17,2024-07-23,arg,biodental care tijuana,0,1,0,43
2024-07-17,2024-07-23,arg,biodental mexico,0,1,0,38
2024-07-24,2024-07-30,arg,tijuana dental care,0,1,0,44
2024-07-31,2024-08-06,arg,all dental clinic tijuana,0,1,0,45
2024-07-31,2024-08-06,arg,bio dental tijuana,0,1,0,45
2024-07-31,2024-08-06,arg,bio dentistry tijuana,0,1,0,39
2024-07-31,2024-08-06,arg,biodental clinic,0,1,0,23
2024-08-07,2024-08-13,arg,bio dental tijuana,0,1,0,42
2024-08-07,2024-08-13,arg,biodental care,0,1,0,64
2024-08-14,2024-08-20,arg,american biodental tijuana,0,1,0,36
2024-08-14,2024-08-20,arg,bio dental tijuana,0,1,0,19
2024-08-14,2024-08-20,arg,tijuana dental care,0,1,0,55
2024-08-21,2024-08-27,arg,all dental clinic tijuana,0,1,0,37
2024-08-21,2024-08-27,arg,bio dental care tijuana,0,1,0,60
2024-08-21,2024-08-27,arg,bio dental tijuana,0,2,0,17.5
2024-08-28,2024-09-03,arg,biodental mexico,0,1,0,28
2024-08-28,2024-09-03,arg,biodental tijuana,0,1,0,13
2024-08-28,2024-09-03,arg,tijuana childrens dentist,0,1,0,76
2024-09-04,2024-09-10,arg,bio dental tijuana,0,1,0,18
2024-09-04,2024-09-10,arg,bio dentistry tijuana,0,1,0,49
2024-09-04,2024-09-10,arg,biodental care reviews,0,1,0,7
2024-09-04,2024-09-10,arg,biodental mexico,0,1,0,38
2024-09-11,2024-09-17,arg,biodental tijuana,0,1,0,13
2024-09-11,2024-09-17,arg,washington dental clinic tijuana mexico,0,1,0,40
2024-09-18,2024-09-24,arg,best-dentist-tijuana,0,1,0,78
2024-09-18,2024-09-24,arg,dental office in tijuana,0,1,0,98
2024-09-18,2024-09-24,arg,tijuana dental care,0,2,0,37
2024-09-25,2024-10-01,arg,american bio dental tijuana,0,1,0,20
2024-09-25,2024-10-01,arg,american bio dental tijuana mexico,0,1,0,20
2024-09-25,2024-10-01,arg,american biodental,0,1,0,24
2024-09-25,2024-10-01,arg,best dentists tijuana,0,1,0,90
2024-09-25,2024-10-01,arg,bio dental care tijuana,0,1,0,7
2024-09-25,2024-10-01,arg,tijuana dental care,0,2,0,36
2024-09-25,2024-10-01,arg,tijuana holistic dentist,0,1,0,38
2024-09-25,2024-10-01,arg,washington dental clinic tijuana mexico,0,1,0,40
2024-10-02,2024-10-08,arg,biological dentist tijuana,0,1,0,43
2024-10-09,2024-10-15,arg,bio dental care tijuana,0,1,0,7
2024-10-09,2024-10-15,arg,biodental care,0,1,0,15
