start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,dentist playa del carmen,0,1,0,65
2024-05-08,2024-05-14,arg,dentist playa del carmen,0,3,0,72.33333333333333
2024-05-15,2024-05-21,arg,dentist playa del carmen,0,1,0,83
2024-05-22,2024-05-28,arg,playa del carmen dentist,0,1,0,54
2024-05-29,2024-06-04,arg,dentist playa del carmen,0,1,0,57
2024-06-05,2024-06-11,arg,dental implants in playa del carmen,0,1,0,67
2024-06-12,2024-06-18,arg,dental implants in playa del carmen,0,1,0,68
2024-06-12,2024-06-18,arg,dental treatment in playa del carmen,0,1,0,43
2024-06-12,2024-06-18,arg,playa dental,0,1,0,67
2024-06-19,2024-06-25,arg,dental playa del carmen,0,1,0,45
2024-06-19,2024-06-25,arg,dental treatment in playa del carmen,0,1,0,37
2024-06-26,2024-07-02,arg,best dental implants playa del carmen,0,1,0,64
