start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,best dental implants in tijuana,0,1,0,60
2024-05-01,2024-05-07,arg,best implants tijuana,0,1,0,47
2024-05-08,2024-05-14,arg,bc dental tijuana,0,1,0,91
2024-05-15,2024-05-21,arg,best dentist in tijuana reviews,0,1,0,61
2024-05-22,2024-05-28,arg,best implant dentist in tijuana,0,1,0,57
2024-05-22,2024-05-28,arg,dr implant dentist tijuana,0,1,0,45
2024-05-29,2024-06-04,arg,best implant dentist in tijuana,0,1,0,42
2024-05-29,2024-06-04,arg,implant tijuana,0,1,0,45
2024-06-05,2024-06-11,arg,best dental implants in tijuana mexico,0,1,0,66
2024-06-05,2024-06-11,arg,best dentist in tijuana for implants,0,1,0,60
2024-06-05,2024-06-11,arg,best implants tijuana,0,1,0,41
2024-06-12,2024-06-18,arg,all on 6 dental implants tijuana,0,1,0,77
2024-06-12,2024-06-18,arg,implant dentist tijuana,0,1,0,96
2024-06-19,2024-06-25,arg,best implants tijuana,0,1,0,34
2024-06-26,2024-07-02,arg,best dental implants in tijuana,0,1,0,61
2024-07-03,2024-07-09,arg,best implants tijuana,0,2,0,72.5
2024-07-10,2024-07-16,arg,implant tijuana,0,1,0,82
2024-07-10,2024-07-16,arg,washington dental clinic tijuana mexico,0,1,0,55
2024-07-17,2024-07-23,arg,best dental implants in tijuana,0,1,0,64
2024-07-24,2024-07-30,arg,implant art tijuana,0,1,0,74
2024-07-24,2024-07-30,arg,loreto dentist,0,1,0,61
2024-07-31,2024-08-06,arg,dental implants tijuana mx,0,1,0,92
2024-08-07,2024-08-13,arg,all-on-4 dental implants tijuana mx,0,1,0,98
2024-08-07,2024-08-13,arg,implant tijuana,0,1,0,71
2024-08-14,2024-08-20,arg,best dental implants in tijuana,0,1,0,61
2024-08-21,2024-08-27,arg,all-on-4 dental implants tijuana mx,0,1,0,90
2024-08-21,2024-08-27,arg,best dental implants in tijuana,0,1,0,46
2024-08-21,2024-08-27,arg,dental implant service tijuana,0,1,0,57
2024-08-21,2024-08-27,arg,implant tijuana,0,1,0,55
2024-08-28,2024-09-03,arg,best dental implants in tijuana mexico,0,1,0,67
2024-08-28,2024-09-03,arg,implant dentist tijuana,0,1,0,96
2024-09-04,2024-09-10,arg,best dental implants in tijuana mexico,0,1,0,86
2024-09-04,2024-09-10,arg,dental implants cost tijuana,0,1,0,102
2024-09-11,2024-09-17,arg,implant dental center tijuana,0,1,0,90
2024-09-18,2024-09-24,arg,all on four tijuana,0,1,0,98
2024-09-18,2024-09-24,arg,best dental implants in tijuana,0,1,0,58
2024-09-25,2024-10-01,arg,implant dental center tijuana,0,1,0,65
