start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,77500 text message,0,1,0,74
2024-05-01,2024-05-07,arg,dental clinic in cancun,0,1,0,91
2024-05-08,2024-05-14,arg,best dental clinic in cancun,0,1,0,72
2024-05-08,2024-05-14,arg,dental clinic cancun,0,3,0,93.66666666666667
2024-05-08,2024-05-14,arg,dental clinic in cancun,0,1,0,95
2024-05-15,2024-05-21,arg,dental clinic in cancun,0,1,0,95
2024-05-22,2024-05-28,arg,dental makeover cancun smile center,0,1,0,87
2024-05-29,2024-06-04,arg,dental crowns cancun,0,1,0,91
2024-05-29,2024-06-04,arg,dental makeover cancun smile center,0,1,0,89
2024-06-05,2024-06-11,arg,77500 text message,0,1,0,17
2024-06-05,2024-06-11,arg,dentist in cancun explains aesthetic dentistry,0,1,0,78
2024-06-12,2024-06-18,arg,yeah smile,0,1,0,8
2024-06-19,2024-06-25,arg,77500 text message,0,1,0,24
2024-06-26,2024-07-02,arg,dental clinic cancun,0,1,0,100
2024-06-26,2024-07-02,arg,dental clinic cancun reviews,0,2,0,88.5
2024-07-03,2024-07-09,arg,best dental clinic in cancun,0,2,0,65
2024-07-03,2024-07-09,arg,dental clinic cancun reviews,0,1,0,102
2024-07-10,2024-07-16,arg,dental clinic in cancun,0,1,0,102
2024-07-10,2024-07-16,arg,dental makeover cancun smile center,0,1,0,74
2024-07-17,2024-07-23,arg,dental clinic in cancun,0,2,0,90.5
2024-07-17,2024-07-23,arg,dental clinics in cancun,0,1,0,97
2024-07-17,2024-07-23,arg,dental crowns cancun mx,0,1,0,75
2024-07-24,2024-07-30,arg,best veneers cancun mexico,0,1,0,76
2024-07-31,2024-08-06,arg,dental clinic in cancun,0,2,0,98.5
2024-08-07,2024-08-13,arg,yeah smile,0,1,0,7
2024-08-14,2024-08-20,arg,dental care in cancun,0,1,0,84
2024-08-21,2024-08-27,arg,dental clinic in cancun,0,1,0,72
2024-08-21,2024-08-27,arg,dental crowns cancun,0,1,0,90
2024-08-28,2024-09-03,arg,dental clinic in cancun,0,2,0,95.5
2024-08-28,2024-09-03,arg,dental clinics in cancun,0,1,0,101
2024-09-04,2024-09-10,arg,implant cancun,0,1,0,89
2024-09-11,2024-09-17,arg,dental clinics in cancun,0,1,0,101
2024-09-18,2024-09-24,arg,cancun iv sedation,0,1,0,63
