start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,dentists in mexico city,0,1,0,66
2024-05-08,2024-05-14,arg,dentist mexico city,0,1,0,54
2024-05-15,2024-05-21,arg,mexico city dental tourism,0,1,0,37
2024-05-22,2024-05-28,arg,mexico city dental tourism,0,1,0,35
2024-05-29,2024-06-04,arg,mexico city dental tourism,0,1,0,64
2024-06-05,2024-06-11,arg,dental clinics in mexico city,0,1,0,36
2024-06-12,2024-06-18,arg,dental clinics in mexico city,0,1,0,44
2024-06-19,2024-06-25,arg,dentist in mexico city,0,1,0,28
2024-06-26,2024-07-02,arg,mexico city dental tourism,0,1,0,55
2024-06-26,2024-07-02,arg,where is mexico,0,1,0,2
2024-07-03,2024-07-09,arg,dentist mexico city,0,1,0,55
2024-07-10,2024-07-16,arg,dentist in mexico city,0,1,0,20
2024-07-10,2024-07-16,arg,teeth whitening mexico city,0,1,0,74
2024-07-17,2024-07-23,arg,dentist in mexico city,0,1,0,60
2024-07-24,2024-07-30,arg,accredited dental services in mexico,0,1,0,74
2024-07-31,2024-08-06,arg,dental clinics in mexico,0,1,0,49
2024-07-31,2024-08-06,arg,get dental work done in mexico,0,2,0,95
