start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,dental treatment in playa del carmen,0,1,0,65
2024-05-08,2024-05-14,arg,playa del carmen dentists prices,0,1,0,38
2024-05-15,2024-05-21,arg,dental tourism in playa del caraman,0,1,0,49
2024-05-22,2024-05-28,arg,best dental implants playa del carmen,0,1,0,68
2024-05-22,2024-05-28,arg,best dentist in playa del carmen,0,1,0,68
2024-05-22,2024-05-28,arg,dental implants in playa del carmen,0,1,0,54
2024-05-29,2024-06-04,arg,dental treatment in playa del carmen,0,2,0,39
2024-06-05,2024-06-11,arg,dental treatment in playa del carmen,0,1,0,26
2024-06-12,2024-06-18,arg,dental clinics in playa del carmen,0,1,0,86
2024-06-19,2024-06-25,arg,dental implants in playa del carmen,0,1,0,94
2024-06-26,2024-07-02,arg,playa del carmen dentists prices,0,1,0,80
