start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,berron,0,1,0,66
2024-05-08,2024-05-14,arg,dentists cancun,0,1,0,100
2024-05-15,2024-05-21,arg,dentists cancun,0,1,0,100
2024-05-22,2024-05-28,arg,dentists cancun,0,1,0,100
2024-05-29,2024-06-04,arg,dentisr in cancun,0,1,0,99
2024-05-29,2024-06-04,arg,dentist cancun,0,1,0,95
2024-06-05,2024-06-11,arg,cancun dentista,0,1,0,79
2024-06-05,2024-06-11,arg,dentist cancun,0,1,0,90
2024-06-05,2024-06-11,arg,dentists cancun,0,1,0,88
2024-06-12,2024-06-18,arg,dentist cancun,0,1,0,80
2024-06-12,2024-06-18,arg,dentist in cancun,0,2,0,88.5
2024-06-19,2024-06-25,arg,cancun mexico dentist,0,2,0,88
2024-06-19,2024-06-25,arg,dental clinic cancun photos,0,1,0,78
2024-06-19,2024-06-25,arg,dentist cancun mexico,0,1,0,82
2024-06-26,2024-07-02,arg,dental clinic cancun photos,0,1,0,83
2024-07-03,2024-07-09,arg,cancun dentist,0,1,0,58
2024-07-03,2024-07-09,arg,dentists in cancun mexico,0,1,0,97
2024-07-10,2024-07-16,arg,dentist cancun,0,1,0,77
2024-07-10,2024-07-16,arg,dentist cancun mexico,0,2,0,78
2024-07-10,2024-07-16,arg,dentists cancun mexico,0,1,0,82
2024-07-17,2024-07-23,arg,dental clinic cancun photos,0,2,0,103.5
2024-07-17,2024-07-23,arg,dentist cancun,0,1,0,65
2024-07-17,2024-07-23,arg,dentist cancun mexico,0,1,0,77
2024-07-17,2024-07-23,arg,dentist in cancun,0,4,0,75.75
2024-07-17,2024-07-23,arg,dentist in cancun mexico,0,1,0,64
2024-07-17,2024-07-23,arg,dentists cancun mexico,0,2,0,83
2024-07-24,2024-07-30,arg,dental clinic cancun photos,0,1,0,94
2024-07-24,2024-07-30,arg,dentist in cancun mexico,0,1,0,88
2024-07-24,2024-07-30,arg,dentists cancun mexico,0,2,0,86.5
2024-07-31,2024-08-06,arg,dental clinic cancun photos,0,1,0,96
2024-08-07,2024-08-13,arg,cancun dentista,0,1,0,52
2024-08-07,2024-08-13,arg,dental clinic cancun photos,0,2,0,75
2024-08-07,2024-08-13,arg,dentist cancun mx,0,1,0,24
2024-08-14,2024-08-20,arg,dental clinic in cancun,0,1,0,88
2024-08-14,2024-08-20,arg,dentist in cancun,0,1,0,20
2024-08-21,2024-08-27,arg,dentist cancun mx,0,1,0,20
2024-08-28,2024-09-03,arg,dentistry in cancun,0,3,0,82
2024-09-04,2024-09-10,arg,cosmetic dentistry cancun,0,1,0,74
2024-09-04,2024-09-10,arg,dentist in cancun,0,1,0,16
2024-09-11,2024-09-17,arg,all-on-4 dental implants cancun mx,0,1,0,83
2024-09-11,2024-09-17,arg,dentistry cancun,0,1,0,74
2024-09-11,2024-09-17,arg,dentistry in cancun,0,1,0,65
2024-09-18,2024-09-24,arg,dental clinics in cancun mexico,0,1,0,81
2024-09-18,2024-09-24,arg,dental implants cancun mx,0,1,0,62
2024-09-18,2024-09-24,arg,dentist in cancun mexico,0,2,0,14.5
2024-09-18,2024-09-24,arg,dentistry in cancun,0,1,0,82
2024-09-25,2024-10-01,arg,dental clinics in cancun mexico,0,1,0,82
2024-09-25,2024-10-01,arg,dentistry in cancun,0,1,0,73
2024-09-25,2024-10-01,arg,joaquin berron,0,2,0,1
2024-10-02,2024-10-08,arg,dental implants cancun mx,0,1,0,55
2024-10-09,2024-10-15,arg,dentist in cancun mexico,0,1,0,14
2024-10-09,2024-10-15,arg,implant cancun,0,1,0,91
2024-10-16,2024-10-22,arg,dental clinics in cancun mexico,0,1,0,87
2024-10-16,2024-10-22,arg,dentistry in cancun,0,1,0,79
2024-10-23,2024-10-29,arg,cancun dentist,0,1,0,35
2024-10-30,2024-11-05,arg,implant cancun,0,2,0,89.5
2024-11-06,2024-11-12,arg,dentist in cancun,0,1,0,16
2024-11-13,2024-11-19,arg,cancun mexico veneers,0,1,0,101
2024-11-20,2024-11-26,arg,dentist in cancun,0,1,0,18
2024-11-20,2024-11-26,arg,dentistry in cancun,0,2,0,55.5
2024-11-27,2024-12-03,arg,dentistry in cancun,0,1,0,55
