start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,dentisr in cancun,0,1,0,90
2024-05-01,2024-05-07,arg,dentist cancun,0,1,0,82
2024-05-08,2024-05-14,arg,dentist in cancun,0,1,0,77
2024-05-15,2024-05-21,arg,cancun dentista,0,1,0,56
2024-05-15,2024-05-21,arg,dentist cancun,0,1,0,63
2024-05-22,2024-05-28,arg,dentist cancun,0,1,0,59
2024-05-22,2024-05-28,arg,dentist in cancun,0,2,0,71
2024-05-22,2024-05-28,arg,dentist in cancun mexico,0,1,0,77
2024-05-22,2024-05-28,arg,dentists in cancun,0,1,0,94
2024-05-22,2024-05-28,arg,teeth whitening in cancun,0,1,0,94
2024-05-29,2024-06-04,arg,dentisr in cancun,0,1,0,73
2024-05-29,2024-06-04,arg,dentist in cancun mexico,0,1,0,76
2024-05-29,2024-06-04,arg,dentists in cancun,0,1,0,89
2024-06-05,2024-06-11,arg,cancun mexico dentist,0,2,0,74.5
2024-06-05,2024-06-11,arg,dentist cancun mexico,0,1,0,91
2024-06-05,2024-06-11,arg,dentist in cancun,0,1,0,75
2024-06-05,2024-06-11,arg,dentist in cancun mexico,0,1,0,92
2024-06-12,2024-06-18,arg,dentist in cancun mexico,0,2,0,79.5
2024-06-19,2024-06-25,arg,2500 veneers cancun,0,1,0,53
2024-06-19,2024-06-25,arg,cancun dentist,0,2,0,86.5
2024-06-19,2024-06-25,arg,dentisr in cancun,0,1,0,82
2024-06-19,2024-06-25,arg,dentist in cancun mexico,0,1,0,79
2024-06-19,2024-06-25,arg,dentistas en cancún,0,1,0,92
2024-06-26,2024-07-02,arg,dentist cancun,0,1,0,91
