start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,aus,best hotels in polanco mexico city,0,1,0,93
2024-05-08,2024-05-14,aus,best hotels in polanco mexico city,0,1,0,86
2024-05-15,2024-05-21,aus,best dentists in mexico,0,1,0,82
2024-05-15,2024-05-21,aus,best hotels in polanco mexico city,0,1,0,82
2024-05-15,2024-05-21,aus,dental implants in mexico city,0,1,0,90
2024-05-22,2024-05-28,aus,best city in mexico for dental work,0,1,0,53
2024-05-22,2024-05-28,aus,best dentist mexico,0,1,0,100
2024-05-29,2024-06-04,aus,best hotels in polanco mexico city,0,1,0,71
2024-06-05,2024-06-11,aus,mexico city dental tourism,0,1,0,24
2024-06-12,2024-06-18,aus,mexico dentist city,0,1,0,65
2024-06-19,2024-06-25,aus,mexico dentist city,0,1,0,66
2024-06-26,2024-07-02,aus,mexico dentist city,0,1,0,63
2024-07-03,2024-07-09,aus,mexico dentist city,0,1,0,58
2024-07-10,2024-07-16,aus,mexico city financial district hotel,0,1,0,76
2024-07-17,2024-07-23,aus,mexico city dental tourism,0,1,0,29
2024-07-24,2024-07-30,aus,best areas to stay in mexico city,0,1,0,1
2024-07-31,2024-08-06,aus,hotel punto mx,0,1,0,41
2024-07-31,2024-08-06,aus,veneers mexico city,0,1,0,52
2024-08-07,2024-08-13,aus,veneers mexico city,0,1,0,69
