start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,aus,dental implants in mexico,0,2,0,84.5
2024-05-01,2024-05-07,aus,mexican implants,0,1,0,95
2024-05-08,2024-05-14,aus,dental implants in mexico,0,1,0,94
2024-05-15,2024-05-21,aus,dental implants in mexico,0,1,0,90
2024-05-22,2024-05-28,aus,dental implants in mexico,0,1,0,72
2024-05-22,2024-05-28,aus,is it safe to get dental implants in mexico,0,1,0,35
2024-05-22,2024-05-28,aus,mexico for dental implants,0,1,0,60
2024-05-29,2024-06-04,aus,dental implants in mexico,0,1,0,70
2024-06-05,2024-06-11,aus,dental implants in mexico,0,1,0,70
2024-06-05,2024-06-11,aus,dental implants mexico,0,1,0,94
2024-06-12,2024-06-18,aus,mexico dental implant,0,1,0,83
2024-06-19,2024-06-25,aus,mexican dental implants,0,1,0,74
2024-06-26,2024-07-02,aus,mexican implants,0,1,0,78
2024-07-03,2024-07-09,aus,dental implant mexico review,0,1,0,55
2024-07-03,2024-07-09,aus,mexico dental implants reviews,0,1,0,93
2024-07-10,2024-07-16,aus,mexico implants,0,1,0,76
2024-07-17,2024-07-23,aus,best mexican dental implants,0,1,0,84
2024-07-17,2024-07-23,aus,dental implants in mexico,0,3,0,71.33333333333333
2024-07-17,2024-07-23,aus,mexican dental implants,0,1,0,50
2024-07-17,2024-07-23,aus,mexico dental implants,0,1,0,79
2024-07-24,2024-07-30,aus,mexico for dental implants,0,1,0,44
2024-07-31,2024-08-06,aus,best dental implants in mexico,0,1,0,63
2024-08-07,2024-08-13,aus,dental implant mexico,0,1,0,74
2024-08-07,2024-08-13,aus,dental implants in mexico,0,6,0,63.666666666666664
2024-08-07,2024-08-13,aus,how much are tooth implants in mexico,0,1,0,90
2024-08-07,2024-08-13,aus,implants dental in mexico,0,1,0,62
2024-08-07,2024-08-13,aus,mexico dental implants,0,1,0,86
2024-08-07,2024-08-13,aus,mexico for dental implants,0,1,0,48
2024-08-14,2024-08-20,aus,best dental implants in mexico,0,1,0,75
2024-08-14,2024-08-20,aus,dental implant in mexico,0,1,0,71
2024-08-21,2024-08-27,aus,dental implant mexico,0,1,0,83
2024-08-21,2024-08-27,aus,dental implants in mexico,0,2,0,83.5
2024-08-21,2024-08-27,aus,dental implants in méxico,0,1,0,73
2024-08-21,2024-08-27,aus,mexico for dental implants,0,1,0,60
2024-08-28,2024-09-03,aus,dental implants in mexico,0,2,0,70
2024-08-28,2024-09-03,aus,dental implants reviews mexico,0,1,0,61
2024-09-04,2024-09-10,aus,best dental implants in mexico,0,1,0,100
2024-09-04,2024-09-10,aus,dental implants in mexico,0,2,0,80
2024-09-04,2024-09-10,aus,dental implants in mexico city,0,1,0,51
2024-09-04,2024-09-10,aus,mexican dental implants,0,1,0,71
2024-09-04,2024-09-10,aus,mexico for dental implants,0,1,0,66
2024-09-11,2024-09-17,aus,dental implants in mexico,0,1,0,73
2024-09-11,2024-09-17,aus,dental implants in mexico city,0,1,0,52
2024-09-11,2024-09-17,aus,dental implants mexico,0,3,0,89.33333333333333
2024-09-11,2024-09-17,aus,dental implants reviews mexico,0,1,0,59
2024-09-11,2024-09-17,aus,mexican dental implants,0,1,0,72
2024-09-11,2024-09-17,aus,mexican implant dentistry,0,1,0,94
2024-09-18,2024-09-24,aus,dental implants in mexico,0,1,0,98
2024-09-18,2024-09-24,aus,mexican dental implants,0,1,0,73
2024-09-25,2024-10-01,aus,mexican dental implants,0,1,0,71
2024-10-02,2024-10-08,aus,dental implants mexico,0,1,0,64
2024-10-02,2024-10-08,aus,dental in mexico implants,0,1,0,61
2024-10-02,2024-10-08,aus,implants mexico,0,1,0,82
2024-10-02,2024-10-08,aus,implants mexico dental,0,1,0,54
2024-10-02,2024-10-08,aus,mexico for dental implants,0,1,0,44
2024-10-02,2024-10-08,aus,mexico tooth implant,0,1,0,67
2024-10-09,2024-10-15,aus,cost of dental implants mexico,0,1,0,101
2024-10-09,2024-10-15,aus,is it safe to get dental implants in mexico,0,1,0,33
2024-10-16,2024-10-22,aus,best dental implants in mexico,0,1,0,66
2024-10-16,2024-10-22,aus,dental implant mexico review,0,1,0,34
2024-10-16,2024-10-22,aus,dental implants in mexico,0,1,0,57
2024-10-16,2024-10-22,aus,implants in mexico cost,0,1,0,97
2024-10-16,2024-10-22,aus,is it safe to get dental implants in mexico,0,1,0,33
2024-10-16,2024-10-22,aus,mexican dental implants,0,1,0,37
2024-10-16,2024-10-22,aus,mexican implants,0,1,0,49
2024-10-16,2024-10-22,aus,mexico dental implants,0,2,0,53
2024-10-16,2024-10-22,aus,mexico dentist implants,0,1,0,47
2024-10-23,2024-10-29,aus,dental implants in mexico,0,1,0,54
2024-10-23,2024-10-29,aus,dentist in mexico implants,0,1,0,74
2024-10-30,2024-11-05,aus,cost of dental implants in mexico,0,1,0,88
2024-10-30,2024-11-05,aus,dental implants in mexico,0,1,0,53
2024-10-30,2024-11-05,aus,mexican dental implants,0,1,0,49
2024-10-30,2024-11-05,aus,mexico dentist implants,0,1,0,55
2024-11-06,2024-11-12,aus,cheap dental implants mexico,0,1,0,95
2024-11-06,2024-11-12,aus,dental implants in mexico,0,1,0,52
2024-11-06,2024-11-12,aus,dental implants in mexico cost,0,1,0,89
2024-11-06,2024-11-12,aus,dentist in mexico implants,0,1,0,82
2024-11-06,2024-11-12,aus,implants dental in mexico,0,1,0,49
2024-11-06,2024-11-12,aus,mexico dentist implants,0,2,0,50.5
2024-11-13,2024-11-19,aus,dental implant in mexico,0,1,0,45
2024-11-13,2024-11-19,aus,dental implant mexico review,0,1,0,34
2024-11-13,2024-11-19,aus,dental implants in mexico,0,1,0,50
