start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,aus,biological dentist mexico,0,1,0,28
2024-05-08,2024-05-14,aus,biological dentistry mexico,0,1,0,21
2024-05-08,2024-05-14,aus,holistic dentistry mexico,0,1,0,16
2024-05-15,2024-05-21,aus,biodental care,0,2,0,26
2024-05-15,2024-05-21,aus,biological dentist mexico,0,1,0,32
2024-05-22,2024-05-28,aus,biodental care,0,1,0,25
2024-05-22,2024-05-28,aus,holistic dentist in mexico,0,1,0,23
2024-05-29,2024-06-04,aus,biological dentist in mexico,0,1,0,32
2024-05-29,2024-06-04,aus,biological dentistry tijuana,0,1,0,76
2024-05-29,2024-06-04,aus,biological dentists in mexico,0,1,0,25
2024-05-29,2024-06-04,aus,holistic dentistry tijuana,0,1,0,66
2024-06-05,2024-06-11,aus,biological dentists in mexico,0,1,0,25
2024-06-05,2024-06-11,aus,holistic dentist tijuana mexico,0,1,0,58
2024-06-12,2024-06-18,aus,holistic dentistry tijuana,0,1,0,63
2024-06-19,2024-06-25,aus,biological dentistry mexico,0,1,0,19
2024-06-19,2024-06-25,aus,holistic dentist tijuana mexico,0,1,0,48
2024-06-26,2024-07-02,aus,biological dentists in mexico,0,1,0,26
2024-06-26,2024-07-02,aus,holistic dentist in mexico,0,1,0,18
2024-07-03,2024-07-09,aus,biodental care,0,1,0,20
2024-07-10,2024-07-16,aus,biological dentistry mexico,0,1,0,19
2024-07-17,2024-07-23,aus,biological dentistry in mexico,0,1,0,21
2024-07-24,2024-07-30,aus,biological dentistry in mexico,0,1,0,21
2024-07-31,2024-08-06,aus,biological dentist mexico,0,1,0,24
2024-08-07,2024-08-13,aus,holistic dentist mexico,0,1,0,21
2024-08-14,2024-08-20,aus,biological dentist mexico,0,1,0,27
2024-08-21,2024-08-27,aus,biological dentistry in mexico,0,1,0,18
2024-08-28,2024-09-03,aus,biological dentistry mexico,0,1,0,16
2024-09-04,2024-09-10,aus,mercury free dentist mexico,0,1,0,22
2024-09-11,2024-09-17,aus,holistic dentist mexico,0,1,0,10
2024-09-18,2024-09-24,aus,biodental care,0,1,0,8
2024-09-25,2024-10-01,aus,biodental care,0,4,0,10.25
2024-09-25,2024-10-01,aus,biological dentistry tijuana,0,1,0,45
