start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,aus,cancun veneers cost,0,1,0,39
2024-05-01,2024-05-07,aus,dental veneers abroad,0,1,0,82
2024-05-01,2024-05-07,aus,is it safe to get veneers in mexico,0,2,0,8
2024-05-08,2024-05-14,aus,mexico veneers price,0,1,0,50
2024-05-15,2024-05-21,aus,how much are veneers in cancun,0,1,0,36
2024-05-15,2024-05-21,aus,veneers cancun,0,1,0,59
2024-05-22,2024-05-28,aus,cancun mexico veneers,0,1,0,37
2024-05-22,2024-05-28,aus,mexico teeth veneers,0,1,0,55
2024-05-29,2024-06-04,aus,dental work in mexico veneers,0,1,0,57
2024-05-29,2024-06-04,aus,mexico teeth veneers,0,1,0,63
2024-05-29,2024-06-04,aus,veneers cancun,0,1,0,57
2024-05-29,2024-06-04,aus,veneers in mexico cost,0,1,0,40
2024-06-05,2024-06-11,aus,mexico dental veneers,0,1,0,74
2024-06-05,2024-06-11,aus,veneers in cancun,0,1,0,57
2024-06-12,2024-06-18,aus,dental veneers in cancun,0,1,0,71
2024-06-12,2024-06-18,aus,how much for veneers in mexico,0,2,0,40.5
2024-06-12,2024-06-18,aus,price of veneers in mexico,0,2,0,53
2024-06-12,2024-06-18,aus,veneer mexico,0,1,0,54
2024-06-12,2024-06-18,aus,veneers cost in mexico,0,1,0,42
2024-06-12,2024-06-18,aus,veneers in cancun mexico cost,0,1,0,50
2024-06-19,2024-06-25,aus,best veneers in mexico,0,1,0,64
2024-06-19,2024-06-25,aus,cost for veneers in mexico,0,1,0,40
2024-06-19,2024-06-25,aus,veneers cancun cost,0,1,0,31
2024-06-19,2024-06-25,aus,veneers cost cancun,0,1,0,26
2024-06-19,2024-06-25,aus,veneers cost in mexico,0,1,0,35
2024-06-26,2024-07-02,aus,how much are veneers in mexico,0,1,0,42
2024-06-26,2024-07-02,aus,porcelain veneers cancun mexico,0,1,0,55
2024-06-26,2024-07-02,aus,porcelain veneers mexico cost,0,1,0,45
2024-06-26,2024-07-02,aus,veneers in mexico price,0,1,0,44
2024-07-03,2024-07-09,aus,best place to get veneers in mexico,0,2,0,40
2024-07-03,2024-07-09,aus,veneer cost in mexico,0,1,0,49
2024-07-03,2024-07-09,aus,veneer in mexico cost,0,1,0,38
2024-07-03,2024-07-09,aus,veneers in cancun mexico cost,0,1,0,49
2024-07-03,2024-07-09,aus,veneers in mexico reviews,0,1,0,32
2024-07-03,2024-07-09,aus,veneers mexico cost,0,1,0,54
2024-07-10,2024-07-16,aus,cost of veneers in mexico,0,1,0,46
2024-07-10,2024-07-16,aus,mexico porcelain veneers,0,1,0,74
