start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,aus,dental care los algodones,0,1,0,95
2024-05-08,2024-05-14,aus,marietta dental tijuana,0,1,0,21
2024-05-15,2024-05-21,aus,dental care los algodones,0,1,0,83
2024-05-22,2024-05-28,aus,marietta dental care tijuana,0,1,0,25
2024-05-29,2024-06-04,aus,dental care los algodones,0,1,0,72
2024-05-29,2024-06-04,aus,los algodones dental care,0,1,0,93
2024-05-29,2024-06-04,aus,porcelain veneers los algodones,0,1,0,55
2024-06-05,2024-06-11,aus,dental care los algodones,0,1,0,84
2024-06-05,2024-06-11,aus,marietta dental care tijuana reviews,0,1,0,10
2024-06-12,2024-06-18,aus,algodones dental care,0,1,0,72
2024-06-12,2024-06-18,aus,dental care los algodones,0,2,0,47
2024-06-12,2024-06-18,aus,marietta dental care tijuana reviews,0,1,0,4
2024-06-19,2024-06-25,aus,dental clinic in los algodones,0,1,0,67
2024-06-19,2024-06-25,aus,marietta dental professionals reviews,0,1,0,18
2024-06-19,2024-06-25,aus,porcelain veneers los algodones,0,1,0,54
2024-06-26,2024-07-02,aus,dental care los algodones,0,1,0,40
2024-06-26,2024-07-02,aus,marietta dental care los algodones,0,2,0,7
2024-06-26,2024-07-02,aus,porcelain veneers los algodones,0,1,0,53
2024-07-03,2024-07-09,aus,dental care los algodones,0,1,0,56
2024-07-03,2024-07-09,aus,dental clinic in los algodones,0,1,0,50
2024-07-03,2024-07-09,aus,dental veneers los algodones,0,1,0,88
2024-07-03,2024-07-09,aus,los algodones dental clinic,0,1,0,39
2024-07-10,2024-07-16,aus,dental care los algodones,0,1,0,70
2024-07-10,2024-07-16,aus,los algodones dental care,0,1,0,97
2024-07-10,2024-07-16,aus,marietta dental care los algodones,0,1,0,6
2024-07-17,2024-07-23,aus,dental care los algodones,0,1,0,47
2024-07-17,2024-07-23,aus,los algodones dental clinics,0,1,0,47
2024-07-17,2024-07-23,aus,marietta dental care,0,1,0,14
2024-07-24,2024-07-30,aus,dental care los algodones,0,1,0,54
2024-07-31,2024-08-06,aus,marietta dental care los algodones,0,1,0,7
2024-08-07,2024-08-13,aus,dental clinics in los algodones,0,1,0,75
2024-08-14,2024-08-20,aus,marietta dental care,0,1,0,5
2024-08-21,2024-08-27,aus,marietta dental care,0,1,0,13
2024-08-21,2024-08-27,aus,marietta dental care los algodones,0,1,0,67
2024-08-28,2024-09-03,aus,best dentist algodones ulloa,0,1,0,28
2024-09-04,2024-09-10,aus,dental care los algodones,0,1,0,58
2024-09-11,2024-09-17,aus,marietta dental care,0,1,0,14
2024-09-18,2024-09-24,aus,marietta dental care,0,1,0,10
2024-09-18,2024-09-24,aus,marietta dental care tijuana,0,1,0,24
2024-09-18,2024-09-24,aus,marietta dental care tijuana mx,0,1,0,10
2024-09-25,2024-10-01,aus,dental price list in los algodones,0,2,0,98.5
2024-10-02,2024-10-08,aus,marietta dental care los algodones,0,1,0,6
2024-10-09,2024-10-15,aus,dental care los algodones,0,1,0,63
