start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,aus,best dental clinic in cancun,0,1,0,83
2024-05-08,2024-05-14,aus,dental clinic cancun,0,1,0,98
2024-05-15,2024-05-21,aus,tulum dentist,0,1,0,67
2024-05-22,2024-05-28,aus,dental clinic cancun,0,1,0,88
2024-05-29,2024-06-04,aus,2500 veneers cancun,0,1,0,43
2024-06-05,2024-06-11,aus,dental care in cancun,0,1,0,93
2024-06-05,2024-06-11,aus,veneers cancun,0,1,0,74
2024-06-12,2024-06-18,aus,dental care in cancun,0,1,0,94
2024-06-19,2024-06-25,aus,how much are veneers in cancun,0,1,0,94
2024-06-19,2024-06-25,aus,veneers cost cancun,0,1,0,93
2024-06-26,2024-07-02,aus,dental cancun,0,1,0,83
2024-07-03,2024-07-09,aus,smile now dental clinic,0,1,0,11
2024-07-03,2024-07-09,aus,veneers cancun cost,0,1,0,80
2024-07-03,2024-07-09,aus,veneers cost in cancun,0,1,0,93
2024-07-10,2024-07-16,aus,veneers cancun,0,1,0,44
2024-07-17,2024-07-23,aus,dental clinic cancun,0,1,0,97
2024-07-17,2024-07-23,aus,dental clinic cancun reviews,0,1,0,83
2024-07-24,2024-07-30,aus,porcelain veneers cancun mexico,0,1,0,50
2024-07-24,2024-07-30,aus,veneers in mexico reviews,0,1,0,72
2024-07-31,2024-08-06,aus,veneers in cancun,0,1,0,61
2024-08-07,2024-08-13,aus,tulum dentist,0,1,0,49
2024-08-07,2024-08-13,aus,veneers cancun mexico,0,1,0,96
2024-08-14,2024-08-20,aus,how much are veneers in cancun,0,1,0,82
2024-08-14,2024-08-20,aus,porcelain veneers cancun mexico,0,1,0,63
2024-08-21,2024-08-27,aus,veneers cancun cost,0,1,0,83
2024-08-21,2024-08-27,aus,veneers in cancun mexico cost,0,1,0,82
2024-08-28,2024-09-03,aus,best dental clinic in cancun,0,1,0,50
2024-08-28,2024-09-03,aus,porcelain veneers cancun mexico,0,1,0,52
2024-09-04,2024-09-10,aus,smile now dental,0,1,0,88
2024-09-11,2024-09-17,aus,dental clinic cancun,0,1,0,55
2024-09-11,2024-09-17,aus,smile now cancun,0,1,0,10
2024-09-11,2024-09-17,aus,smile now dental & facial care reviews,0,1,0,1
2024-09-18,2024-09-24,aus,dental clinics in cancun mexico,0,1,0,96
2024-09-25,2024-10-01,aus,dental clinic cancun,0,1,0,51
2024-09-25,2024-10-01,aus,now smile,0,1,0,2
2024-10-02,2024-10-08,aus,dental care in cancun,0,1,0,72
2024-10-09,2024-10-15,aus,best veneers cancun mexico,0,1,0,85
2024-10-16,2024-10-22,aus,dental clinics in cancun mexico,0,1,0,74
2024-10-16,2024-10-22,aus,veneers cost in cancun,0,1,0,93
2024-10-23,2024-10-29,aus,dental care in cancun,0,1,0,101
2024-10-30,2024-11-05,aus,dental clinic cancun reviews,0,1,0,99
2024-11-06,2024-11-12,aus,dentista playa del carmen precio,0,1,0,44
2024-11-13,2024-11-19,aus,smile now,0,1,0,62
