start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,aus,best dentist in mexico for veneers,0,1,0,77
2024-05-08,2024-05-14,aus,best dental care in mexico,0,1,0,96
2024-05-08,2024-05-14,aus,dental clinic in mexico,0,1,0,70
2024-05-15,2024-05-21,aus,mexico dental clinics,0,2,0,94.5
2024-05-22,2024-05-28,aus,mexico dental clinics,0,1,0,96
2024-05-29,2024-06-04,aus,mexico dentist city,0,1,0,102
2024-06-05,2024-06-11,aus,dental implants mexico city,0,1,0,28
2024-06-05,2024-06-11,aus,mexico city veneers,0,1,0,30
2024-06-05,2024-06-11,aus,mexico dental clinic,0,1,0,68
2024-06-05,2024-06-11,aus,mexico dentist city,0,1,0,91
2024-06-12,2024-06-18,aus,mexico dentist city,0,1,0,85
2024-06-19,2024-06-25,aus,mexico dental clinic,0,1,0,64
2024-06-19,2024-06-25,aus,mexico dentist city,0,1,0,91
2024-06-26,2024-07-02,aus,all on 4 best clinic in mexico,0,1,0,101
2024-07-03,2024-07-09,aus,teeth and tooth polanco,0,1,0,10
2024-07-10,2024-07-16,aus,dental clinics in mexico city,0,2,0,30
2024-07-17,2024-07-23,aus,certified dental clinics in mexico,0,1,0,62
2024-07-24,2024-07-30,aus,best dental clinics in mexico for americans,0,1,0,54
2024-07-31,2024-08-06,aus,dentists in mexico city,0,1,0,43
2024-08-07,2024-08-13,aus,affordable dental clinic,0,1,0,68
2024-08-07,2024-08-13,aus,certified dental clinics in mexico,0,1,0,74
2024-08-14,2024-08-20,aus,dentist in mexico city,0,1,0,12
2024-08-21,2024-08-27,aus,certified dental clinics in mexico,0,1,0,81
2024-08-21,2024-08-27,aus,teeth and tooth polanco,0,1,0,6
2024-08-28,2024-09-03,aus,accredited dental services in mexico,0,1,0,79
2024-08-28,2024-09-03,aus,dental dentist near me,0,1,0,70
2024-09-04,2024-09-10,aus,dentist clinics,0,1,0,64
2024-09-11,2024-09-17,aus,certified dental clinics in mexico,0,1,0,81
2024-09-18,2024-09-24,aus,international dental clinic mexico city,0,1,0,8
2024-09-25,2024-10-01,aus,invisalign puerto vallarta,0,1,0,58
2024-10-02,2024-10-08,aus,dental surgery in mexico,0,1,0,64
2024-10-02,2024-10-08,aus,mexico city dentists,0,1,0,39
2024-10-09,2024-10-15,aus,dental clinics in mexico,0,1,0,76
2024-10-09,2024-10-15,aus,dentist city mexico,0,1,0,86
