start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,aus,playa del carmen dentist,0,1,0,85
2024-05-08,2024-05-14,aus,porcelain veneers los algodones,0,1,0,89
2024-05-15,2024-05-21,aus,dentist in playa del carmen,0,1,0,38
2024-05-22,2024-05-28,aus,dental implants playa del carmen,0,1,0,11
2024-05-22,2024-05-28,aus,dentist in playa del carmen,0,1,0,29
2024-05-29,2024-06-04,aus,dentist playa del carmen,0,1,0,37
2024-06-05,2024-06-11,aus,dental clinics in playa del carmen,0,1,0,70
2024-06-12,2024-06-18,aus,clinic del carmen,0,1,0,28
2024-06-12,2024-06-18,aus,coast dental tennessee street,0,1,0,47
2024-06-12,2024-06-18,aus,invisalign playa del carmen,0,1,0,83
