start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,aus,periodontist tijuana,0,1,0,83
2024-05-08,2024-05-14,aus,dentist in tijuana close to border,0,1,0,93
2024-05-15,2024-05-21,aus,bc dental tijuana,0,2,0,46.5
2024-05-22,2024-05-28,aus,bc dental tijuana,0,1,0,55
2024-05-29,2024-06-04,aus,periodontist tijuana,0,1,0,13
2024-06-05,2024-06-11,aus,periodontist tijuana,0,1,0,13
2024-06-12,2024-06-18,aus,periodontist tijuana,0,1,0,34
2024-06-19,2024-06-25,aus,dentist in tijuana baja california,0,2,0,95.5
2024-06-26,2024-07-02,aus,dr bergman tijuana,0,1,0,59
2024-06-26,2024-07-02,aus,dr. implant tijuana - dentista en tijuana,0,1,0,49
2024-07-03,2024-07-09,aus,periodontist specialist tojuana mx,0,1,0,29
2024-07-10,2024-07-16,aus,dentist in tijuana baja california,0,1,0,92
2024-07-10,2024-07-16,aus,dr. implant - dentista en tijuana,0,1,0,44
2024-07-17,2024-07-23,aus,dr. implant - dentista en tijuana,0,1,0,77
2024-07-24,2024-07-30,aus,periodontist specialist tojuana mx,0,1,0,10
2024-07-31,2024-08-06,aus,periodoncista tijuana,0,1,0,8
2024-07-31,2024-08-06,aus,tijuana periodontist,0,1,0,11
