start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,aus,carmen esteban age,0,1,0,1
2024-05-08,2024-05-14,aus,"carmen esteban, age",0,1,0,5
2024-05-15,2024-05-21,aus,carmen esteban age,0,1,0,1
2024-05-22,2024-05-28,aus,dr barragan dentist,0,1,0,14
2024-05-29,2024-06-04,aus,esteban barragan,0,1,0,1
2024-06-05,2024-06-11,aus,dentist in playa del carmen,0,1,0,10
2024-06-12,2024-06-18,aus,carmen esteban age,0,1,0,1
2024-06-19,2024-06-25,aus,dentist in playa del carmen,0,1,0,33
2024-06-26,2024-07-02,aus,esteban barragan,0,1,0,1
2024-07-03,2024-07-09,aus,esteban mexico,0,1,0,97
2024-07-10,2024-07-16,aus,bokanova dental center,0,1,0,47
