start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,aus,minimally invasive dentist tijuana,0,1,0,9
2024-05-08,2024-05-14,aus,minimally invasive dentist tijuana,0,1,0,10
2024-05-15,2024-05-21,aus,ricardo álvarez,0,1,0,1
2024-05-22,2024-05-28,aus,alvarez dental tijuana,0,1,0,23
2024-05-22,2024-05-28,aus,dr implant dentist tijuana,0,1,0,93
2024-05-29,2024-06-04,aus,alvarez dental tijuana,0,1,0,18
2024-06-05,2024-06-11,aus,dr. implant tijuana - dentista en tijuana,0,1,0,77
2024-06-12,2024-06-18,aus,dr. implant - dentista en tijuana,0,1,0,71
2024-06-19,2024-06-25,aus,dr. implant - dentista en tijuana,0,1,0,50
2024-06-26,2024-07-02,aus,dentista zona rio tijuana,0,1,0,72
