start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,all on four,0,1,0,61
2024-05-08,2024-05-14,can,all on 4,0,1,0,52
2024-05-15,2024-05-21,can,all on 4,0,1,0,80
2024-05-15,2024-05-21,can,what is all on four,0,1,0,97
2024-05-22,2024-05-28,can,all on 4,0,2,0,88
2024-05-22,2024-05-28,can,all on 4 dental,0,1,0,80
2024-05-22,2024-05-28,can,all on four,0,1,0,102
2024-05-29,2024-06-04,can,all on 4,0,1,0,100
2024-05-29,2024-06-04,can,all on 4 prosthesis,0,1,0,84
2024-06-05,2024-06-11,can,all in 4,0,1,0,101
2024-06-12,2024-06-18,can,all by 4,0,1,0,75
2024-06-12,2024-06-18,can,all for 4,0,1,0,73
