start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,dental vacations cancun,0,1,0,47
2024-05-08,2024-05-14,can,cancun dental tourism,0,1,0,63
2024-05-08,2024-05-14,can,dental tourism cancun mexico,0,1,0,62
2024-05-08,2024-05-14,can,dental tourism in cancun,0,1,0,49
2024-05-15,2024-05-21,can,cancun dental vacation,0,1,0,59
2024-05-15,2024-05-21,can,dental tourism cancun,0,1,0,43
2024-05-15,2024-05-21,can,dental vacations cancun,0,1,0,49
2024-05-22,2024-05-28,can,dental tourism cancun,0,1,0,46
2024-05-22,2024-05-28,can,dental tourism in cancun,0,1,0,71
2024-05-22,2024-05-28,can,dental vacation cancun,0,3,0,48.333333333333336
2024-05-22,2024-05-28,can,dental vacation in cancun mexico,0,1,0,59
2024-05-29,2024-06-04,can,cancun dental tourism,0,1,0,61
2024-05-29,2024-06-04,can,cancun dental vacation,0,1,0,54
2024-05-29,2024-06-04,can,cancun mexico dental tourism,0,1,0,54
2024-05-29,2024-06-04,can,dental tourism cancun,0,3,0,49.333333333333336
2024-06-05,2024-06-11,can,cancun dental tourism,0,4,0,33.5
2024-06-05,2024-06-11,can,dental tourism cancun,0,2,0,22.5
2024-06-05,2024-06-11,can,dental tourism in cancun,0,1,0,36
2024-06-12,2024-06-18,can,cancun dental vacation,0,1,0,34
2024-06-12,2024-06-18,can,cancun mexico dental tourism,0,1,0,36
2024-06-12,2024-06-18,can,dental tourism cancun,0,1,0,25
2024-06-12,2024-06-18,can,dental tourism in cancun,0,4,0,31.5
2024-06-12,2024-06-18,can,dental vacations cancun,0,1,0,26
2024-06-19,2024-06-25,can,cancun dental tourism,0,1,0,35
2024-06-19,2024-06-25,can,cancun mexico dental tourism,0,1,0,38
2024-06-19,2024-06-25,can,dental tourism cancun,0,2,0,27
2024-06-19,2024-06-25,can,dental tourism cancun mexico,0,1,0,36
2024-06-19,2024-06-25,can,dental tourism in cancun,0,2,0,29.5
2024-06-19,2024-06-25,can,dental vacation cancun,0,1,0,26
2024-06-19,2024-06-25,can,dental vacations cancun,0,1,0,27
2024-06-26,2024-07-02,can,cancun dental vacation,0,1,0,34
2024-06-26,2024-07-02,can,cancun mexico dental tourism,0,1,0,38
2024-06-26,2024-07-02,can,dental tourism cancun,0,1,0,32
2024-06-26,2024-07-02,can,hotels near cancun dental specialists,0,1,0,6
2024-07-03,2024-07-09,can,cancun dental vacation,0,1,0,34
2024-07-03,2024-07-09,can,cancun mexico dental tourism,0,2,0,41
2024-07-03,2024-07-09,can,dental care in cancun,0,1,0,89
2024-07-03,2024-07-09,can,dental tourism in cancun,0,1,0,31
2024-07-10,2024-07-16,can,dental tourism in cancun,0,2,0,34.5
2024-07-17,2024-07-23,can,dental tourism cancun,0,3,0,32.33333333333333
2024-07-17,2024-07-23,can,dental tourism in cancun,0,1,0,31
2024-07-17,2024-07-23,can,dental vacation cancun,0,1,0,35
2024-07-24,2024-07-30,can,cancun mexico dental tourism,0,2,0,41
2024-07-24,2024-07-30,can,dental tourism cancun,0,2,0,28.5
2024-07-24,2024-07-30,can,dental tourism in cancun,0,1,0,31
2024-07-24,2024-07-30,can,dental vacation cancun,0,1,0,31
2024-07-31,2024-08-06,can,dental tourism in cancun,0,1,0,34
