start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,biodental care,0,1,0,25
2024-05-01,2024-05-07,can,biodental mexico,0,1,0,15
2024-05-01,2024-05-07,can,biological dentist in mexico,0,1,0,25
2024-05-01,2024-05-07,can,holistic dentistry mexico,0,2,0,12
2024-05-08,2024-05-14,can,holistic dentistry near dallas tx,0,1,0,77
2024-05-08,2024-05-14,can,holistic dentistry tijuana,0,1,0,61
2024-05-08,2024-05-14,can,holistic dentists in mexico,0,1,0,24
2024-05-15,2024-05-21,can,biodental care,0,1,0,25
2024-05-15,2024-05-21,can,biological dentist in mexico,0,2,0,29.5
2024-05-15,2024-05-21,can,biological dentist mexico,0,1,0,33
2024-05-15,2024-05-21,can,holistic dentist in mexico,0,2,0,5
2024-05-15,2024-05-21,can,holistic dentists in mexico,0,2,0,26
2024-05-22,2024-05-28,can,biodental mexico,0,1,0,17
2024-05-22,2024-05-28,can,biological dentists in mexico,0,1,0,25
2024-05-22,2024-05-28,can,holistic dentist tijuana mexico,0,1,0,59
2024-05-22,2024-05-28,can,holistic dentistry mexico,0,1,0,15
2024-05-22,2024-05-28,can,holistic dentistry tijuana,0,1,0,61
2024-05-29,2024-06-04,can,biodental care,0,1,0,14
2024-05-29,2024-06-04,can,biological dentist mexico,0,2,0,34
2024-05-29,2024-06-04,can,biological dentists in mexico,0,1,0,25
2024-05-29,2024-06-04,can,holistic dentist mexico,0,1,0,24
2024-05-29,2024-06-04,can,holistic dentistry mexico,0,1,0,9
2024-05-29,2024-06-04,can,holistic dentistry tijuana,0,1,0,68
2024-06-05,2024-06-11,can,best holistic dentist in mexico,0,1,0,30
2024-06-05,2024-06-11,can,biodental care,0,1,0,23
2024-06-05,2024-06-11,can,biological dentist mexico,0,1,0,28
2024-06-05,2024-06-11,can,holistic dentists in mexico,0,1,0,22
2024-06-12,2024-06-18,can,biological dentist mexico,0,1,0,17
2024-06-12,2024-06-18,can,biological dentistry mexico,0,1,0,16
2024-06-12,2024-06-18,can,holistic dentist mexico,0,1,0,10
2024-06-19,2024-06-25,can,biological dentist mexico,0,1,0,27
2024-06-19,2024-06-25,can,biological dentistry in mexico,0,1,0,19
2024-06-19,2024-06-25,can,holistic dentist mexico,0,5,0,12
2024-06-19,2024-06-25,can,mercury free dentist mexico,0,1,0,37
2024-06-26,2024-07-02,can,best holistic dentist in mexico,0,1,0,28
2024-06-26,2024-07-02,can,biological dentist mexico,0,1,0,23
2024-06-26,2024-07-02,can,holistic dentist mexico,0,1,0,23
2024-07-03,2024-07-09,can,american biodental mexico,0,1,0,30
2024-07-03,2024-07-09,can,biodental care,0,1,0,21
2024-07-03,2024-07-09,can,biological dentist in mexico,0,1,0,26
2024-07-03,2024-07-09,can,biological dentist mexico,0,1,0,21
2024-07-03,2024-07-09,can,holistic dentistry mexico,0,1,0,8
2024-07-10,2024-07-16,can,american biodental mexico,0,1,0,38
2024-07-10,2024-07-16,can,holistic dentist in mexico,0,3,0,14.666666666666666
2024-07-17,2024-07-23,can,holistic dentist in mexico,0,1,0,15
2024-07-17,2024-07-23,can,holistic dentistry mexico,0,1,0,16
2024-07-24,2024-07-30,can,holistic dentist in mexico,0,1,0,14
2024-07-31,2024-08-06,can,biological dentist mexico,0,1,0,27
2024-07-31,2024-08-06,can,holistic dentist in mexico,0,1,0,13
2024-08-07,2024-08-13,can,biological dentist mexico,0,1,0,23
2024-08-07,2024-08-13,can,holistic dentistry mexico,0,1,0,21
2024-08-14,2024-08-20,can,holistic dentist in mexico,0,1,0,20
2024-08-14,2024-08-20,can,holistic dentist mexico,0,1,0,15
2024-08-21,2024-08-27,can,biodental care,0,1,0,18
2024-08-21,2024-08-27,can,biological dentistry in mexico,0,1,0,18
2024-08-21,2024-08-27,can,holistic dentist in mexico,0,2,0,13
2024-08-28,2024-09-03,can,biological dentistry in mexico,0,1,0,18
2024-08-28,2024-09-03,can,holistic dentist mexico,0,1,0,10
2024-09-04,2024-09-10,can,holistic dentist in mexico,0,1,0,13
2024-09-11,2024-09-17,can,holistic dentist mexico,0,1,0,8
2024-09-18,2024-09-24,can,biodental mexico,0,1,0,24
2024-09-18,2024-09-24,can,holistic dentist mexico,0,1,0,14
2024-09-25,2024-10-01,can,holistic dentist mexico,0,1,0,12
2024-10-02,2024-10-08,can,bio dental care tijuana,0,1,0,64
2024-10-02,2024-10-08,can,holistic dentist in mexico,0,1,0,9
2024-10-09,2024-10-15,can,biodental care,0,1,0,6
2024-10-09,2024-10-15,can,holistic dentist mexico city,0,1,0,9
2024-10-16,2024-10-22,can,holistic dentist mexico,0,1,0,18
