start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,algodones hotels,0,2,0,25.5
2024-05-01,2024-05-07,can,hotel hacienda los algodones,0,1,0,24
2024-05-01,2024-05-07,can,hotels algodones,0,1,0,55
2024-05-01,2024-05-07,can,hotels in los algodones mexico,0,1,0,19
2024-05-01,2024-05-07,can,hotels in yuma az near los algodones,0,1,0,16
2024-05-01,2024-05-07,can,la hacienda los algodones,0,1,0,40
2024-05-01,2024-05-07,can,los algodones dentist price list,0,1,0,61
2024-05-01,2024-05-07,can,los algodones hotel,0,2,0,16
2024-05-08,2024-05-14,can,hotel hacienda los algodones,0,1,0,33
2024-05-08,2024-05-14,can,hotels los algodones,0,1,0,10
2024-05-08,2024-05-14,can,hotels los algodones mexico,0,1,0,23
2024-05-08,2024-05-14,can,los algodones hotels,0,2,0,18.5
