start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,algodones mexico,0,1,0,55
2024-05-01,2024-05-07,can,algodones mx,0,2,0,74.5
2024-05-01,2024-05-07,can,los algodones,0,1,0,2
2024-05-01,2024-05-07,can,los algodones shopping,0,1,0,11
2024-05-01,2024-05-07,can,playa los algodones,0,1,0,2
2024-05-01,2024-05-07,can,things to do in los algodones mexico,0,1,0,1
2024-05-08,2024-05-14,can,algodones,0,1,0,45
2024-05-08,2024-05-14,can,los algodones,0,1,0,19
2024-05-08,2024-05-14,can,things to do in los algodones,0,1,0,2
2024-05-15,2024-05-21,can,algodones optical,0,1,0,71
2024-05-22,2024-05-28,can,algodones mexico,0,1,0,26
2024-05-22,2024-05-28,can,algodones pharmacy,0,1,0,32
2024-05-22,2024-05-28,can,flights to los algodones mexico,0,2,0,29
2024-05-22,2024-05-28,can,los algodones,0,1,0,2
2024-05-22,2024-05-28,can,los algodones flights,0,1,0,25
2024-05-22,2024-05-28,can,phoenix to los algodones,0,1,0,2
2024-05-22,2024-05-28,can,things to do in algodones,0,1,0,8
2024-05-29,2024-06-04,can,algodones,0,1,0,33
2024-05-29,2024-06-04,can,algodones mexico,0,1,0,12
2024-05-29,2024-06-04,can,algodones mexico pharmacy,0,1,0,1
2024-05-29,2024-06-04,can,"best day to go to algodones, mexico",0,1,0,3
2024-05-29,2024-06-04,can,los algodones,0,1,0,19
2024-05-29,2024-06-04,can,los algodones bc,0,2,0,47
2024-05-29,2024-06-04,can,los algodones flights,0,6,0,26.833333333333332
2024-05-29,2024-06-04,can,los algodones shopping,0,1,0,10
2024-05-29,2024-06-04,can,restaurants in los algodones mexico,0,1,0,3
2024-05-29,2024-06-04,can,things to do in los algodones,0,4,0,8.5
2024-05-29,2024-06-04,can,things to do in los algodones mexico,0,1,0,3
2024-06-05,2024-06-11,can,algodones,0,2,0,54
2024-06-05,2024-06-11,can,algodones mexico,0,2,0,35.5
2024-06-05,2024-06-11,can,algodones mx,0,1,0,72
2024-06-05,2024-06-11,can,los algodones,0,1,0,2
2024-06-05,2024-06-11,can,los algodones bc mexico,0,1,0,32
2024-06-05,2024-06-11,can,los algodones flights,0,5,0,30.8
2024-06-05,2024-06-11,can,los algodones mexico,0,1,0,42
2024-06-05,2024-06-11,can,los algodones shopping,0,2,0,5.5
2024-06-05,2024-06-11,can,los algodones things to do,0,1,0,9
2024-06-05,2024-06-11,can,pharmacies in los algodones mexico,0,1,0,18
2024-06-05,2024-06-11,can,"things to do in los algodones, mexico",0,2,0,10
