start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,affordable dental care in mexico,0,1,0,62
2024-05-08,2024-05-14,can,affordable dental care mexico,0,1,0,101
2024-05-15,2024-05-21,can,affordable dental care in mexico,0,1,0,21
2024-05-22,2024-05-28,can,dental care for canadians in mexico,0,1,0,8
2024-05-29,2024-06-04,can,dentacare travel,0,1,0,72
2024-06-05,2024-06-11,can,affordable dental care in mexico,0,1,0,38
2024-06-12,2024-06-18,can,affordable dental treatments in mexico,0,1,0,82
2024-06-12,2024-06-18,can,dentacare travel,0,1,0,99
2024-06-19,2024-06-25,can,affordable dental care in mexico,0,1,0,24
2024-06-19,2024-06-25,can,dental care for canadians in mexico,0,1,0,9
2024-06-26,2024-07-02,can,affordable dental care mexico,0,1,0,86
2024-07-03,2024-07-09,can,affordable dental care mexico,0,1,0,90
2024-07-03,2024-07-09,can,affordable dental treatments in mexico,0,1,0,40
2024-07-03,2024-07-09,can,dental care for canadians in mexico,0,1,0,15
2024-07-03,2024-07-09,can,does care credit work in mexico,0,1,0,32
2024-07-10,2024-07-16,can,dental care for canadians in mexico,0,14,0,17.071428571428573
2024-07-17,2024-07-23,can,affordable dental care in mexico,0,5,0,28
2024-07-17,2024-07-23,can,affordable dental treatments in mexico,0,1,0,33
2024-07-17,2024-07-23,can,dental care for canadians in mexico,0,14,0,19.357142857142858
2024-07-24,2024-07-30,can,affordable dental care in mexico,0,15,0,49.666666666666664
2024-07-24,2024-07-30,can,affordable dental care mexico,0,1,0,93
2024-07-24,2024-07-30,can,affordable dental treatments in mexico,0,8,0,64.5
2024-07-24,2024-07-30,can,dental care for canadians in mexico,0,14,0,19.428571428571427
2024-07-31,2024-08-06,can,affordable dental care in mexico,0,14,0,71.64285714285714
2024-07-31,2024-08-06,can,affordable dental treatments in mexico,0,7,0,97.71428571428571
2024-07-31,2024-08-06,can,dental care for canadians in mexico,0,15,0,21
2024-08-07,2024-08-13,can,affordable dental care in mexico,0,8,0,69.25
2024-08-07,2024-08-13,can,dental care for canadians in mexico,0,14,0,23
2024-08-14,2024-08-20,can,affordable dental care in mexico,0,2,0,68.5
2024-08-14,2024-08-20,can,affordable dental care mexico,0,1,0,85
2024-08-14,2024-08-20,can,dental care for canadians in mexico,0,6,0,24.833333333333332
2024-08-21,2024-08-27,can,affordable dental care mexico,0,1,0,79
