start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,bio dentist tijuana,0,1,0,33
2024-05-01,2024-05-07,can,bio dentistry tijuana,0,1,0,40
2024-05-01,2024-05-07,can,biodental,0,1,0,94
2024-05-01,2024-05-07,can,biodental center,0,1,0,59
2024-05-01,2024-05-07,can,biodental tijuana,0,2,0,28
2024-05-08,2024-05-14,can,bio dental care,0,1,0,84
2024-05-08,2024-05-14,can,bio dental tijuana,0,2,0,22.5
2024-05-08,2024-05-14,can,biodental care tijuana,0,1,0,14
2024-05-08,2024-05-14,can,dental rio tijuana,0,3,0,80.33333333333333
2024-05-15,2024-05-21,can,best dentist tijuana,0,1,0,93
2024-05-15,2024-05-21,can,bio dental care,0,1,0,51
2024-05-15,2024-05-21,can,bio dentistry tijuana,0,1,0,43
2024-05-15,2024-05-21,can,biodental,0,1,0,96
2024-05-15,2024-05-21,can,biodental care,0,1,0,14
2024-05-15,2024-05-21,can,biodental tijuana,0,2,0,13.5
2024-05-22,2024-05-28,can,bc dental tijuana,0,1,0,44
2024-05-22,2024-05-28,can,best-dentist-tijuana,0,1,0,94
2024-05-22,2024-05-28,can,bio dental care,0,3,0,40.666666666666664
2024-05-22,2024-05-28,can,bio implant center - dental implants tijuana mexico,0,1,0,39
2024-05-22,2024-05-28,can,biodental care,0,2,0,12
2024-05-22,2024-05-28,can,biodental care tijuana,0,2,0,10.5
2024-05-22,2024-05-28,can,dental clinic tijuana,0,1,0,95
2024-05-22,2024-05-28,can,dental rio tijuana,0,2,0,61
2024-05-29,2024-06-04,can,all dental tijuana,0,1,0,94
2024-05-29,2024-06-04,can,american biodental mexico,0,1,0,68
2024-05-29,2024-06-04,can,bio dental care tijuana,0,2,0,12
2024-05-29,2024-06-04,can,biodental,0,1,0,79
2024-05-29,2024-06-04,can,biodental care,0,1,0,9
2024-05-29,2024-06-04,can,biodental tijuana,0,2,0,13
2024-05-29,2024-06-04,can,dental rio tijuana,0,1,0,64
2024-05-29,2024-06-04,can,dental solutions tijuana,0,1,0,54
2024-05-29,2024-06-04,can,washington dental tijuana,0,1,0,54
2024-06-05,2024-06-11,can,best dental in tijuana,0,1,0,84
2024-06-05,2024-06-11,can,bio dental care tijuana,0,3,0,10.333333333333334
2024-06-05,2024-06-11,can,bio dentist tijuana,0,1,0,50
2024-06-05,2024-06-11,can,biodental care tijuana,0,1,0,11
2024-06-05,2024-06-11,can,biodental tijuana,0,1,0,14
2024-06-12,2024-06-18,can,bc dental tijuana,0,2,0,50.5
2024-06-12,2024-06-18,can,bio dentist tijuana,0,1,0,31
2024-06-12,2024-06-18,can,biodental,0,3,0,65.66666666666667
2024-06-12,2024-06-18,can,biodental care,0,1,0,16
2024-06-12,2024-06-18,can,biodental care reviews,0,1,0,10
2024-06-12,2024-06-18,can,biodental tijuana,0,1,0,13
2024-06-19,2024-06-25,can,american bio dental tijuana,0,1,0,34
2024-06-19,2024-06-25,can,bio dental care,0,1,0,37
2024-06-19,2024-06-25,can,bio dental tijuana,0,1,0,13
2024-06-19,2024-06-25,can,biodental,0,1,0,64
2024-06-19,2024-06-25,can,biodental care,0,3,0,8.666666666666668
2024-06-19,2024-06-25,can,biodental care tijuana,0,1,0,8
2024-06-19,2024-06-25,can,biodental tijuana,0,2,0,13
2024-06-26,2024-07-02,can,american biodental,0,1,0,69
2024-06-26,2024-07-02,can,bio dental tijuana,0,1,0,12
2024-06-26,2024-07-02,can,bio dentist tijuana,0,1,0,37
2024-06-26,2024-07-02,can,dental clinics in tijuana,0,1,0,101
2024-06-26,2024-07-02,can,dental rio tijuana,0,1,0,45
2024-06-26,2024-07-02,can,tijuana dental care,0,1,0,83
2024-07-03,2024-07-09,can,american biodental tijuana,0,1,0,39
2024-07-03,2024-07-09,can,bio dental care,0,1,0,35
2024-07-03,2024-07-09,can,biodental care reviews,0,2,0,10
2024-07-03,2024-07-09,can,biodental tijuana,0,1,0,11
2024-07-03,2024-07-09,can,dental clinic in tijuana,0,1,0,98
2024-07-10,2024-07-16,can,bc dental tijuana,0,2,0,46.5
2024-07-10,2024-07-16,can,biodental,0,2,0,71
2024-07-10,2024-07-16,can,biodental clinic,0,1,0,13
2024-07-17,2024-07-23,can,bio dentistry tijuana,0,1,0,44
2024-07-17,2024-07-23,can,biodental mexico,0,1,0,25
2024-07-17,2024-07-23,can,biodental tijuana,0,2,0,13
2024-07-17,2024-07-23,can,dental solutions tijuana,0,1,0,56
2024-07-24,2024-07-30,can,bio dentistry tijuana,0,1,0,40
2024-07-24,2024-07-30,can,biodental care tijuana,0,1,0,6
2024-07-24,2024-07-30,can,biological dentist tijuana,0,1,0,49
2024-07-31,2024-08-06,can,best dental clinic in tijuana,0,1,0,64
2024-07-31,2024-08-06,can,bio dental care tijuana,0,1,0,54
2024-07-31,2024-08-06,can,bio dentistry tijuana,0,1,0,49
2024-07-31,2024-08-06,can,biodental care,0,3,0,5.666666666666667
2024-07-31,2024-08-06,can,biodental mexico,0,1,0,38
2024-08-07,2024-08-13,can,american biodental tijuana,0,1,0,31
2024-08-07,2024-08-13,can,bio dental care,0,1,0,17
2024-08-07,2024-08-13,can,bio dental tijuana,0,1,0,11
2024-08-07,2024-08-13,can,bio dentistry tijuana,0,1,0,41
2024-08-07,2024-08-13,can,biodental care,0,1,0,4
2024-08-07,2024-08-13,can,dental life tijuana,0,1,0,81
2024-08-14,2024-08-20,can,bio dental care tijuana,0,1,0,7
