start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,bokanova playa del carmen,0,1,0,12
2024-05-01,2024-05-07,can,dentist playa del carmen,0,1,0,57
2024-05-01,2024-05-07,can,playa del carmen dentist,0,1,0,60
2024-05-08,2024-05-14,can,bokanova playa del carmen,0,1,0,11
2024-05-08,2024-05-14,can,dentist del sur,0,1,0,69
2024-05-15,2024-05-21,can,bokanova,0,1,0,50
2024-05-15,2024-05-21,can,cancun dental design,0,1,0,94
2024-05-15,2024-05-21,can,dentist del sur,0,1,0,74
2024-05-15,2024-05-21,can,playa del carmen dental,0,1,0,83
2024-05-22,2024-05-28,can,dental house playa del carmen,0,1,0,71
2024-05-22,2024-05-28,can,dental implants in playa del carmen,0,1,0,61
2024-05-22,2024-05-28,can,dentist del sur,0,1,0,72
2024-05-29,2024-06-04,can,dental implants in playa del carmen,0,1,0,76
2024-06-05,2024-06-11,can,bokanova riviera maya,0,1,0,44
2024-06-05,2024-06-11,can,dentist in playa del carmen,0,1,0,74
2024-06-05,2024-06-11,can,dentists in playa del carmen,0,1,0,75
2024-06-12,2024-06-18,can,best dental implants playa del carmen,0,1,0,42
2024-06-12,2024-06-18,can,dentist playa del carmen,0,1,0,1
2024-06-12,2024-06-18,can,playa del carmen dentist,0,1,0,84
2024-06-19,2024-06-25,can,bokanova,0,1,0,12
2024-06-19,2024-06-25,can,bokanova playa del carmen,0,1,0,11
2024-06-26,2024-07-02,can,dental clinics in playa del carmen,0,1,0,12
2024-07-03,2024-07-09,can,dentist in playa del carmen,0,1,0,49
2024-07-10,2024-07-16,can,dental design center mexico,0,1,0,75
2024-07-10,2024-07-16,can,dentist in playa del carmen,0,1,0,47
2024-07-10,2024-07-16,can,playa del carmen dental,0,1,0,26
2024-07-17,2024-07-23,can,bokanova,0,1,0,8
2024-07-17,2024-07-23,can,dentists in playa del carmen,0,1,0,55
2024-07-24,2024-07-30,can,bokanova,0,1,0,7
2024-07-24,2024-07-30,can,dentist playa del carmen,0,1,0,45
2024-07-31,2024-08-06,can,bokanova playa del carmen,0,1,0,6
2024-08-07,2024-08-13,can,bokanova,0,3,0,8.333333333333332
2024-08-07,2024-08-13,can,bokanova riviera maya,0,1,0,54
2024-08-14,2024-08-20,can,bokanova,0,1,0,12
2024-08-14,2024-08-20,can,bokanova dental center,0,2,0,11.5
2024-08-14,2024-08-20,can,bokanova playa del carmen,0,1,0,6
2024-08-21,2024-08-27,can,best dental implants playa del carmen,0,1,0,26
2024-08-21,2024-08-27,can,bokanova,0,2,0,9.5
2024-08-28,2024-09-03,can,bokanova dental center,0,1,0,7
2024-08-28,2024-09-03,can,dental design center mexico,0,1,0,78
2024-09-04,2024-09-10,can,bokanova,0,5,0,13.2
2024-09-04,2024-09-10,can,bokanova dental center,0,1,0,5
2024-09-04,2024-09-10,can,bokanova playa del carmen,0,1,0,13
2024-09-04,2024-09-10,can,bokanova riviera maya,0,1,0,33
2024-09-11,2024-09-17,can,best dental implants playa del carmen,0,1,0,35
2024-09-11,2024-09-17,can,bokanova,0,1,0,10
2024-09-18,2024-09-24,can,bokanova,0,1,0,14
2024-09-18,2024-09-24,can,bokanova dental center,0,1,0,10
2024-09-25,2024-10-01,can,bokanova playa del carmen,0,1,0,12
2024-10-02,2024-10-08,can,bokanova playa del carmen,0,1,0,16
2024-10-09,2024-10-15,can,bokanova dental center,0,2,0,8.5
2024-10-16,2024-10-22,can,bokanova dental center,0,1,0,10
2024-10-23,2024-10-29,can,bokanova dental center,0,1,0,10
2024-10-30,2024-11-05,can,bokanova,0,1,0,5
2024-11-06,2024-11-12,can,best dental implants playa del carmen,0,1,0,58
2024-11-06,2024-11-12,can,bokanova playa del carmen,0,1,0,7
2024-11-13,2024-11-19,can,bokanova,0,2,0,7
2024-11-20,2024-11-26,can,bokanova dental center,0,1,0,10
2024-11-27,2024-12-03,can,bokanova playa del carmen,0,1,0,8
2024-12-04,2024-12-10,can,bokanova playa del carmen,0,1,0,9
2024-12-11,2024-12-17,can,best dentist in playa del carmen,0,1,0,36
2024-12-11,2024-12-17,can,best dentist playa del carmen,0,1,0,37
2024-12-11,2024-12-17,can,clínica del carmen guadalajara,0,1,0,40
2024-12-18,2024-12-24,can,bokanova playa del carmen,0,1,0,7
2024-12-25,2024-12-31,can,bokanova playa del carmen,0,4,0,5.5
2025-01-01,2025-01-07,can,bokanova dental playa del carmen,0,1,0,8
2025-01-01,2025-01-07,can,bokanova playa del carmen,0,1,0,7
